,고든 세터_1,고든 세터_2,고든 세터_3,고든 세터_4,고든 세터_5,고든 세터_6,고든 세터_7,고든 세터_8,고든 세터_9,고든 세터_10,고든 세터_11,고든 세터_12,고든 세터_13,고든 세터_14,고든 세터_15,고든 세터_16,고든 세터_17,고든 세터_18,고든 세터_19,고든 세터_20
Pet,99.07122039794922,95.18634796142578,99.50128173828125,81.65047454833984,91.26299285888672,99.07147216796875,98.61575317382812,89.37263488769531,69.96662139892578,95.787841796875,88.28820037841797,91.85072326660156,0.0,95.1174087524414,91.72930145263672,89.65985107421875,83.8423080444336,90.61288452148438,92.85601806640625,93.15536499023438
Dog,99.07122039794922,93.54653930664062,99.50128173828125,72.45069122314453,68.56681823730469,99.07147216796875,98.61575317382812,75.26787567138672,0.0,90.96321105957031,88.28820037841797,91.85072326660156,0.0,95.1174087524414,91.72930145263672,0.0,68.27008056640625,90.61288452148438,90.97090148925781,93.15536499023438
Mammal,99.07122039794922,99.52992248535156,99.50128173828125,82.14705657958984,92.41436767578125,99.07147216796875,98.61575317382812,86.3604965209961,69.99322509765625,96.34400939941406,91.53736877441406,92.81021118164062,74.5005111694336,95.1174087524414,92.68785095214844,86.86270141601562,86.74208068847656,95.12153625488281,90.97090148925781,93.83470153808594
Canine,99.07122039794922,94.36314392089844,99.50128173828125,82.14705657958984,92.41436767578125,99.07147216796875,98.61575317382812,80.43806457519531,65.88908386230469,96.34400939941406,91.53736877441406,92.81021118164062,0.0,95.1174087524414,92.68785095214844,84.96686553955078,86.74208068847656,91.71930694580078,90.97090148925781,93.83470153808594
Animal,99.07122039794922,99.52992248535156,99.50128173828125,82.14705657958984,92.41436767578125,99.07147216796875,98.61575317382812,89.37263488769531,71.26846313476562,96.34400939941406,91.53736877441406,92.81021118164062,93.71277618408203,95.1174087524414,92.68785095214844,89.65985107421875,86.74208068847656,95.12153625488281,92.85601806640625,93.83470153808594
Appenzeller,79.57601928710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,62.72632598876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,62.72632598876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football,62.72632598876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,62.72632598876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
