,골든 리트리버_1,골든 리트리버_2,골든 리트리버_3,골든 리트리버_4,골든 리트리버_5,골든 리트리버_6,골든 리트리버_7,골든 리트리버_8,골든 리트리버_9,골든 리트리버_10,골든 리트리버_11,골든 리트리버_12,골든 리트리버_13,골든 리트리버_14,골든 리트리버_15,골든 리트리버_16,골든 리트리버_17,골든 리트리버_18,골든 리트리버_19,골든 리트리버_20
Canine,99.17689514160156,97.46622467041016,99.60347747802734,99.81425476074219,98.75385284423828,99.4123306274414,98.88279724121094,96.75973510742188,99.98493957519531,87.82479095458984,99.69135284423828,98.67866516113281,99.81707763671875,99.42924499511719,99.60838317871094,82.77113342285156,82.77486419677734,99.07208251953125,99.82520294189453,75.11250305175781
Animal,99.17689514160156,97.46622467041016,99.60347747802734,99.81425476074219,98.75385284423828,99.4123306274414,98.88279724121094,96.75973510742188,99.98493957519531,99.72962951660156,99.69135284423828,98.67866516113281,99.81707763671875,99.42924499511719,99.60838317871094,84.46896362304688,87.9539566040039,99.07208251953125,99.82520294189453,77.16864776611328
Mammal,99.17689514160156,97.46622467041016,99.60347747802734,99.81425476074219,98.75385284423828,99.4123306274414,98.88279724121094,96.75973510742188,99.98493957519531,87.82479095458984,99.69135284423828,98.67866516113281,99.81707763671875,99.42924499511719,99.60838317871094,82.77113342285156,83.78852081298828,99.07208251953125,99.82520294189453,75.19168090820312
Dog,99.17689514160156,97.46622467041016,99.60347747802734,99.81425476074219,98.75385284423828,99.4123306274414,98.88279724121094,96.75973510742188,99.98493957519531,86.69612121582031,99.69135284423828,98.67866516113281,99.81707763671875,99.42924499511719,99.60838317871094,82.77113342285156,0.0,99.07208251953125,99.82520294189453,0.0
Pet,99.17689514160156,97.46622467041016,99.60347747802734,99.81425476074219,98.75385284423828,99.4123306274414,98.88279724121094,96.75973510742188,99.98493957519531,86.69612121582031,99.69135284423828,98.67866516113281,99.81707763671875,99.42924499511719,99.60838317871094,82.77113342285156,81.30457305908203,99.07208251953125,99.82520294189453,76.55229949951172
Puppy,97.79315948486328,97.46622467041016,0.0,0.0,95.37791442871094,0.0,97.7731704711914,96.75973510742188,0.0,0.0,87.40808868408203,0.0,0.0,99.42924499511719,67.00221252441406,82.77113342285156,0.0,0.0,0.0,0.0
Golden Retriever,95.1270751953125,82.2452621459961,99.60347747802734,99.81425476074219,95.56800079345703,99.4123306274414,95.57833099365234,57.13442611694336,99.98493957519531,73.15149688720703,99.69135284423828,93.51055145263672,99.81707763671875,92.79557800292969,99.60838317871094,71.64624786376953,0.0,99.07208251953125,99.82520294189453,0.0
Plant,0.0,86.75730895996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.9235610961914,69.5612564086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower,0.0,73.83123779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blossom,0.0,73.83123779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,72.78759765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.9235610961914,69.5612564086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petal,0.0,66.38945007324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spring,0.0,63.58837127685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,92.67094421386719,68.15088653564453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,92.67094421386719,79.34104919433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sand,0.0,0.0,92.67094421386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,0.0,0.0,89.6080322265625,81.38594055175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ocean,0.0,0.0,75.3430404663086,58.753902435302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sea,0.0,0.0,75.3430404663086,58.753902435302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shoreline,0.0,0.0,70.04388427734375,55.41729736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coast,0.0,0.0,69.8807373046875,55.41729736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beach,0.0,0.0,64.28250122070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,56.34300231933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,64.67278289794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouth,0.0,0.0,0.0,0.0,0.0,65.8484115600586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,0.0,0.0,0.0,65.8484115600586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teeth,0.0,0.0,0.0,0.0,0.0,56.631187438964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
