,골든두들_1,골든두들_2,골든두들_3,골든두들_4,골든두들_5,골든두들_6,골든두들_7,골든두들_8,골든두들_9,골든두들_10,골든두들_11,골든두들_12,골든두들_13,골든두들_14,골든두들_15,골든두들_16,골든두들_17,골든두들_18,골든두들_19,골든두들_20
Animal,95.42891693115234,95.04623413085938,97.43427276611328,91.91385650634766,91.51274108886719,98.9287109375,89.70172882080078,73.99557495117188,92.00082397460938,97.35305786132812,80.27019500732422,57.34898376464844,96.40980529785156,99.61173248291016,92.36707305908203,93.0914306640625,98.5841293334961,93.2867660522461,92.76559448242188,80.677001953125
Mammal,93.59835815429688,86.60150909423828,97.43427276611328,91.7379379272461,91.27629089355469,98.9287109375,89.70172882080078,73.99557495117188,92.00082397460938,97.35305786132812,80.01649475097656,57.34898376464844,96.40980529785156,99.61173248291016,92.32940673828125,93.0914306640625,98.5841293334961,93.2867660522461,92.43242645263672,80.677001953125
Dog,93.25544738769531,83.3311538696289,97.43427276611328,85.85553741455078,91.27629089355469,98.9287109375,89.70172882080078,57.510459899902344,77.19031524658203,97.35305786132812,72.66189575195312,0.0,96.40980529785156,99.61173248291016,91.79702758789062,93.0914306640625,98.5841293334961,92.05963897705078,92.15808868408203,0.0
Puppy,93.25544738769531,0.0,57.98597717285156,76.16655731201172,91.27629089355469,98.9287109375,0.0,56.53779220581055,0.0,0.0,0.0,0.0,56.58842849731445,0.0,0.0,58.390811920166016,0.0,0.0,0.0,0.0
Pet,93.25544738769531,83.96131134033203,97.43427276611328,87.31919860839844,91.27629089355469,98.9287109375,89.70172882080078,71.48648071289062,79.2963638305664,97.35305786132812,80.27019500732422,56.56458282470703,96.40980529785156,99.61173248291016,92.36707305908203,93.0914306640625,98.5841293334961,93.02864074707031,92.76559448242188,59.64264678955078
Canine,93.25544738769531,86.60150909423828,97.43427276611328,89.26419830322266,91.27629089355469,98.9287109375,89.70172882080078,73.99557495117188,84.93012237548828,97.35305786132812,72.66189575195312,55.32447052001953,96.40980529785156,99.61173248291016,92.32940673828125,93.0914306640625,98.5841293334961,93.2867660522461,92.43242645263672,0.0
Poodle,62.793270111083984,0.0,0.0,71.89315032958984,0.0,0.0,89.21565246582031,57.510459899902344,56.105037689208984,80.58590698242188,0.0,0.0,96.40980529785156,56.3227424621582,58.75514221191406,56.94660949707031,56.95432662963867,86.6540298461914,87.12751770019531,0.0
Golden Retriever,57.14152145385742,0.0,97.43427276611328,0.0,0.0,61.090919494628906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6094741821289,63.176448822021484,69.7442855834961,0.0,0.0,56.25921630859375,0.0
Hound,0.0,74.9697036743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.19963836669922,0.0,0.0
Bird,0.0,60.69236755371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonfire,0.0,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire,0.0,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flame,0.0,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,80.92727661132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,98.33940124511719,65.4590835571289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.32621765136719,0.0,0.0,0.0,58.12476348876953
Grass,0.0,0.0,0.0,0.0,0.0,0.0,98.33940124511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fence,0.0,0.0,0.0,0.0,0.0,0.0,88.41461181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hedge,0.0,0.0,0.0,0.0,0.0,0.0,73.63101959228516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,0.0,0.0,66.11666870117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.88406372070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.88406372070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.26959991455078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73267364501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.355682373046875,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.15650939941406,62.425045013427734,77.12141418457031,0.0,78.7193374633789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.08356475830078
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.15650939941406,62.425045013427734,77.12141418457031,0.0,78.7193374633789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.08356475830078
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.70388793945312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.08356475830078
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.19510650634766,71.57977294921875,58.26232147216797,0.0,78.62820434570312,0.0,0.0,0.0,73.2928466796875,0.0,0.0,0.0,67.53982543945312
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.19510650634766,71.57977294921875,58.26232147216797,0.0,78.62820434570312,0.0,0.0,0.0,73.2928466796875,0.0,0.0,0.0,67.53982543945312
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.29246520996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.70882415771484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.68545532226562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.00167083740234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.7798080444336
Portrait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.00167083740234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.7798080444336
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.00167083740234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.7798080444336
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.19398498535156,0.0,0.0,0.0,95.55300903320312,0.0,0.0,0.0,0.0,58.10614013671875,0.0,0.0,0.0
Teddy Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.19398498535156,0.0,0.0,0.0,76.0270004272461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.682861328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.76720428466797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.49666213989258,0.0,0.0,0.0,80.22271728515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.919410705566406,0.0,0.0,0.0,63.50071716308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11351776123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.18574905395508,0.0,0.0,82.98371124267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3233871459961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.28623962402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.7302474975586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.05294036865234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.95964050292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.88755416870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.69784164428711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6794319152832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5908432006836,0.0,0.0,0.0,0.0,0.0,0.0,91.4075698852539,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.15967559814453,0.0,0.0,0.0,0.0,80.27723693847656,74.98700714111328,91.30579376220703,57.89894485473633,0.0,0.0
Walkway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25224685668945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25224685668945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appliance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.98062896728516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.83099365234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.13419342041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.43049621582031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Home Decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.02861785888672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.11011505126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79003143310547
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.42697525024414,0.0,0.0,0.0,0.0,0.0,0.0
Airedale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.44943618774414,0.0,0.0,0.0,0.0,0.0
