,그레이트 데인_1,그레이트 데인_2,그레이트 데인_3,그레이트 데인_4,그레이트 데인_5,그레이트 데인_6,그레이트 데인_7,그레이트 데인_8,그레이트 데인_9,그레이트 데인_10,그레이트 데인_11,그레이트 데인_12,그레이트 데인_13,그레이트 데인_14,그레이트 데인_15,그레이트 데인_16,그레이트 데인_17,그레이트 데인_18,그레이트 데인_19,그레이트 데인_20
Human,96.01783752441406,99.52516174316406,75.47681427001953,0.0,98.80648040771484,98.50247192382812,0.0,0.0,94.19448852539062,97.15210723876953,0.0,99.4588851928711,93.78438568115234,99.02854919433594,0.0,0.0,98.53343200683594,99.82091522216797,99.87761688232422,77.77580261230469
Person,96.01783752441406,99.52516174316406,75.47681427001953,0.0,98.80648040771484,98.50247192382812,0.0,0.0,94.19448852539062,97.15210723876953,0.0,99.4588851928711,93.78438568115234,99.02854919433594,0.0,0.0,98.53343200683594,99.82091522216797,99.87761688232422,77.77580261230469
Animal,94.68282318115234,92.33155059814453,92.73428344726562,98.56453704833984,98.44956970214844,99.14402770996094,98.8392562866211,99.39324951171875,99.34799194335938,97.8108139038086,99.71458435058594,99.65411376953125,99.80630493164062,96.3333740234375,99.8713150024414,98.86389923095703,97.6714859008789,95.66519165039062,90.68247985839844,95.57283020019531
Mammal,94.68282318115234,92.33155059814453,91.64676666259766,98.56453704833984,98.44956970214844,99.14402770996094,98.8392562866211,99.39324951171875,99.34799194335938,97.8108139038086,99.71458435058594,99.65411376953125,99.80630493164062,96.3333740234375,99.8713150024414,98.86389923095703,97.6714859008789,95.66519165039062,90.68247985839844,95.57283020019531
Canine,92.49044036865234,0.0,91.2314224243164,98.56453704833984,98.44956970214844,99.14402770996094,98.8392562866211,99.39324951171875,99.34799194335938,97.8108139038086,99.71458435058594,99.65411376953125,99.80630493164062,96.3333740234375,99.8713150024414,98.86389923095703,97.6714859008789,95.66519165039062,90.68247985839844,95.57283020019531
Pet,91.47107696533203,0.0,88.97825622558594,98.56453704833984,98.44956970214844,99.14402770996094,98.8392562866211,99.39324951171875,99.34799194335938,97.8108139038086,99.71458435058594,99.65411376953125,99.80630493164062,96.3333740234375,99.8713150024414,98.86389923095703,97.6714859008789,95.01016235351562,90.68247985839844,94.88805389404297
Grass,90.93514251708984,0.0,93.36043548583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.49230194091797,57.66999435424805,0.0,0.0,0.0,0.0,0.0
Plant,90.93514251708984,0.0,93.36043548583984,0.0,0.0,62.91577911376953,0.0,0.0,55.559349060058594,0.0,0.0,0.0,58.4532585144043,81.08613586425781,61.68457794189453,0.0,0.0,0.0,0.0,0.0
Soccer,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,69.36864471435547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,69.36864471435547,0.0,81.24739837646484,98.56453704833984,98.44956970214844,99.14402770996094,98.8392562866211,99.39324951171875,99.34799194335938,97.8108139038086,99.71458435058594,99.65411376953125,99.80630493164062,96.3333740234375,99.8713150024414,98.86389923095703,97.6714859008789,63.15110778808594,90.68247985839844,84.42110443115234
Outdoors,69.28812408447266,0.0,66.49488067626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yard,62.450592041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,62.450592041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,56.898658752441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,92.33155059814453,0.0,73.44261169433594,67.14535522460938,0.0,0.0,64.92171478271484,78.5572509765625,0.0,0.0,0.0,0.0,70.08649444580078,0.0,0.0,0.0,0.0,0.0,0.0
Colt Horse,0.0,56.71761703491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,81.24739837646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.63480377197266,0.0,0.0,0.0,0.0,0.0
Lawn Mower,0.0,0.0,72.50558471679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
