,그레이트 스위스 마운틴 도그_1,그레이트 스위스 마운틴 도그_2,그레이트 스위스 마운틴 도그_3,그레이트 스위스 마운틴 도그_4,그레이트 스위스 마운틴 도그_5,그레이트 스위스 마운틴 도그_6,그레이트 스위스 마운틴 도그_7,그레이트 스위스 마운틴 도그_8,그레이트 스위스 마운틴 도그_9,그레이트 스위스 마운틴 도그_10,그레이트 스위스 마운틴 도그_11,그레이트 스위스 마운틴 도그_12,그레이트 스위스 마운틴 도그_13,그레이트 스위스 마운틴 도그_14,그레이트 스위스 마운틴 도그_15,그레이트 스위스 마운틴 도그_16,그레이트 스위스 마운틴 도그_17,그레이트 스위스 마운틴 도그_18,그레이트 스위스 마운틴 도그_19,그레이트 스위스 마운틴 도그_20
Art,99.75630950927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drawing,99.75630950927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sketch,98.21730041503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamp,85.1158447265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chandelier,85.1158447265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,0.0,98.22237396240234,99.81756591796875,93.07093811035156,99.00858306884766,97.42698669433594,99.13102722167969,93.81555938720703,82.72879028320312,99.50109100341797,96.50934600830078,97.42469024658203,86.49674224853516,98.47709655761719,96.41056823730469,96.50316619873047,92.39225769042969,95.17559814453125,95.84781646728516,97.67887878417969
Hound,0.0,98.22237396240234,62.151329040527344,0.0,0.0,0.0,99.13102722167969,0.0,0.0,0.0,0.0,79.0564193725586,0.0,0.0,82.69242858886719,59.59354019165039,56.00618362426758,0.0,75.75196838378906,78.43944549560547
Animal,0.0,98.22237396240234,99.81756591796875,93.07093811035156,99.00858306884766,97.42698669433594,99.13102722167969,93.81555938720703,92.58392333984375,99.50109100341797,99.51334381103516,97.42469024658203,86.49674224853516,98.47709655761719,96.41056823730469,96.50316619873047,92.66118621826172,95.17559814453125,95.84781646728516,97.67887878417969
Mammal,0.0,98.22237396240234,99.81756591796875,93.07093811035156,99.00858306884766,97.42698669433594,99.13102722167969,93.81555938720703,86.869873046875,99.50109100341797,99.51334381103516,97.42469024658203,86.49674224853516,98.47709655761719,96.41056823730469,96.50316619873047,92.39225769042969,95.17559814453125,95.84781646728516,97.67887878417969
Dog,0.0,98.22237396240234,99.81756591796875,93.07093811035156,99.00858306884766,97.42698669433594,99.13102722167969,91.8648910522461,55.42521667480469,99.50109100341797,96.50934600830078,97.42469024658203,84.30033874511719,98.47709655761719,96.41056823730469,96.50316619873047,90.93290710449219,95.17559814453125,95.84781646728516,97.67887878417969
Pet,0.0,98.22237396240234,99.81756591796875,93.07093811035156,99.00858306884766,97.42698669433594,99.13102722167969,92.9109115600586,79.30662536621094,99.50109100341797,96.50934600830078,97.42469024658203,85.94357299804688,98.47709655761719,96.41056823730469,96.50316619873047,92.66118621826172,95.17559814453125,95.84781646728516,97.67887878417969
Beagle,0.0,87.04674530029297,0.0,0.0,0.0,0.0,78.2723617553711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.75194549560547,0.0
Appenzeller,0.0,59.8870964050293,96.99405670166016,93.07093811035156,67.23827362060547,96.1302490234375,78.38893127441406,0.0,0.0,98.69979095458984,96.50934600830078,97.42469024658203,0.0,0.0,96.41056823730469,96.50316619873047,90.61093139648438,95.17559814453125,95.84781646728516,97.67887878417969
Grass,0.0,0.0,0.0,60.18577575683594,99.07637023925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.17438507080078,98.60626220703125,0.0,0.0,92.68180084228516,92.72244262695312,0.0,0.0
Plant,0.0,0.0,0.0,60.18577575683594,99.07637023925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.17438507080078,98.60626220703125,0.0,0.0,92.68180084228516,92.72244262695312,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,68.33861541748047,67.76060485839844,0.0,0.0,55.42521667480469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.15751647949219,64.61880493164062,0.0
Lawn,0.0,0.0,0.0,0.0,61.285518646240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.150108337402344,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,55.40172576904297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,63.13783645629883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.94947814941406,69.22045135498047,0.0,0.0
Wedding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedding Gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fashion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.10298156738281,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.10298156738281,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.76286315917969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7052001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.98366165161133,0.0,0.0,76.38359832763672,0.0,0.0,0.0,0.0,0.0,89.67565155029297,67.65426635742188,79.3056640625
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.98366165161133,0.0,0.0,76.38359832763672,0.0,0.0,0.0,0.0,0.0,89.67565155029297,67.65426635742188,79.3056640625
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.39547348022461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.51334381103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.15386962890625,56.1297607421875,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.15386962890625,56.1297607421875,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.565792083740234,55.935455322265625,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6932373046875,0.0,0.0,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.924896240234375,0.0,0.0,0.0,0.0,0.0,0.0
Tire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.833168029785156,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.6056137084961,0.0,0.0,0.0,0.0
Helmet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.10298156738281,0.0
Team Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65426635742188,0.0
Football,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65426635742188,0.0
Soccer Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65426635742188,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65426635742188,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65426635742188,0.0
Soccer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65426635742188,0.0
Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65426635742188,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65426635742188,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65426635742188,0.0
