,그레이하운드_1,그레이하운드_2,그레이하운드_3,그레이하운드_4,그레이하운드_5,그레이하운드_6,그레이하운드_7,그레이하운드_8,그레이하운드_9,그레이하운드_10,그레이하운드_11,그레이하운드_12,그레이하운드_13,그레이하운드_14,그레이하운드_15,그레이하운드_16,그레이하운드_17,그레이하운드_18,그레이하운드_19,그레이하운드_20
Game,81.75484466552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,81.75484466552734,0.0,0.0,96.18448638916016,91.84342956542969,70.57135772705078,0.0,0.0,98.3034439086914,0.0,0.0,0.0,0.0,70.74285888671875,0.0,0.0,0.0,0.0,0.0,96.81684112548828
Person,81.75484466552734,0.0,0.0,96.18448638916016,91.84342956542969,70.57135772705078,0.0,0.0,98.3034439086914,0.0,0.0,0.0,0.0,70.74285888671875,0.0,0.0,0.0,0.0,0.0,96.81684112548828
Chess,81.75484466552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,57.599937438964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,56.995540618896484,96.48048400878906,94.67329406738281,0.0,0.0,99.98926544189453,95.64749145507812,81.58409881591797,66.8082275390625,89.42361450195312,83.51578521728516,99.08935546875,88.57687377929688,92.25794982910156,97.76443481445312,99.7729721069336,97.82622528076172,95.02859497070312,81.45549774169922,57.2535514831543
Mammal,56.995540618896484,96.18985748291016,94.1944351196289,0.0,0.0,99.98926544189453,95.64749145507812,81.58409881591797,0.0,89.42361450195312,83.51578521728516,99.08935546875,88.32542419433594,92.25794982910156,97.76443481445312,99.7729721069336,97.82622528076172,93.08331298828125,79.93463897705078,0.0
Wolf,56.995540618896484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.35512161254883,0.0,0.0
Pet,0.0,81.4207992553711,92.95716857910156,0.0,0.0,99.98926544189453,95.64749145507812,81.58409881591797,0.0,88.70263671875,83.51578521728516,99.08935546875,88.57687377929688,91.5824966430664,97.76443481445312,99.7729721069336,97.82622528076172,89.60034942626953,74.87222290039062,0.0
Canine,0.0,77.0221176147461,92.95716857910156,0.0,0.0,99.98926544189453,95.64749145507812,81.58409881591797,0.0,89.42361450195312,83.51578521728516,99.08935546875,88.32542419433594,92.25794982910156,97.76443481445312,99.7729721069336,97.82622528076172,69.74079895019531,79.93463897705078,0.0
Dog,0.0,77.0221176147461,92.95716857910156,0.0,0.0,99.98926544189453,95.64749145507812,81.58409881591797,0.0,87.57484436035156,83.51578521728516,99.08935546875,88.08551788330078,74.08819580078125,97.76443481445312,99.7729721069336,97.82622528076172,64.86421966552734,72.2276382446289,0.0
Great Dane,0.0,65.98247528076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.82486724853516,0.0,99.08935546875,0.0,0.0,97.76443481445312,74.24791717529297,0.0,0.0,0.0,0.0
Horse,0.0,59.186641693115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,92.95716857910156,0.0,0.0,99.98926544189453,0.0,0.0,0.0,74.06100463867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,77.48185729980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,66.85731506347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.668357849121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,66.85731506347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.668357849121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,59.045162200927734,77.60084533691406,73.2112808227539,0.0,0.0,0.0,99.62471771240234,0.0,0.0,0.0,0.0,67.67314147949219,0.0,0.0,0.0,0.0,0.0,0.0
Helmet,0.0,0.0,59.045162200927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,59.045162200927734,77.60084533691406,73.2112808227539,0.0,0.0,0.0,99.62471771240234,0.0,0.0,0.0,0.0,67.67314147949219,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,84.79147338867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,84.79147338867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hat,0.0,0.0,0.0,73.52022552490234,0.0,0.0,0.0,0.0,99.62471771240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,72.35859680175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.31254577636719,0.0
Flyer,0.0,0.0,0.0,72.35859680175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,72.35859680175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Military,0.0,0.0,0.0,70.0561294555664,0.0,0.0,0.0,0.0,97.65718078613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cap,0.0,0.0,0.0,61.81196212768555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,0.0,0.0,0.0,59.64541244506836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,0.0,59.32466125488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
