,그린란드견_1,그린란드견_2,그린란드견_3,그린란드견_4,그린란드견_5,그린란드견_6,그린란드견_7,그린란드견_8,그린란드견_9,그린란드견_10,그린란드견_11,그린란드견_12,그린란드견_13,그린란드견_14,그린란드견_15,그린란드견_16,그린란드견_17,그린란드견_18,그린란드견_19,그린란드견_20
Animal,96.03282928466797,99.63463592529297,99.6841812133789,97.51545715332031,99.81146240234375,90.37541198730469,97.76963806152344,91.58611297607422,94.6447525024414,99.89392852783203,98.41510009765625,95.19258880615234,92.41398620605469,99.08831024169922,0.0,97.99854278564453,99.42861938476562,95.17010498046875,91.89517211914062,82.37673950195312
Canine,96.03282928466797,99.63463592529297,99.6841812133789,97.51545715332031,99.81146240234375,69.15367126464844,97.76963806152344,91.58611297607422,73.2210922241211,99.89392852783203,98.41510009765625,95.19258880615234,92.41398620605469,99.08831024169922,0.0,97.99854278564453,99.42861938476562,95.17010498046875,91.89517211914062,0.0
Pet,96.03282928466797,99.63463592529297,99.6841812133789,97.51545715332031,99.81146240234375,57.70927429199219,97.76963806152344,91.38632202148438,68.95536804199219,99.89392852783203,98.41510009765625,95.19258880615234,92.41398620605469,99.08831024169922,0.0,97.99854278564453,99.42861938476562,95.17010498046875,91.27192687988281,0.0
Husky,96.03282928466797,97.4860610961914,99.6841812133789,97.51545715332031,99.81146240234375,57.70927429199219,97.76963806152344,89.06390380859375,68.95536804199219,99.89392852783203,98.41510009765625,95.19258880615234,92.41398620605469,99.08831024169922,0.0,97.99854278564453,99.42861938476562,0.0,89.91915893554688,0.0
Dog,96.03282928466797,99.63463592529297,99.6841812133789,97.51545715332031,99.81146240234375,57.70927429199219,97.76963806152344,90.65290832519531,68.95536804199219,99.89392852783203,98.41510009765625,95.19258880615234,92.41398620605469,99.08831024169922,0.0,97.99854278564453,99.42861938476562,95.17010498046875,91.27192687988281,0.0
Mammal,96.03282928466797,99.63463592529297,99.6841812133789,97.51545715332031,99.81146240234375,90.37541198730469,97.76963806152344,91.58611297607422,94.6447525024414,99.89392852783203,98.41510009765625,95.19258880615234,92.41398620605469,99.08831024169922,0.0,97.99854278564453,99.42861938476562,95.17010498046875,91.89517211914062,78.57687377929688
Wolf,63.2701530456543,0.0,57.2625617980957,87.72696685791016,64.00750732421875,88.51087951660156,76.25542449951172,0.0,94.6447525024414,0.0,0.0,0.0,0.0,97.25130462646484,0.0,57.08185958862305,59.4573974609375,72.3846435546875,60.42595291137695,0.0
Wildlife,61.959495544433594,0.0,0.0,0.0,0.0,64.88272857666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.390743255615234
Strap,0.0,99.63481140136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leash,0.0,66.72422790527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,57.008766174316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,59.27400588989258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,57.2625617980957,65.75826263427734,64.00750732421875,0.0,57.52204513549805,0.0,72.18675994873047,0.0,0.0,0.0,0.0,73.54219818115234,0.0,0.0,59.4573974609375,72.3846435546875,0.0,0.0
Pig,0.0,0.0,0.0,84.50816345214844,0.0,0.0,96.82645416259766,0.0,0.0,0.0,0.0,62.26434326171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coyote,0.0,0.0,0.0,70.70808410644531,0.0,0.0,0.0,0.0,83.2463150024414,0.0,0.0,0.0,0.0,65.68627166748047,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,59.923011779785156,0.0,0.0,0.0,58.98129653930664,0.0,0.0,59.954856872558594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.27192687988281,0.0
Bear,0.0,0.0,0.0,0.0,0.0,56.78846740722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polar Bear,0.0,0.0,0.0,0.0,0.0,56.04397201538086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,55.134220123291016,55.923954010009766,0.0,0.0,85.67938995361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
