,글렌 오브 이말 테리어_1,글렌 오브 이말 테리어_2,글렌 오브 이말 테리어_3,글렌 오브 이말 테리어_4,글렌 오브 이말 테리어_5,글렌 오브 이말 테리어_6,글렌 오브 이말 테리어_7,글렌 오브 이말 테리어_8,글렌 오브 이말 테리어_9,글렌 오브 이말 테리어_10,글렌 오브 이말 테리어_11,글렌 오브 이말 테리어_12,글렌 오브 이말 테리어_13,글렌 오브 이말 테리어_14,글렌 오브 이말 테리어_15,글렌 오브 이말 테리어_16,글렌 오브 이말 테리어_17,글렌 오브 이말 테리어_18,글렌 오브 이말 테리어_19,글렌 오브 이말 테리어_20
Plant,93.15574645996094,58.845726013183594,0.0,0.0,99.2224349975586,99.9701919555664,0.0,87.7472152709961,89.70577239990234,76.74746704101562,73.8853530883789,85.60394287109375,0.0,70.64053344726562,0.0,96.61878967285156,0.0,73.2044906616211,95.69336700439453,57.47102355957031
Grass,93.15574645996094,0.0,0.0,0.0,99.2224349975586,99.9701919555664,0.0,0.0,89.70577239990234,76.74746704101562,73.8853530883789,85.60394287109375,0.0,70.64053344726562,0.0,96.61878967285156,0.0,73.2044906616211,95.69336700439453,0.0
Mammal,92.16781616210938,98.93611907958984,77.17042541503906,91.53145599365234,88.6125717163086,99.42564392089844,93.13365173339844,90.77978515625,92.92636108398438,92.75370025634766,91.81729888916016,93.45341491699219,95.57881927490234,89.71550750732422,96.98358917236328,89.91570281982422,89.01170349121094,91.36561584472656,93.37201690673828,91.43016815185547
Dog,92.16781616210938,98.93611907958984,75.56787872314453,90.6789779663086,87.38152313232422,99.42564392089844,92.82882690429688,81.22136688232422,92.92636108398438,92.16224670410156,90.43255615234375,92.12818145751953,95.16031646728516,68.1632308959961,96.98358917236328,89.15324401855469,89.01170349121094,90.43524169921875,93.37201690673828,90.46066284179688
Canine,92.16781616210938,98.93611907958984,77.17042541503906,91.53145599365234,88.6125717163086,99.42564392089844,93.13365173339844,90.77978515625,92.92636108398438,92.75370025634766,91.81729888916016,93.45341491699219,95.57881927490234,89.71550750732422,96.98358917236328,89.91570281982422,89.01170349121094,91.36561584472656,93.37201690673828,91.43016815185547
Pet,92.16781616210938,98.93611907958984,79.01338195800781,91.84918975830078,88.63739013671875,99.42564392089844,93.8583984375,91.73808288574219,92.92636108398438,92.5754165649414,90.50631713867188,92.5412826538086,95.16031646728516,88.83052062988281,96.98358917236328,89.69684600830078,89.01170349121094,91.52664184570312,93.68904113769531,91.8145980834961
Animal,92.16781616210938,98.93611907958984,79.01338195800781,91.84918975830078,88.63739013671875,99.42564392089844,93.8583984375,91.73808288574219,92.92636108398438,92.75370025634766,91.81729888916016,93.45341491699219,95.57881927490234,89.71550750732422,96.98358917236328,90.14554595947266,89.01170349121094,91.52664184570312,93.68904113769531,91.8145980834961
Terrier,83.05513763427734,59.103572845458984,0.0,81.98655700683594,66.78828430175781,61.1401481628418,81.5481948852539,0.0,86.62916564941406,72.29106903076172,62.29722213745117,64.13774108886719,90.0126953125,56.32952117919922,57.913936614990234,76.95235443115234,83.611083984375,75.99290466308594,79.81517791748047,81.5351791381836
Puppy,68.97644805908203,0.0,0.0,84.26287841796875,56.693565368652344,57.9266357421875,82.33796691894531,58.61655807495117,55.496376037597656,57.36248779296875,0.0,0.0,68.6527328491211,0.0,0.0,82.03688049316406,56.96396255493164,59.94272994995117,0.0,69.63385772705078
Affenpinscher,58.99938201904297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.97805404663086,64.76467895507812,56.112789154052734,79.79899597167969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,94.56391906738281,0.0,0.0,0.0,0.0,0.0,99.05660247802734,0.0,0.0,0.0,0.0,0.0,94.92634582519531,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,94.56391906738281,0.0,0.0,0.0,0.0,0.0,99.05660247802734,0.0,0.0,0.0,0.0,0.0,94.92634582519531,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,78.04151153564453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,60.37710952758789,0.0,86.56419372558594,67.69852447509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.1632308959961,96.98358917236328,0.0,0.0,0.0,0.0,0.0
Tire,0.0,0.0,99.59742736816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,98.84919738769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,98.84919738769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.037601470947266,0.0,0.0,0.0,0.0,0.0,0.0
Car Wheel,0.0,0.0,97.15992736816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alloy Wheel,0.0,0.0,96.1962661743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,96.1962661743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.037601470947266,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,87.23758697509766,0.0,0.0,74.85891723632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,55.194679260253906,65.38627624511719,0.0,55.39425277709961,66.43986511230469,55.82109832763672,65.20600128173828,0.0,56.3770866394043,0.0,68.15043640136719,0.0,56.58933639526367,0.0,69.9394760131836,0.0,84.40020751953125
Outdoors,0.0,0.0,0.0,0.0,70.9063491821289,75.64093017578125,0.0,63.1181755065918,0.0,60.03645706176758,68.30155181884766,71.92552185058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,69.73019409179688,93.7213363647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,67.13863372802734,60.546207427978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,67.13863372802734,61.074127197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,62.651283264160156,61.31165313720703,0.0,87.80126953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,62.651283264160156,61.31165313720703,0.0,87.80126953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shoe,0.0,0.0,0.0,0.0,56.747066497802734,56.8968391418457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Footwear,0.0,0.0,0.0,0.0,56.747066497802734,56.8968391418457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,0.0,0.0,0.0,63.65470504760742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,61.68098449707031,0.0,0.0,0.0,0.0,0.0,73.33978271484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,56.70424270629883,0.0,0.0,0.0,0.0,0.0,57.03883361816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yard,0.0,0.0,0.0,0.0,0.0,56.70424270629883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.57546997070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.00796508789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pottery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.00796508789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.00796508789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.22136688232422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.88580322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.88580322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Child,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.88580322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.88580322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blonde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.88580322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.88580322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potted Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.69639587402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.15240478515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Home Decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.91883850097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.46671295166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.93801879882812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.93801879882812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Housing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.93801879882812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cottage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.93801879882812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portrait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.2015151977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.2015151977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.2015151977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.6808967590332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.54119873046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.77455520629883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5986328125,0.0,0.0,0.0,0.0,0.0,61.77031326293945,0.0,0.0,0.0,0.0,0.0,0.0
Chair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.81169891357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.50896072387695,0.0,0.0,0.0,0.0,0.0,62.40074920654297,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.30937194824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Door,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.18696975708008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.60270690917969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.81982421875,0.0,93.28404998779297,0.0,0.0,67.97476196289062,0.0,0.0,88.81818389892578,0.0
Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.03883361816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rainforest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.03883361816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.03883361816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.40074920654297,0.0,0.0,0.0,0.0,0.0,0.0
Table,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.77031326293945,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.01170349121094,0.0,0.0,0.0
