,기슈견_1,기슈견_2,기슈견_3,기슈견_4,기슈견_5,기슈견_6,기슈견_7,기슈견_8,기슈견_9,기슈견_10,기슈견_11,기슈견_12,기슈견_13,기슈견_14,기슈견_15,기슈견_16,기슈견_17,기슈견_18,기슈견_19,기슈견_20
Animal,92.41156768798828,94.76246643066406,97.80551147460938,92.5071029663086,96.36434936523438,99.44612121582031,97.88035583496094,93.78495788574219,92.0272216796875,94.92155456542969,94.69815826416016,87.45014190673828,92.72384643554688,95.93840026855469,90.28491973876953,98.4503402709961,94.41724395751953,87.86849975585938,91.41007232666016,91.76850891113281
Mammal,90.61134338378906,93.81358337402344,97.80551147460938,92.5071029663086,96.36434936523438,99.44612121582031,97.88035583496094,93.78495788574219,91.21166229248047,94.92155456542969,94.69815826416016,87.45014190673828,92.72384643554688,95.93840026855469,90.28491973876953,98.4503402709961,94.41724395751953,87.86849975585938,91.41007232666016,91.76850891113281
Canine,86.27465057373047,93.81358337402344,97.80551147460938,92.5071029663086,96.36434936523438,99.44612121582031,97.88035583496094,93.78495788574219,90.05713653564453,94.92155456542969,94.69815826416016,87.45014190673828,92.72384643554688,95.93840026855469,90.28491973876953,98.4503402709961,94.41724395751953,87.86849975585938,91.41007232666016,91.76850891113281
Pet,86.21942901611328,94.76246643066406,97.80551147460938,92.5071029663086,95.68551635742188,99.44612121582031,97.88035583496094,92.5399398803711,90.82003784179688,94.7812728881836,94.36068725585938,86.43565368652344,92.72384643554688,95.93840026855469,89.32271575927734,98.4503402709961,93.48040008544922,84.86611938476562,91.41007232666016,90.7681655883789
Dog,82.95606994628906,93.0766372680664,97.80551147460938,92.5071029663086,95.68551635742188,99.44612121582031,97.88035583496094,92.28852844238281,87.53020477294922,94.09861755371094,94.36068725585938,86.43565368652344,92.72384643554688,95.93840026855469,88.64490509033203,98.4503402709961,93.30625915527344,55.62261962890625,91.41007232666016,89.83837127685547
Puppy,69.51782989501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.68426513671875,0.0,0.0,0.0,0.0,0.0,73.92443084716797,0.0,56.57718276977539,0.0,55.08831787109375,0.0
Outdoors,68.56910705566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,57.31884002685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,74.50105285644531,0.0,0.0,95.68551635742188,0.0,58.493446350097656,0.0,0.0,58.5020637512207,94.36068725585938,0.0,60.952152252197266,0.0,0.0,75.43440246582031,59.55292892456055,0.0,91.41007232666016,73.21446990966797
Eskimo Dog,0.0,71.09040069580078,0.0,0.0,76.11785888671875,0.0,60.672183990478516,0.0,60.61588668823242,72.47663116455078,60.30277633666992,0.0,0.0,0.0,0.0,84.24408721923828,75.51258087158203,0.0,63.29421615600586,59.26428985595703
