,나폴리탄 마스티프_1,나폴리탄 마스티프_2,나폴리탄 마스티프_3,나폴리탄 마스티프_4,나폴리탄 마스티프_5,나폴리탄 마스티프_6,나폴리탄 마스티프_7,나폴리탄 마스티프_8,나폴리탄 마스티프_9,나폴리탄 마스티프_10,나폴리탄 마스티프_11,나폴리탄 마스티프_12,나폴리탄 마스티프_13,나폴리탄 마스티프_14,나폴리탄 마스티프_15,나폴리탄 마스티프_16,나폴리탄 마스티프_17,나폴리탄 마스티프_18,나폴리탄 마스티프_19,나폴리탄 마스티프_20
Animal,92.64370727539062,94.96875,0.0,92.45641326904297,99.39471435546875,96.07180786132812,92.33155059814453,94.5096435546875,88.66625213623047,85.18009948730469,92.86653900146484,77.62516021728516,86.60076904296875,95.93370819091797,78.34358215332031,93.14251708984375,92.30467987060547,94.63014221191406,89.65161895751953,90.7955551147461
Mammal,91.8263931274414,94.76873779296875,0.0,92.45641326904297,99.39471435546875,96.07180786132812,92.33155059814453,91.41436004638672,88.66625213623047,85.18009948730469,91.89250946044922,77.62516021728516,83.49214935302734,95.93370819091797,64.63811492919922,91.73628997802734,92.30467987060547,94.63014221191406,89.65161895751953,90.7955551147461
Canine,90.00888061523438,79.0572509765625,0.0,92.45641326904297,99.39471435546875,96.07180786132812,0.0,91.41436004638672,88.66625213623047,78.03388977050781,91.89250946044922,65.21199035644531,83.49214935302734,95.93370819091797,0.0,91.73628997802734,92.30467987060547,94.63014221191406,89.65161895751953,90.7955551147461
Pet,86.4260482788086,76.32616424560547,0.0,92.36457061767578,99.39471435546875,96.07180786132812,0.0,87.57897186279297,87.427978515625,79.8636474609375,92.86653900146484,75.2048568725586,86.60076904296875,95.93370819091797,0.0,93.14251708984375,92.30467987060547,93.2626724243164,88.95472717285156,89.75834655761719
Dog,85.97899627685547,76.32616424560547,0.0,92.36457061767578,99.39471435546875,96.07180786132812,0.0,73.39082336425781,86.30331420898438,58.22218322753906,91.47144317626953,0.0,83.49214935302734,95.93370819091797,0.0,90.08711242675781,92.30467987060547,83.60874938964844,88.28126525878906,89.75834655761719
Bulldog,78.68033599853516,0.0,0.0,92.36457061767578,99.39471435546875,93.66659545898438,0.0,0.0,70.62400817871094,58.22218322753906,56.74037170410156,0.0,83.49214935302734,0.0,0.0,0.0,92.30467987060547,56.39592361450195,81.67707061767578,81.28717041015625
Pitbull,57.5844841003418,0.0,0.0,90.32955932617188,0.0,92.8419189453125,0.0,0.0,66.16957092285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.16647338867188,0.0,67.06974792480469,58.43043899536133
Puppy,56.890174865722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.804962158203125,0.0,0.0,0.0,0.0
Pig,0.0,88.60852813720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,0.0,86.29639434814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cattle,0.0,75.34137725830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gun,0.0,0.0,98.42980194091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weaponry,0.0,0.0,98.42980194091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weapon,0.0,0.0,98.42980194091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,68.3939437866211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rifle,0.0,0.0,58.566749572753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,0.0,75.78079986572266,99.39471435546875,0.0,0.0,0.0,0.0,0.0,55.67258834838867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,58.017398834228516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lion,0.0,0.0,0.0,58.017398834228516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,56.78586959838867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,56.78586959838867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,63.69991683959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,63.69991683959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,99.52516174316406,99.66033935546875,0.0,80.99576568603516,0.0,80.63735961914062,0.0,71.21477508544922,0.0,0.0,0.0,95.95567321777344,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,99.52516174316406,99.66033935546875,0.0,80.99576568603516,0.0,80.63735961914062,0.0,71.21477508544922,0.0,0.0,0.0,95.95567321777344,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,92.33155059814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colt Horse,0.0,0.0,0.0,0.0,0.0,0.0,56.71761703491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.94225311279297,94.28416442871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.94225311279297,94.28416442871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.39082336425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.889530181884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.30937957763672,59.56268310546875,0.0,0.0,0.0,0.0,95.93370819091797,0.0,0.0,0.0,0.0,0.0,0.0
Sweater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.28416442871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hoodie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.28416442871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweatshirt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.28416442871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.52263641357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.16117095947266,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.70824432373047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.22218322753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.489803314208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.12693786621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.09698486328125,0.0,0.0,0.0,0.0,0.0,0.0,83.60874938964844,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.82979965209961,0.0,0.0,78.71826934814453,0.0,0.0,0.0,0.0,0.0
Statue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.82979965209961,0.0,0.0,78.71826934814453,0.0,0.0,0.0,0.0,0.0
Sculpture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.82979965209961,0.0,0.0,78.71826934814453,0.0,0.0,0.0,0.0,0.0
Zoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.706878662109375,0.0,0.0,56.50379943847656,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.91170501708984,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.91170501708984,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.91170501708984,0.0,0.0,0.0,0.0,0.0
