,노르웨이 엘크 하운드_1,노르웨이 엘크 하운드_2,노르웨이 엘크 하운드_3,노르웨이 엘크 하운드_4,노르웨이 엘크 하운드_5,노르웨이 엘크 하운드_6,노르웨이 엘크 하운드_7,노르웨이 엘크 하운드_8,노르웨이 엘크 하운드_9,노르웨이 엘크 하운드_10,노르웨이 엘크 하운드_11,노르웨이 엘크 하운드_12,노르웨이 엘크 하운드_13,노르웨이 엘크 하운드_14,노르웨이 엘크 하운드_15,노르웨이 엘크 하운드_16,노르웨이 엘크 하운드_17,노르웨이 엘크 하운드_18,노르웨이 엘크 하운드_19,노르웨이 엘크 하운드_20
Animal,93.18290710449219,93.68865203857422,96.32661437988281,96.24099731445312,88.9298324584961,98.93753051757812,93.06448364257812,98.66791534423828,95.30396270751953,94.14388275146484,93.04747772216797,92.81070709228516,90.97769165039062,92.47142791748047,91.05619049072266,94.18856811523438,97.72797393798828,96.6668930053711,98.85072326660156,98.64462280273438
Pet,92.92863464355469,0.0,95.84396362304688,96.24099731445312,81.14668273925781,98.93753051757812,91.87661743164062,98.66791534423828,91.80940246582031,94.14388275146484,93.04747772216797,90.60482788085938,88.76546478271484,91.1817398071289,89.67240142822266,88.98872375488281,76.04137420654297,96.6668930053711,98.85072326660156,98.64462280273438
Canine,92.90814208984375,84.0595703125,96.32661437988281,96.11213684082031,82.95879364013672,98.93753051757812,93.06448364257812,98.66791534423828,91.298828125,93.1996841430664,91.5670166015625,92.81070709228516,90.86333465576172,91.1817398071289,90.8116226196289,88.98872375488281,86.20285034179688,95.49819946289062,98.85072326660156,98.64462280273438
Mammal,92.90814208984375,91.8042984008789,96.32661437988281,96.11213684082031,87.76116943359375,98.93753051757812,93.06448364257812,98.66791534423828,95.30396270751953,93.60287475585938,91.5670166015625,92.81070709228516,90.97769165039062,92.47142791748047,91.05619049072266,94.18856811523438,97.72797393798828,95.49819946289062,98.85072326660156,98.64462280273438
Dog,92.4537353515625,0.0,94.59591674804688,96.11213684082031,0.0,98.93753051757812,59.383018493652344,98.66791534423828,90.03206634521484,93.1996841430664,91.51126098632812,90.60482788085938,88.63330078125,91.1817398071289,89.67240142822266,88.98872375488281,76.04137420654297,95.31767272949219,98.85072326660156,98.64462280273438
Puppy,70.85381317138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.93158721923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,63.68648910522461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,58.618831634521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,96.65901947021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,96.65901947021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
