,노르웨지안 부훈트_1,노르웨지안 부훈트_2,노르웨지안 부훈트_3,노르웨지안 부훈트_4,노르웨지안 부훈트_5,노르웨지안 부훈트_6,노르웨지안 부훈트_7,노르웨지안 부훈트_8,노르웨지안 부훈트_9,노르웨지안 부훈트_10,노르웨지안 부훈트_11,노르웨지안 부훈트_12,노르웨지안 부훈트_13,노르웨지안 부훈트_14,노르웨지안 부훈트_15,노르웨지안 부훈트_16,노르웨지안 부훈트_17,노르웨지안 부훈트_18,노르웨지안 부훈트_19,노르웨지안 부훈트_20
Magazine,91.67694854736328,0.0,0.0,0.0,0.0,0.0,0.0,91.09223175048828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,78.07355499267578,0.0,0.0,92.38803100585938,0.0,0.0,0.0,80.95762634277344,0.0,0.0,0.0,97.32401275634766,0.0,73.51164245605469,99.53731536865234,98.98767852783203,0.0,95.17790222167969,0.0,0.0
Poster,71.86612701416016,0.0,0.0,92.38803100585938,0.0,0.0,0.0,77.78740692138672,0.0,0.0,0.0,97.32401275634766,0.0,70.40951538085938,99.53731536865234,98.98767852783203,0.0,95.17790222167969,0.0,0.0
Brochure,65.12682342529297,0.0,0.0,85.88427734375,0.0,0.0,0.0,68.80328369140625,0.0,0.0,0.0,84.37875366210938,0.0,58.01116943359375,99.53731536865234,98.98767852783203,0.0,92.25764465332031,0.0,0.0
Paper,65.12682342529297,0.0,0.0,85.88427734375,0.0,0.0,0.0,68.80328369140625,0.0,0.0,0.0,84.37875366210938,0.0,62.75008010864258,99.53731536865234,98.98767852783203,0.0,96.0107421875,0.0,0.0
Flyer,65.12682342529297,0.0,0.0,85.88427734375,0.0,0.0,0.0,68.80328369140625,0.0,0.0,0.0,84.37875366210938,0.0,58.01116943359375,99.53731536865234,98.98767852783203,0.0,92.25764465332031,0.0,0.0
Tabloid,57.06428146362305,0.0,0.0,0.0,0.0,0.0,0.0,56.48041534423828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,55.97441101074219,85.4794692993164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.41754150390625,0.0,99.8329086303711,87.09455108642578,87.9991455078125,0.0,97.69320678710938,0.0,0.0
Bottle,0.0,94.65348052978516,96.0919418334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Label,0.0,85.4794692993164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tin,0.0,72.09064483642578,67.27631378173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can,0.0,71.12528991699219,67.27631378173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spray Can,0.0,63.943424224853516,59.473121643066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmetics,0.0,57.336387634277344,77.13742065429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,0.0,0.0,0.0,86.4472427368164,88.89278411865234,74.00826263427734,94.96526336669922,65.11467742919922,99.8454360961914,96.42251586914062,98.6178970336914,88.00914001464844,94.69697570800781,0.0,97.61509704589844,61.36688995361328,98.71043395996094,61.34707260131836,91.09719848632812,97.30979919433594
Mammal,0.0,0.0,0.0,86.4472427368164,87.66763305664062,74.00826263427734,94.96526336669922,62.656097412109375,99.8454360961914,96.42251586914062,98.6178970336914,82.97025299072266,94.69697570800781,0.0,97.61509704589844,61.36688995361328,98.71043395996094,61.34707260131836,91.09719848632812,97.30979919433594
Canine,0.0,0.0,0.0,86.4472427368164,87.66763305664062,67.0384292602539,82.88862609863281,62.656097412109375,99.8454360961914,0.0,98.6178970336914,69.97238159179688,94.69697570800781,0.0,97.61509704589844,60.95063018798828,98.71043395996094,0.0,91.09719848632812,97.30979919433594
Dog,0.0,0.0,0.0,84.04443359375,86.97288513183594,0.0,82.88862609863281,59.37486267089844,99.8454360961914,0.0,98.6178970336914,0.0,94.69697570800781,0.0,97.61509704589844,0.0,98.71043395996094,0.0,90.05226135253906,97.30979919433594
Pet,0.0,0.0,0.0,84.04443359375,88.89278411865234,62.614688873291016,82.88862609863281,60.62617111206055,99.8454360961914,0.0,98.6178970336914,0.0,94.69697570800781,0.0,97.61509704589844,0.0,98.71043395996094,0.0,90.05226135253906,97.30979919433594
Hound,0.0,0.0,0.0,68.09521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.05226135253906,0.0
Chihuahua,0.0,0.0,0.0,58.11370849609375,74.02362823486328,0.0,0.0,0.0,0.0,0.0,60.003055572509766,0.0,57.73531723022461,0.0,0.0,0.0,0.0,0.0,0.0,57.663639068603516
Husky,0.0,0.0,0.0,55.889556884765625,85.83897399902344,0.0,0.0,0.0,99.8454360961914,0.0,98.6178970336914,0.0,89.13077545166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,55.64277267456055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.82147979736328,0.0
Machine,0.0,0.0,0.0,55.48710250854492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,55.48710250854492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Car Wheel,0.0,0.0,0.0,55.48710250854492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tire,0.0,0.0,0.0,55.48710250854492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
