,노리치 테리어_1,노리치 테리어_2,노리치 테리어_3,노리치 테리어_4,노리치 테리어_5,노리치 테리어_6,노리치 테리어_7,노리치 테리어_8,노리치 테리어_9,노리치 테리어_10,노리치 테리어_11,노리치 테리어_12,노리치 테리어_13,노리치 테리어_14,노리치 테리어_15,노리치 테리어_16,노리치 테리어_17,노리치 테리어_18,노리치 테리어_19,노리치 테리어_20
Animal,91.82237243652344,98.5531997680664,98.94825744628906,93.71696472167969,99.1844482421875,93.0367431640625,91.93720245361328,99.5679702758789,84.74945831298828,94.38324737548828,99.89755249023438,90.25122833251953,96.78419494628906,88.0592269897461,96.13583374023438,92.56784057617188,95.49787902832031,92.6581802368164,83.13380432128906,75.54808044433594
Mammal,91.15853881835938,98.5531997680664,98.94825744628906,93.71696472167969,99.1844482421875,93.0367431640625,91.78180694580078,99.5679702758789,83.0473403930664,94.38324737548828,99.89755249023438,88.03190612792969,96.78419494628906,87.7335433959961,96.13583374023438,92.56784057617188,95.12902069091797,92.6581802368164,83.13380432128906,75.54808044433594
Canine,90.69125366210938,98.5531997680664,98.94825744628906,93.71696472167969,99.1844482421875,93.0367431640625,91.78180694580078,99.5679702758789,0.0,94.38324737548828,93.20530700683594,77.8024673461914,91.24227905273438,87.7335433959961,96.13583374023438,92.56784057617188,95.12902069091797,92.6581802368164,83.13380432128906,75.54808044433594
Pet,90.428955078125,98.5531997680664,98.94825744628906,93.71696472167969,99.1844482421875,93.0367431640625,91.93720245361328,99.5679702758789,0.0,94.30098724365234,81.50296020507812,77.84137725830078,91.7652816772461,88.0592269897461,96.13583374023438,92.56784057617188,95.49787902832031,91.1873779296875,80.61409759521484,75.1565933227539
Dog,88.10188293457031,98.5531997680664,98.94825744628906,93.71696472167969,99.1844482421875,93.0367431640625,91.78180694580078,99.5679702758789,0.0,93.295654296875,80.9825439453125,74.22818756103516,91.24227905273438,87.7335433959961,96.13583374023438,92.56784057617188,95.12902069091797,91.1873779296875,78.06514739990234,55.424842834472656
Grass,86.53508758544922,0.0,0.0,99.33720397949219,0.0,55.10401916503906,0.0,89.23047637939453,0.0,0.0,75.55213928222656,0.0,62.52326965332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,86.53508758544922,0.0,0.0,99.33720397949219,0.0,55.10401916503906,0.0,89.23047637939453,0.0,0.0,75.55213928222656,0.0,62.52326965332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,75.61932373046875,0.0,60.690269470214844,93.71696472167969,94.62451171875,93.0367431640625,67.85414123535156,85.28755187988281,0.0,0.0,0.0,0.0,81.75473022460938,87.7335433959961,96.13583374023438,92.56784057617188,89.77140045166016,64.88178253173828,0.0,0.0
Pig,72.73828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.89755249023438,63.87858581542969,96.78419494628906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,98.5531997680664,98.94825744628906,77.49574279785156,96.5530776977539,0.0,91.78180694580078,56.06661605834961,0.0,0.0,66.47611999511719,0.0,82.37025451660156,74.42964172363281,65.87527465820312,72.54551696777344,0.0,65.96772766113281,0.0,0.0
Hound,0.0,90.39640045166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,64.22698974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,72.56802368164062,0.0,0.0,60.283546447753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,59.562095642089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,57.63900375366211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,57.63900375366211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.28861618041992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,57.63900375366211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,96.70977020263672,0.0,0.0,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.71878814697266
Human,0.0,0.0,0.0,0.0,0.0,96.70977020263672,0.0,0.0,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.71878814697266
Apparel,0.0,0.0,0.0,0.0,0.0,73.711181640625,0.0,71.91554260253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,73.711181640625,0.0,71.91554260253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,57.153076171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,55.20124435424805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.08537292480469,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.73664093017578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.65850830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
