,노바 스코셔 덕 톨링 레트리버_1,노바 스코셔 덕 톨링 레트리버_2,노바 스코셔 덕 톨링 레트리버_3,노바 스코셔 덕 톨링 레트리버_4,노바 스코셔 덕 톨링 레트리버_5,노바 스코셔 덕 톨링 레트리버_6,노바 스코셔 덕 톨링 레트리버_7,노바 스코셔 덕 톨링 레트리버_8,노바 스코셔 덕 톨링 레트리버_9,노바 스코셔 덕 톨링 레트리버_10,노바 스코셔 덕 톨링 레트리버_11,노바 스코셔 덕 톨링 레트리버_12,노바 스코셔 덕 톨링 레트리버_13,노바 스코셔 덕 톨링 레트리버_14,노바 스코셔 덕 톨링 레트리버_15,노바 스코셔 덕 톨링 레트리버_16,노바 스코셔 덕 톨링 레트리버_17,노바 스코셔 덕 톨링 레트리버_18,노바 스코셔 덕 톨링 레트리버_19,노바 스코셔 덕 톨링 레트리버_20
Canine,93.5003890991211,98.80715942382812,99.82324981689453,97.43425750732422,99.10163879394531,95.98521423339844,92.7149429321289,99.6593246459961,99.75040435791016,99.95690155029297,99.27869415283203,97.3285140991211,99.93396759033203,99.97525787353516,91.12461853027344,92.45833587646484,99.90591430664062,99.89480590820312,90.05453491210938,99.52387237548828
Mammal,93.5003890991211,98.80715942382812,99.82324981689453,97.43425750732422,99.10163879394531,99.64164733886719,92.7149429321289,99.6593246459961,99.75040435791016,99.95690155029297,99.27869415283203,97.3285140991211,99.93396759033203,99.97525787353516,91.12461853027344,92.45833587646484,99.90591430664062,99.89480590820312,90.05453491210938,99.52387237548828
Animal,93.5003890991211,98.80715942382812,99.82324981689453,97.43425750732422,99.10163879394531,99.64164733886719,92.7149429321289,99.6593246459961,99.75040435791016,99.95690155029297,99.27869415283203,97.3285140991211,99.93396759033203,99.97525787353516,91.12461853027344,92.45833587646484,99.90591430664062,99.89480590820312,91.0490493774414,99.52387237548828
Dog,89.82572937011719,98.80715942382812,99.82324981689453,97.43425750732422,99.10163879394531,95.98521423339844,90.843994140625,99.6593246459961,99.75040435791016,99.95690155029297,99.27869415283203,97.3285140991211,99.93396759033203,99.97525787353516,89.04951477050781,92.45833587646484,99.90591430664062,99.89480590820312,88.4962387084961,99.52387237548828
Pet,89.82572937011719,98.80715942382812,99.82324981689453,97.43425750732422,99.10163879394531,95.98521423339844,90.843994140625,99.6593246459961,99.75040435791016,99.95690155029297,99.27869415283203,97.3285140991211,99.93396759033203,99.97525787353516,90.3678970336914,92.45833587646484,99.90591430664062,99.89480590820312,90.3661117553711,99.52387237548828
Labrador Retriever,88.57515716552734,0.0,0.0,0.0,0.0,95.98521423339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.27553939819336,0.0,0.0,0.0,0.0,0.0,61.40968322753906,0.0,0.0,0.0,0.0
Winter,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,76.4194107055664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.593753814697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,76.4194107055664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.593753814697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green,74.6183853149414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,98.80715942382812,0.0,57.98565673828125,0.0,0.0,0.0,57.145259857177734,0.0,0.0,56.35251998901367,57.715248107910156,0.0,0.0,0.0,75.04407501220703,0.0,0.0,69.27222442626953,57.39259719848633
Golden Retriever,0.0,78.26750183105469,99.82324981689453,97.43425750732422,99.10163879394531,0.0,0.0,99.6593246459961,99.75040435791016,99.95690155029297,99.27869415283203,97.3285140991211,99.93396759033203,99.97525787353516,0.0,92.45833587646484,99.90591430664062,99.89480590820312,83.80187225341797,99.52387237548828
Sitting,0.0,63.237525939941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonfire,0.0,0.0,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
