,노퍽 테리어_1,노퍽 테리어_2,노퍽 테리어_3,노퍽 테리어_4,노퍽 테리어_5,노퍽 테리어_6,노퍽 테리어_7,노퍽 테리어_8,노퍽 테리어_9,노퍽 테리어_10,노퍽 테리어_11,노퍽 테리어_12,노퍽 테리어_13,노퍽 테리어_14,노퍽 테리어_15,노퍽 테리어_16,노퍽 테리어_17,노퍽 테리어_18,노퍽 테리어_19,노퍽 테리어_20
Animal,93.18290710449219,84.74945831298828,95.21717071533203,92.5489730834961,91.82237243652344,98.94825744628906,97.8915023803711,98.90985107421875,99.4608383178711,85.56451416015625,92.85578918457031,91.82730102539062,90.55680847167969,98.17654418945312,99.1844482421875,98.97762298583984,97.88275146484375,91.03636932373047,97.42913055419922,91.80723571777344
Pet,92.92863464355469,0.0,95.21717071533203,89.50647735595703,90.428955078125,98.94825744628906,97.8915023803711,98.90985107421875,99.4608383178711,85.39434814453125,92.85578918457031,91.82730102539062,90.1351547241211,98.17654418945312,99.1844482421875,98.97762298583984,97.88275146484375,91.03636932373047,97.42913055419922,91.80723571777344
Canine,92.90814208984375,0.0,93.99748992919922,89.4100112915039,90.69125366210938,98.94825744628906,97.8915023803711,98.90985107421875,99.4608383178711,85.56451416015625,92.75088500976562,91.64456939697266,90.55680847167969,98.17654418945312,99.1844482421875,98.97762298583984,97.88275146484375,91.03636932373047,97.42913055419922,91.80723571777344
Mammal,92.90814208984375,83.0473403930664,93.99748992919922,91.36827087402344,91.15853881835938,98.94825744628906,97.8915023803711,98.90985107421875,99.4608383178711,85.56451416015625,92.75088500976562,91.64456939697266,90.55680847167969,98.17654418945312,99.1844482421875,98.97762298583984,97.88275146484375,91.03636932373047,97.42913055419922,91.80723571777344
Dog,92.4537353515625,0.0,93.62459564208984,87.65843963623047,88.10188293457031,98.94825744628906,97.8915023803711,98.90985107421875,99.4608383178711,85.39434814453125,92.31756591796875,90.8876953125,90.1351547241211,98.17654418945312,99.1844482421875,98.97762298583984,97.88275146484375,91.03636932373047,97.42913055419922,91.80723571777344
Puppy,70.85381317138672,0.0,75.2303466796875,63.257408142089844,0.0,98.94825744628906,0.0,0.0,0.0,0.0,83.66546630859375,66.64833068847656,78.20318603515625,98.17654418945312,96.55308532714844,0.0,0.0,69.15328979492188,0.0,91.80723571777344
Terrier,63.68648910522461,0.0,78.8932876586914,0.0,75.61932373046875,60.690269470214844,97.8915023803711,0.0,95.41319274902344,0.0,64.33910369873047,77.54376220703125,90.1351547241211,90.02877044677734,94.62451934814453,98.97762298583984,97.88275146484375,91.03636932373047,97.42913055419922,73.56704711914062
Golden Retriever,58.618831634521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,86.65850830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,0.0,56.77275466918945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,56.02336883544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,57.83012390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,56.7122917175293,56.20789337158203,0.0,0.0,0.0,0.0,0.0,0.0,62.11721420288086,59.162353515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.20551681518555
Grass,0.0,0.0,0.0,94.90237426757812,86.53508758544922,0.0,98.26367950439453,0.0,55.80693054199219,0.0,0.0,0.0,0.0,0.0,0.0,84.67937469482422,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,94.90237426757812,86.53508758544922,0.0,98.26367950439453,0.0,55.80693054199219,0.0,0.0,0.0,0.0,0.0,0.0,84.67937469482422,0.0,0.0,0.0,0.0
Green,0.0,0.0,0.0,57.421932220458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,72.73828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.09020233154297,0.0,72.66044616699219,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,72.56802368164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airedale,0.0,0.0,0.0,0.0,0.0,0.0,90.5373764038086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.80355834960938,77.95346069335938,0.0,88.11790466308594,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,59.620365142822266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,0.0,59.620365142822266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,59.620365142822266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.29021453857422,0.0,58.883384704589844,0.0,55.29645538330078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.11565399169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.32265090942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.32265090942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.36091995239258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.58515930175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.58515930175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.49153137207031,0.0,0.0,0.0,0.0,59.89673614501953,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.49153137207031,0.0,0.0,0.0,0.0,59.89673614501953,0.0,0.0
