,뉴펀들랜드_1,뉴펀들랜드_2,뉴펀들랜드_3,뉴펀들랜드_4,뉴펀들랜드_5,뉴펀들랜드_6,뉴펀들랜드_7,뉴펀들랜드_8,뉴펀들랜드_9,뉴펀들랜드_10,뉴펀들랜드_11,뉴펀들랜드_12,뉴펀들랜드_13,뉴펀들랜드_14,뉴펀들랜드_15,뉴펀들랜드_16,뉴펀들랜드_17,뉴펀들랜드_18,뉴펀들랜드_19,뉴펀들랜드_20
Person,96.01783752441406,98.40021514892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,96.01783752441406,98.40021514892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,94.68284606933594,87.76116943359375,0.0,96.6076431274414,95.0332260131836,91.8620834350586,95.76042938232422,93.64759826660156,93.09068298339844,99.13763427734375,97.90095520019531,0.0,95.44621276855469,93.81555938720703,91.01480102539062,97.80636596679688,93.62846374511719,92.83442687988281,96.21417236328125,96.80644226074219
Animal,94.68284606933594,88.9298324584961,0.0,96.6076431274414,95.0332260131836,91.8620834350586,95.76042938232422,93.64759826660156,93.09068298339844,99.13763427734375,97.90095520019531,0.0,95.44621276855469,93.81555938720703,91.1351547241211,97.80636596679688,93.62846374511719,92.83442687988281,96.21417236328125,96.80644226074219
Canine,92.4903564453125,82.95879364013672,0.0,96.6076431274414,95.0332260131836,91.55475616455078,95.76042938232422,93.64759826660156,93.09068298339844,99.13763427734375,97.90095520019531,0.0,95.44621276855469,93.81555938720703,91.01480102539062,97.80636596679688,93.62846374511719,92.83442687988281,96.21417236328125,96.80644226074219
Pet,91.47100830078125,81.14668273925781,0.0,96.6076431274414,95.0332260131836,91.30899810791016,95.76042938232422,93.64759826660156,90.67752838134766,99.13763427734375,97.90095520019531,0.0,95.44621276855469,92.9109115600586,91.01972961425781,97.80636596679688,93.1005859375,92.19158172607422,96.21417236328125,96.80644226074219
Grass,90.9356918334961,0.0,0.0,79.7913589477539,99.62664794921875,85.2932357788086,0.0,0.0,77.5795669555664,0.0,0.0,0.0,85.00727081298828,0.0,0.0,0.0,0.0,62.76742935180664,0.0,0.0
Plant,90.9356918334961,0.0,0.0,79.7913589477539,99.92411804199219,85.2932357788086,0.0,0.0,77.5795669555664,56.851478576660156,0.0,57.95870590209961,97.63583374023438,0.0,0.0,0.0,0.0,62.76742935180664,0.0,0.0
Soccer,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,69.36852264404297,0.0,0.0,96.6076431274414,95.0332260131836,91.30899810791016,95.76042938232422,93.64759826660156,90.67752838134766,99.13763427734375,97.90095520019531,0.0,95.44621276855469,91.8648910522461,90.40861511230469,97.80636596679688,93.1005859375,92.19158172607422,96.21417236328125,96.80644226074219
Saint Bernard,69.36852264404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,69.2890396118164,0.0,99.9980697631836,0.0,99.17400360107422,0.0,0.0,0.0,0.0,0.0,0.0,60.91935348510742,95.77631378173828,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0
Yard,62.45136260986328,0.0,0.0,0.0,94.2575912475586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,62.45136260986328,0.0,99.9980697631836,0.0,99.04832458496094,0.0,0.0,0.0,0.0,0.0,0.0,59.849891662597656,95.77631378173828,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,56.89896011352539,61.261714935302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,72.47357940673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costume,0.0,62.12939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,61.63648986816406,0.0,0.0,66.24349212646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hair,0.0,57.860992431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panoramic,0.0,0.0,99.9980697631836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
