,닥스훈트_1,닥스훈트_2,닥스훈트_3,닥스훈트_4,닥스훈트_5,닥스훈트_6,닥스훈트_7,닥스훈트_8,닥스훈트_9,닥스훈트_10,닥스훈트_11,닥스훈트_12,닥스훈트_13,닥스훈트_14,닥스훈트_15,닥스훈트_16,닥스훈트_17,닥스훈트_18,닥스훈트_19,닥스훈트_20
Animal,93.87875366210938,97.1642074584961,91.59268188476562,96.53802490234375,85.36519622802734,86.8566665649414,93.0858383178711,97.29139709472656,0.0,99.14459991455078,98.15682220458984,96.04531860351562,83.6706771850586,88.39698028564453,57.42643356323242,96.31658935546875,98.94326782226562,91.69840240478516,91.9267578125,91.61761474609375
Mammal,93.79077911376953,97.1642074584961,90.02997589111328,96.53802490234375,85.36519622802734,85.08536529541016,92.55143737792969,97.29139709472656,0.0,99.14459991455078,98.15682220458984,95.30573272705078,79.88688659667969,87.17230224609375,0.0,94.61698150634766,98.94326782226562,90.97188568115234,83.9840087890625,91.00680541992188
Pet,91.0144271850586,97.1642074584961,88.52423095703125,96.53802490234375,66.8263168334961,86.8566665649414,76.46290588378906,97.29139709472656,0.0,99.14459991455078,98.15682220458984,95.30573272705078,0.0,81.83766174316406,0.0,84.3321304321289,98.94326782226562,87.91861724853516,59.35607147216797,91.61761474609375
Canine,90.60224914550781,97.1642074584961,90.02997589111328,96.53802490234375,70.8440170288086,85.08536529541016,83.97313690185547,97.29139709472656,0.0,99.14459991455078,98.15682220458984,95.30573272705078,0.0,87.17230224609375,0.0,89.10481262207031,98.94326782226562,90.97188568115234,63.901912689208984,89.20333099365234
Dog,88.78644561767578,97.1642074584961,88.52423095703125,96.53802490234375,66.50558471679688,83.77901458740234,76.21234130859375,97.29139709472656,0.0,99.14459991455078,98.15682220458984,95.30573272705078,0.0,63.09466552734375,0.0,81.26995849609375,98.94326782226562,80.89159393310547,0.0,89.20333099365234
Terrier,55.06562042236328,0.0,0.0,0.0,0.0,72.24419403076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,97.1642074584961,72.156982421875,0.0,0.0,0.0,0.0,0.0,0.0,99.14459991455078,98.15682220458984,75.32982635498047,0.0,63.09466552734375,0.0,60.01220703125,0.0,80.89159393310547,0.0,0.0
Beagle,0.0,82.32284545898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.40396881103516,56.09018325805664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,60.38524627685547,86.45574951171875,96.53802490234375,66.50558471679688,0.0,0.0,89.6417007446289,0.0,81.02886962890625,57.79428482055664,95.30573272705078,0.0,0.0,0.0,0.0,91.71293640136719,0.0,0.0,55.39999771118164
Floor,0.0,0.0,56.462799072265625,59.094398498535156,82.98413848876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,56.41864776611328,63.21788024902344,0.0,0.0,0.0,97.29139709472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweets,0.0,0.0,0.0,0.0,98.32258605957031,0.0,56.64335632324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confectionery,0.0,0.0,0.0,0.0,98.32258605957031,0.0,56.64335632324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food,0.0,0.0,0.0,0.0,98.32258605957031,0.0,56.64335632324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,69.43506622314453,0.0,0.0,0.0,74.27576446533203,91.22664642333984,0.0,0.0,63.77500915527344,67.35438537597656,0.0,0.0,0.0,64.93465423583984,0.0,0.0
Human,0.0,0.0,0.0,0.0,69.43506622314453,0.0,0.0,0.0,74.27576446533203,91.22664642333984,0.0,0.0,63.77500915527344,67.35438537597656,0.0,0.0,0.0,64.93465423583984,0.0,0.0
Baby,0.0,0.0,0.0,0.0,65.86005401611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,59.60294723510742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.94326782226562,0.0,0.0,0.0
