,달마시안_1,달마시안_2,달마시안_3,달마시안_4,달마시안_5,달마시안_6,달마시안_7,달마시안_8,달마시안_9,달마시안_10,달마시안_11,달마시안_12,달마시안_13,달마시안_14,달마시안_15,달마시안_16,달마시안_17,달마시안_18,달마시안_19,달마시안_20
Grass,98.14762115478516,0.0,76.81233215332031,0.0,0.0,0.0,0.0,0.0,67.48884582519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,98.14762115478516,0.0,76.81233215332031,0.0,0.0,0.0,0.0,0.0,67.48884582519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,91.69840240478516,90.05531311035156,97.9986572265625,97.33052825927734,99.29842376708984,96.8094711303711,96.60088348388672,96.43746948242188,98.23291015625,96.80586242675781,94.70590209960938,99.48785400390625,99.20333862304688,95.76461791992188,93.83544158935547,0.0,99.56534576416016,95.82592010498047,94.49571990966797,95.99708557128906
Canine,90.97187805175781,90.05531311035156,97.9986572265625,97.33052825927734,99.29842376708984,96.8094711303711,96.60088348388672,96.43746948242188,98.23291015625,96.80586242675781,94.11573791503906,99.48785400390625,99.20333862304688,95.76461791992188,93.83544158935547,0.0,99.56534576416016,95.82592010498047,94.49571990966797,95.99708557128906
Mammal,90.97187805175781,90.05531311035156,97.9986572265625,97.33052825927734,99.29842376708984,96.8094711303711,96.60088348388672,96.43746948242188,98.23291015625,96.80586242675781,94.11573791503906,99.48785400390625,99.20333862304688,95.76461791992188,93.83544158935547,0.0,99.56534576416016,95.82592010498047,94.49571990966797,95.99708557128906
Field,90.77934265136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,89.59728240966797,62.61980056762695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.45513153076172,0.0
Grassland,89.59728240966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pet,87.9185562133789,89.6358871459961,97.9986572265625,97.33052825927734,99.29842376708984,96.73188018798828,96.60088348388672,96.43746948242188,98.23291015625,96.80586242675781,94.70590209960938,99.48785400390625,99.20333862304688,95.76461791992188,93.48129272460938,0.0,99.56534576416016,95.35088348388672,93.70574188232422,95.99708557128906
Dog,80.89125061035156,71.37223815917969,97.9986572265625,97.33052825927734,99.29842376708984,96.37315368652344,96.60088348388672,96.43746948242188,98.23291015625,96.80586242675781,94.11573791503906,99.48785400390625,99.20333862304688,95.76461791992188,92.2383804321289,0.0,99.56534576416016,95.01587677001953,93.70574188232422,95.99708557128906
Hound,80.89125061035156,0.0,97.9986572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,64.93465423583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.58757781982422,0.0,0.0,0.0,0.0
Human,64.93465423583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.58757781982422,0.0,0.0,0.0,0.0
Nature,64.02837371826172,62.61980056762695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.45513153076172,0.0
Farm,64.02837371826172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rural,64.02837371826172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Countryside,64.02837371826172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meadow,64.02837371826172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agriculture,59.396644592285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
