,댄디 딘몬트 테리어_1,댄디 딘몬트 테리어_2,댄디 딘몬트 테리어_3,댄디 딘몬트 테리어_4,댄디 딘몬트 테리어_5,댄디 딘몬트 테리어_6,댄디 딘몬트 테리어_7,댄디 딘몬트 테리어_8,댄디 딘몬트 테리어_9,댄디 딘몬트 테리어_10,댄디 딘몬트 테리어_11,댄디 딘몬트 테리어_12,댄디 딘몬트 테리어_13,댄디 딘몬트 테리어_14,댄디 딘몬트 테리어_15,댄디 딘몬트 테리어_16,댄디 딘몬트 테리어_17,댄디 딘몬트 테리어_18,댄디 딘몬트 테리어_19,댄디 딘몬트 테리어_20
Dog,93.20917510986328,99.44938659667969,88.65763854980469,0.0,93.62461853027344,98.73841094970703,91.10759735107422,92.323486328125,91.4408187866211,91.73350524902344,99.51187133789062,77.90523529052734,76.54214477539062,0.0,89.65282440185547,86.12472534179688,95.43633270263672,84.43334197998047,92.56645202636719,89.8978042602539
Canine,93.20917510986328,99.44938659667969,90.05575561523438,0.0,93.99751281738281,98.73841094970703,91.81351470947266,93.01212310791016,92.46725463867188,93.00985717773438,99.51187133789062,81.04659271240234,79.31734466552734,75.52677154541016,91.80183410644531,87.48860931396484,95.43633270263672,94.5743408203125,92.56645202636719,91.21614074707031
Pet,93.20917510986328,99.44938659667969,88.65763854980469,0.0,95.21717834472656,98.73841094970703,91.10759735107422,93.03887176513672,93.03787231445312,92.81243896484375,99.51187133789062,83.06343078613281,78.78617858886719,73.45001983642578,92.52326965332031,87.87814331054688,95.43633270263672,93.72274017333984,92.56645202636719,91.39604187011719
Mammal,93.20917510986328,99.44938659667969,90.05575561523438,83.0473403930664,93.99751281738281,98.73841094970703,91.81351470947266,93.01212310791016,92.46725463867188,93.00985717773438,99.51187133789062,81.04659271240234,79.31734466552734,75.52677154541016,91.80183410644531,87.48860931396484,95.43633270263672,94.5743408203125,92.56645202636719,91.21614074707031
Animal,93.20917510986328,99.44938659667969,90.05575561523438,84.74945831298828,95.21717834472656,98.73841094970703,91.81351470947266,93.03887176513672,93.03787231445312,93.00985717773438,99.51187133789062,83.06343078613281,79.31734466552734,75.52677154541016,92.52326965332031,87.87814331054688,95.43633270263672,94.5743408203125,92.56645202636719,91.39604187011719
Puppy,92.70765686035156,0.0,0.0,0.0,75.23058319091797,0.0,88.97748565673828,0.0,0.0,0.0,99.51187133789062,0.0,0.0,0.0,89.65282440185547,0.0,57.08568572998047,0.0,58.25654983520508,61.145755767822266
Poodle,67.0450210571289,0.0,69.69290161132812,0.0,56.71221160888672,0.0,0.0,91.49223327636719,89.90707397460938,71.4319076538086,0.0,66.65019226074219,0.0,0.0,55.448951721191406,0.0,0.0,84.43334197998047,56.92411422729492,57.67203903198242
Terrier,59.36518478393555,87.7674789428711,0.0,0.0,78.89358520507812,98.73841094970703,80.54486083984375,0.0,59.475135803222656,85.99736785888672,62.40078353881836,62.006103515625,0.0,0.0,83.1064224243164,0.0,95.43633270263672,79.35192108154297,92.56645202636719,88.35456085205078
Strap,0.0,98.89273071289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,71.37116241455078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,71.37116241455078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leash,0.0,66.52559661865234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,61.35622787475586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
