,도고 까나리오_1,도고 까나리오_2,도고 까나리오_3,도고 까나리오_4,도고 까나리오_5,도고 까나리오_6,도고 까나리오_7,도고 까나리오_8,도고 까나리오_9,도고 까나리오_10,도고 까나리오_11,도고 까나리오_12,도고 까나리오_13,도고 까나리오_14,도고 까나리오_15,도고 까나리오_16,도고 까나리오_17,도고 까나리오_18,도고 까나리오_19,도고 까나리오_20
Mammal,88.65966033935547,94.78460693359375,94.13899230957031,79.59141540527344,90.99441528320312,92.36141204833984,87.0843734741211,95.90341186523438,65.39376831054688,91.52308654785156,93.56915283203125,93.14071655273438,94.97248840332031,93.20622253417969,91.39360046386719,87.56401824951172,90.7860107421875,92.95298767089844,90.65782928466797,97.27313995361328
Pig,88.65966033935547,84.1518325805664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,88.65966033935547,94.78460693359375,94.13899230957031,81.60665893554688,90.99441528320312,92.36141204833984,88.66902923583984,95.90341186523438,70.19181823730469,91.52308654785156,93.56915283203125,93.14071655273438,94.97248840332031,93.20622253417969,91.39360046386719,87.56401824951172,90.7860107421875,92.95298767089844,90.65782928466797,97.27313995361328
Canine,88.52222442626953,94.78460693359375,94.13899230957031,79.59141540527344,90.99441528320312,92.36141204833984,69.54544067382812,95.90341186523438,65.39376831054688,91.47035217285156,93.56915283203125,93.14071655273438,94.97248840332031,93.20622253417969,91.39360046386719,87.56401824951172,90.7860107421875,92.95298767089844,90.65782928466797,97.27313995361328
Pet,87.05247497558594,94.78460693359375,94.13899230957031,80.80657196044922,88.49336242675781,90.47089385986328,73.77407836914062,95.90341186523438,70.19181823730469,90.3629150390625,93.56915283203125,92.3659439086914,94.13257598876953,93.04324340820312,90.88624572753906,86.344970703125,90.39984893798828,92.12544250488281,88.78081512451172,97.27313995361328
Dog,85.03986358642578,94.78460693359375,94.13899230957031,78.01164245605469,88.49336242675781,90.07958221435547,67.77842712402344,95.90341186523438,0.0,88.17762756347656,93.56915283203125,91.58643341064453,93.93889617919922,93.04324340820312,90.88624572753906,85.122802734375,89.59173583984375,91.74311065673828,56.94799041748047,97.27313995361328
Great Dane,78.91646575927734,94.78460693359375,0.0,0.0,0.0,0.0,0.0,95.90341186523438,0.0,0.0,0.0,56.5891227722168,0.0,0.0,0.0,0.0,56.88518142700195,0.0,0.0,0.0
Snout,65.7443618774414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pitbull,0.0,59.34865188598633,89.16358947753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.45896911621094,0.0,93.66114044189453,83.73609161376953,90.88624572753906,0.0,0.0,0.0,0.0,66.69802856445312
Bulldog,0.0,59.34865188598633,94.13899230957031,60.696075439453125,0.0,80.08040618896484,0.0,0.0,0.0,86.02729797363281,78.5369644165039,69.59520721435547,93.66114044189453,93.04324340820312,90.88624572753906,79.5591049194336,76.03865814208984,57.917293548583984,56.94799041748047,97.27313995361328
Boxer,0.0,0.0,94.13899230957031,60.696075439453125,0.0,76.27482604980469,0.0,0.0,0.0,58.09382629394531,78.5369644165039,69.59520721435547,59.60502243041992,76.73405456542969,63.704444885253906,79.5591049194336,76.03865814208984,0.0,0.0,74.1432876586914
Spoke,0.0,0.0,0.0,89.6950912475586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,89.6950912475586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2963752746582,0.0
