,도베르만 핀셔_1,도베르만 핀셔_2,도베르만 핀셔_3,도베르만 핀셔_4,도베르만 핀셔_5,도베르만 핀셔_6,도베르만 핀셔_7,도베르만 핀셔_8,도베르만 핀셔_9,도베르만 핀셔_10,도베르만 핀셔_11,도베르만 핀셔_12,도베르만 핀셔_13,도베르만 핀셔_14,도베르만 핀셔_15,도베르만 핀셔_16,도베르만 핀셔_17,도베르만 핀셔_18,도베르만 핀셔_19,도베르만 핀셔_20
Animal,93.45289611816406,86.50892639160156,97.3415298461914,91.99634552001953,91.907470703125,94.89263916015625,94.69218444824219,93.16954803466797,95.25255584716797,90.15036010742188,94.73204040527344,91.80891418457031,98.45044708251953,89.2549057006836,85.94050598144531,85.94584655761719,85.27269744873047,89.97248077392578,89.07249450683594,93.74718475341797
Vehicle,89.11103820800781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transportation,89.11103820800781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Truck,89.11103820800781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,87.4471664428711,81.10517883300781,97.3415298461914,91.99634552001953,91.907470703125,94.89263916015625,94.69218444824219,93.16954803466797,94.88953399658203,89.08670043945312,94.73204040527344,91.80891418457031,98.45044708251953,89.2549057006836,85.94050598144531,84.3890151977539,85.27269744873047,89.7503433227539,88.58430480957031,92.71080780029297
Advertisement,85.0544662475586,62.716285705566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.26013946533203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,84.36699676513672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,77.66030883789062,62.716285705566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cattle,76.38553619384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,58.59821319580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,58.26571273803711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,58.26571273803711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,58.26571273803711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cow,57.48808670043945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman,0.0,95.75892639160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Child,0.0,95.75892639160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,95.75892639160156,92.4026107788086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.43758392333984,88.93062591552734,84.13011169433594,98.49684143066406,0.0,0.0,0.0,70.33218383789062
Blonde,0.0,95.75892639160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kid,0.0,95.75892639160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,95.75892639160156,92.4026107788086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.43758392333984,88.93062591552734,84.13011169433594,98.49684143066406,0.0,0.0,0.0,70.33218383789062
Teen,0.0,95.75892639160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Girl,0.0,95.75892639160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,0.0,95.75892639160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,89.20793151855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.232421875,0.0,0.0,0.0,0.0
Clothing,0.0,89.20793151855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.232421875,0.0,0.0,0.0,0.0
