,도사견_1,도사견_2,도사견_3,도사견_4,도사견_5,도사견_6,도사견_7,도사견_8,도사견_9,도사견_10,도사견_11,도사견_12,도사견_13,도사견_14,도사견_15,도사견_16,도사견_17,도사견_18,도사견_19,도사견_20
Animal,90.8583984375,92.34735107421875,89.47575378417969,90.264892578125,83.22181701660156,84.54850006103516,90.93302154541016,92.29491424560547,93.89775085449219,99.34876251220703,93.53446960449219,92.171630859375,92.14944458007812,90.92317199707031,99.4637222290039,86.00860595703125,94.99169158935547,98.36103057861328,90.22607421875,85.74617767333984
Text,85.92914581298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,83.35566711425781,92.34735107421875,86.21047973632812,90.264892578125,83.06045532226562,81.72852325439453,90.60282135009766,92.11481475830078,93.89775085449219,74.85043334960938,92.3932876586914,91.6143569946289,91.29353332519531,90.92317199707031,99.4637222290039,85.61128997802734,94.99169158935547,98.36103057861328,90.22607421875,85.74617767333984
Herd,67.6356430053711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,65.06803131103516,0.0,86.59180450439453,0.0,0.0,0.0,0.0,0.0,0.0,99.7535171508789,0.0,0.0,86.6800765991211,0.0,0.0,98.7908706665039,0.0,0.0,69.95716857910156,0.0
Person,65.06803131103516,0.0,86.59180450439453,0.0,0.0,0.0,0.0,0.0,0.0,99.7535171508789,0.0,0.0,86.6800765991211,0.0,0.0,98.7908706665039,0.0,0.0,69.95716857910156,0.0
Bird,58.55891036987305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.14250183105469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.86494064331055
Canine,0.0,92.34735107421875,85.9506607055664,0.0,83.06045532226562,80.03958129882812,85.03221893310547,92.11481475830078,93.89775085449219,0.0,92.1845932006836,86.31219482421875,91.29353332519531,0.0,99.4637222290039,85.61128997802734,94.99169158935547,98.36103057861328,90.22607421875,72.02679443359375
Dog,0.0,91.49276733398438,56.355621337890625,0.0,80.9654541015625,79.55268096923828,84.450927734375,90.28013610839844,93.01836395263672,0.0,89.71257781982422,83.52249145507812,85.67105102539062,0.0,99.4637222290039,58.879581451416016,94.19747161865234,98.36103057861328,79.07306671142578,66.9081039428711
Pet,0.0,91.49276733398438,80.16175079345703,0.0,80.9654541015625,81.21155548095703,85.26990509033203,90.28013610839844,93.71946716308594,0.0,89.71257781982422,83.52249145507812,85.67105102539062,0.0,99.4637222290039,86.00860595703125,94.19747161865234,98.36103057861328,89.67520904541016,66.9081039428711
Bulldog,0.0,90.9884262084961,0.0,0.0,80.9654541015625,0.0,79.31297302246094,58.3083381652832,0.0,0.0,79.33120727539062,67.62385559082031,85.67105102539062,0.0,99.4637222290039,0.0,79.24638366699219,95.92463684082031,79.07306671142578,0.0
Boxer,0.0,90.10189819335938,0.0,0.0,0.0,0.0,79.31297302246094,58.3083381652832,0.0,0.0,0.0,59.68171310424805,0.0,0.0,99.4637222290039,0.0,79.24638366699219,95.92463684082031,79.07306671142578,0.0
Grass,0.0,87.38513946533203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,87.38513946533203,96.6375961303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,72.3321304321289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.67789077758789,0.0,59.35826110839844,0.0,0.0,0.0,83.27873229980469,0.0,0.0,0.0
Hound,0.0,58.96889114379883,0.0,0.0,0.0,68.10331726074219,70.19636535644531,67.45685577392578,0.0,0.0,55.8785514831543,0.0,56.28256607055664,0.0,77.63495635986328,0.0,76.7491455078125,0.0,0.0,61.28053283691406
Vase,0.0,0.0,96.6375961303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jar,0.0,0.0,96.6375961303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pottery,0.0,0.0,96.6375961303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potted Plant,0.0,0.0,96.6375961303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,88.90121459960938,0.0,0.0,0.0,0.0,0.0,0.0,57.29278564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.42689514160156
Apparel,0.0,0.0,88.90121459960938,0.0,0.0,0.0,0.0,0.0,0.0,57.29278564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.42689514160156
Pants,0.0,0.0,71.80158996582031,0.0,0.0,0.0,0.0,0.0,0.0,57.29278564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planter,0.0,0.0,61.07789993286133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,56.355621337890625,0.0,0.0,0.0,0.0,0.0,90.48263549804688,0.0,57.47935104370117,0.0,0.0,0.0,0.0,58.879581451416016,0.0,55.08022689819336,0.0,0.0
Dog House,0.0,0.0,0.0,85.23079681396484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Den,0.0,0.0,0.0,85.23079681396484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sculpture,0.0,0.0,0.0,0.0,99.01458740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,99.01458740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statue,0.0,0.0,0.0,0.0,99.01458740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,0.0,0.0,0.0,78.44927978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pitbull,0.0,0.0,0.0,0.0,56.430606842041016,0.0,0.0,0.0,0.0,0.0,72.98413848876953,57.02724075317383,67.01053619384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,66.18045806884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altar,0.0,0.0,0.0,0.0,0.0,66.18045806884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Church,0.0,0.0,0.0,0.0,0.0,66.18045806884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
