,동경이_1,동경이_2,동경이_3,동경이_4,동경이_5,동경이_6,동경이_7,동경이_8,동경이_9,동경이_10,동경이_11,동경이_12,동경이_13,동경이_14,동경이_15,동경이_16,동경이_17,동경이_18,동경이_19,동경이_20
Animal,92.0272216796875,99.23040771484375,95.21025848388672,90.9432373046875,98.85738372802734,96.13260650634766,94.77075958251953,97.93095397949219,94.05121612548828,92.0446548461914,93.29952239990234,84.78738403320312,97.40821838378906,91.97370910644531,87.4048080444336,88.40957641601562,87.9986572265625,94.86144256591797,91.96431732177734,78.4642562866211
Mammal,91.21166229248047,99.23040771484375,95.21025848388672,90.79785919189453,98.85738372802734,96.13260650634766,94.77075958251953,97.93095397949219,93.19149017333984,90.53192901611328,93.29952239990234,84.78738403320312,97.40821838378906,91.97370910644531,87.4048080444336,88.40957641601562,87.9986572265625,94.86144256591797,91.94947052001953,78.4642562866211
Pet,90.82003784179688,87.97270965576172,95.21025848388672,78.7196273803711,98.85738372802734,96.13260650634766,0.0,97.93095397949219,91.52787780761719,92.0446548461914,93.29952239990234,84.78738403320312,97.40821838378906,75.89982604980469,84.26541900634766,82.80947875976562,87.9986572265625,93.83729553222656,90.4286117553711,0.0
Canine,90.05713653564453,91.73600769042969,95.21025848388672,80.24630737304688,98.85738372802734,96.13260650634766,83.05720520019531,97.93095397949219,93.19149017333984,90.53192901611328,93.29952239990234,84.78738403320312,97.40821838378906,83.3330307006836,87.4048080444336,82.80947875976562,87.9986572265625,94.86144256591797,91.67571258544922,0.0
Husky,87.53020477294922,70.954833984375,0.0,0.0,73.99300384521484,0.0,0.0,0.0,61.3097038269043,67.28829956054688,93.29952239990234,57.089847564697266,88.16020965576172,0.0,0.0,0.0,55.08346176147461,0.0,57.723087310791016,0.0
Dog,87.53020477294922,87.97270965576172,95.21025848388672,78.7196273803711,98.85738372802734,96.13260650634766,0.0,97.93095397949219,90.80262756347656,78.05998229980469,93.29952239990234,84.78738403320312,97.40821838378906,75.89982604980469,59.181739807128906,82.80947875976562,87.9986572265625,93.44625854492188,90.4286117553711,0.0
Human,86.80242919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0087890625,0.0,0.0,0.0,0.0,97.3170394897461,0.0,0.0,0.0,0.0,0.0
Person,86.80242919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0087890625,0.0,0.0,0.0,0.0,97.3170394897461,0.0,0.0,0.0,0.0,0.0
Puppy,71.68426513671875,63.040042877197266,66.34161376953125,0.0,0.0,0.0,0.0,64.54452514648438,74.83857727050781,58.051483154296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,60.61588668823242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.85179138183594,0.0,0.0,0.0,71.20558166503906,0.0,0.0,0.0,58.185977935791016,0.0,0.0,0.0
Pig,0.0,99.23040771484375,0.0,0.0,0.0,0.0,0.0,97.14836883544922,76.42085266113281,0.0,0.0,0.0,74.72518920898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,66.4021987915039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,65.93794250488281,0.0,0.0,0.0,0.0,73.85874938964844,0.0,0.0,0.0,71.67816162109375,56.32846450805664,0.0,55.03239822387695,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,65.93794250488281,0.0,0.0,0.0,0.0,94.77075958251953,0.0,0.0,0.0,90.3685302734375,56.32846450805664,0.0,82.98776245117188,0.0,0.0,59.74660110473633,0.0,0.0,0.0
Golden Retriever,0.0,56.44103240966797,95.21025848388672,0.0,0.0,0.0,0.0,97.93095397949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.12734603881836,0.0,0.0,0.0,0.0
Forest,0.0,56.31294250488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodland,0.0,56.31294250488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,56.31294250488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.83830261230469,0.0,0.0,0.0,0.0
Tree,0.0,56.31294250488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,56.31294250488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Land,0.0,56.31294250488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,56.31294250488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.83830261230469,0.0,0.0,0.0,0.0
