,라사압소_1,라사압소_2,라사압소_3,라사압소_4,라사압소_5,라사압소_6,라사압소_7,라사압소_8,라사압소_9,라사압소_10,라사압소_11,라사압소_12,라사압소_13,라사압소_14,라사압소_15,라사압소_16,라사압소_17,라사압소_18,라사압소_19,라사압소_20
Canine,98.50118255615234,97.8748779296875,92.4221420288086,0.0,91.26335906982422,99.25416564941406,88.86106872558594,95.4935073852539,99.09595489501953,99.00599670410156,86.14015197753906,96.74864196777344,93.2696533203125,96.86125183105469,94.36088562011719,96.33195495605469,98.81188201904297,84.74578857421875,99.9002914428711,99.98636627197266
Animal,98.50118255615234,97.8748779296875,94.6807632446289,95.87686920166016,91.26335906982422,99.25416564941406,88.86106872558594,95.4935073852539,99.09595489501953,99.00599670410156,87.86030578613281,96.74864196777344,93.2696533203125,96.86125183105469,94.52388763427734,96.33195495605469,98.81188201904297,86.21682739257812,99.9002914428711,99.98636627197266
Mammal,98.50118255615234,97.8748779296875,93.61849212646484,0.0,91.26335906982422,99.25416564941406,88.86106872558594,95.4935073852539,99.09595489501953,99.00599670410156,87.6324691772461,96.74864196777344,93.2696533203125,96.86125183105469,94.36088562011719,96.33195495605469,98.81188201904297,84.74578857421875,99.9002914428711,99.98636627197266
Pet,98.50118255615234,97.8748779296875,91.92115020751953,0.0,91.26318359375,99.25416564941406,87.28789520263672,95.4935073852539,99.09595489501953,99.00599670410156,87.86030578613281,96.74864196777344,93.2696533203125,95.4997329711914,94.52388763427734,96.33195495605469,98.81188201904297,86.21682739257812,99.9002914428711,99.98636627197266
Dog,98.50118255615234,97.8748779296875,91.92115020751953,0.0,56.78855514526367,99.25416564941406,87.28789520263672,95.4935073852539,99.09595489501953,99.00599670410156,57.623470306396484,96.74864196777344,93.2696533203125,95.49540710449219,94.3046646118164,96.33195495605469,98.81188201904297,82.15451049804688,99.9002914428711,99.98636627197266
Puppy,98.50118255615234,97.8748779296875,67.35894775390625,0.0,0.0,0.0,75.71929168701172,0.0,69.32928466796875,92.0443344116211,0.0,96.74864196777344,93.2696533203125,94.04460906982422,75.83191680908203,56.93303680419922,0.0,56.175445556640625,0.0,0.0
Plant,63.181880950927734,0.0,0.0,0.0,0.0,0.0,0.0,97.88131713867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,63.181880950927734,0.0,0.0,0.0,0.0,0.0,0.0,97.88131713867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3049087524414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3049087524414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3049087524414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3049087524414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3049087524414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,58.022769927978516,0.0,0.0,0.0,0.0,58.14408493041992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.199588775634766,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,55.9917106628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,69.15779876708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panther,0.0,0.0,69.15779876708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguar,0.0,0.0,69.15779876708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leopard,0.0,0.0,69.15779876708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,59.79792785644531,0.0,0.0,0.0,0.0,86.97843170166016,60.669960021972656,57.488773345947266,55.618343353271484,0.0,0.0,0.0,0.0,93.61904907226562,98.81188201904297,0.0,99.9002914428711,99.98636627197266
Golden Retriever,0.0,0.0,57.518375396728516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Owl,0.0,0.0,0.0,95.87686920166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,95.87686920166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,78.40093994140625,67.56726837158203,0.0,0.0,90.75614166259766,0.0,0.0,67.29135131835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,78.40093994140625,67.56726837158203,0.0,0.0,90.75614166259766,0.0,0.0,67.29135131835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baby,0.0,0.0,0.0,74.87030792236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,56.24070358276367,59.85126876831055,0.0,65.86349487304688,91.38963317871094,78.86465454101562,57.623470306396484,0.0,0.0,0.0,83.78325653076172,96.33195495605469,91.51847839355469,0.0,0.0,0.0
Affenpinscher,0.0,0.0,0.0,0.0,56.215309143066406,65.49190521240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.26274490356445,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,99.16181182861328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.52737808227539,0.0,0.0
Hardwood,0.0,0.0,0.0,0.0,0.0,97.96894073486328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,59.37379837036133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Head,0.0,0.0,0.0,0.0,0.0,0.0,55.18598556518555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5540885925293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5540885925293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.11998748779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.692108154296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.26554107666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.26554107666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.26554107666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.26554107666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.26554107666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
