,라페이로 도 알렌테조_1,라페이로 도 알렌테조_2,라페이로 도 알렌테조_3,라페이로 도 알렌테조_4,라페이로 도 알렌테조_5,라페이로 도 알렌테조_6,라페이로 도 알렌테조_7,라페이로 도 알렌테조_8,라페이로 도 알렌테조_9,라페이로 도 알렌테조_10,라페이로 도 알렌테조_11,라페이로 도 알렌테조_12,라페이로 도 알렌테조_13,라페이로 도 알렌테조_14,라페이로 도 알렌테조_15,라페이로 도 알렌테조_16,라페이로 도 알렌테조_17,라페이로 도 알렌테조_18,라페이로 도 알렌테조_19,라페이로 도 알렌테조_20
First Aid,99.97753143310547,0.0,58.54830551147461,84.65526580810547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logo,99.27865600585938,0.0,97.19061279296875,99.46537780761719,0.0,0.0,0.0,85.1395492553711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.26814270019531,0.0
Symbol,99.27865600585938,0.0,97.19061279296875,99.46537780761719,56.995750427246094,0.0,69.02523040771484,85.1395492553711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.26814270019531,0.0
Trademark,99.27865600585938,0.0,97.19061279296875,99.46537780761719,0.0,0.0,0.0,85.1395492553711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.26814270019531,0.0
Performer,0.0,99.93228149414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,99.93228149414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,99.93228149414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crowd,0.0,94.93263244628906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Press Conference,0.0,57.4034538269043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,69.252197265625,64.46105194091797,82.1195297241211,0.0,79.8203353881836,84.1324234008789,0.0,0.0,0.0,0.0,0.0,73.78736114501953,0.0,0.0,0.0,0.0,84.00523376464844,99.98065185546875
Face,0.0,0.0,68.25145721435547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.12480926513672,0.0,0.0,0.0,0.0,0.0,0.0
Bazaar,0.0,0.0,55.943241119384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shop,0.0,0.0,55.943241119384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Market,0.0,0.0,55.943241119384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Cross,0.0,0.0,0.0,61.24272537231445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Label,0.0,0.0,0.0,0.0,70.05335998535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.00523376464844,0.0
Ball,0.0,0.0,0.0,0.0,62.383174896240234,0.0,77.10853576660156,87.89415740966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balloon,0.0,0.0,0.0,0.0,62.383174896240234,0.0,77.10853576660156,87.89415740966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,60.12242889404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,60.12242889404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottle,0.0,0.0,0.0,0.0,0.0,95.6678466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaker,0.0,0.0,0.0,0.0,0.0,95.6678466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tin,0.0,0.0,0.0,0.0,0.0,80.55378723144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can,0.0,0.0,0.0,0.0,0.0,78.08158111572266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,0.0,0.0,0.0,0.0,0.0,77.55316162109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spray Can,0.0,0.0,0.0,0.0,0.0,70.39871215820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lotion,0.0,0.0,0.0,0.0,0.0,64.31360626220703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmetics,0.0,0.0,0.0,0.0,0.0,55.80562973022461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electronics,0.0,0.0,0.0,0.0,0.0,0.0,57.5001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.12813568115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5733413696289,0.0,0.0,0.0,96.8555908203125,0.0,93.14672088623047,98.1417007446289,0.0,0.0,0.0,0.0
Mammal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5733413696289,0.0,0.0,93.51604461669922,96.8555908203125,0.0,93.14672088623047,98.1417007446289,0.0,95.02764892578125,0.0,0.0
Animal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5733413696289,0.0,0.0,93.51604461669922,96.94630432128906,0.0,93.14672088623047,98.1417007446289,0.0,95.02764892578125,0.0,0.0
Pet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.6746826171875,0.0,0.0,93.51604461669922,96.94630432128906,0.0,92.51226043701172,98.1417007446289,0.0,95.02764892578125,0.0,0.0
Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.41273498535156,0.0,0.0,0.0,96.26622772216797,0.0,90.89824676513672,98.1417007446289,0.0,0.0,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.66204833984375,0.0,0.0,0.0,0.0,0.0,77.24403381347656,0.0,0.0,0.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.88152313232422,99.85009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.64643096923828,97.64559936523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.67902374267578,88.3751220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fountain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8289566040039,60.163475036621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53562927246094,97.38353729248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landscape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.67274475097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panoramic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.67274475097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.67274475097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waterfront,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.30239868164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Night,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.08784484863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.51604461669922,0.0,0.0,0.0,0.0,0.0,95.02764892578125,0.0,0.0
Egyptian Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.75299835205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.065616607666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.82729721069336,0.0,0.0,0.0,83.40216064453125,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.06816101074219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.82746124267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Letterbox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.35758972167969,0.0,0.0,0.0,0.0,0.0,0.0
Mailbox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.35758972167969,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.003334045410156,98.1417007446289,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.67573547363281,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.6189193725586,0.0,0.0,0.0
Painting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.26797485351562,0.0,0.0,0.0
Rug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.16761016845703,0.0,0.0,0.0
Quilt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2220687866211,0.0,0.0,0.0
Housing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.66222381591797,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.66222381591797,0.0,0.0,0.0
Patchwork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.43417739868164,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.613677978515625,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.613677978515625,0.0,0.0,0.0
Siamese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.02764892578125,0.0,0.0
Angora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.63124465942383,0.0,0.0
Credit Card,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.66581726074219,0.0
Id Cards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.60694122314453,98.77127075195312
Document,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.60694122314453,98.77127075195312
Passport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.60694122314453,97.12512969970703
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.40839767456055
