,라포니안 허더_1,라포니안 허더_2,라포니안 허더_3,라포니안 허더_4,라포니안 허더_5,라포니안 허더_6,라포니안 허더_7,라포니안 허더_8,라포니안 허더_9,라포니안 허더_10,라포니안 허더_11,라포니안 허더_12,라포니안 허더_13,라포니안 허더_14,라포니안 허더_15,라포니안 허더_16,라포니안 허더_17,라포니안 허더_18,라포니안 허더_19,라포니안 허더_20
Mammal,96.29607391357422,91.39702606201172,97.0067138671875,98.94992065429688,88.2276611328125,94.50428009033203,88.0411148071289,99.5450439453125,97.4842758178711,99.88670349121094,94.90438842773438,90.69243621826172,97.28668212890625,98.7692642211914,94.93216705322266,99.93605041503906,99.78468322753906,91.3192367553711,97.51387786865234,99.24238586425781
Dog,96.29607391357422,91.09889221191406,97.0067138671875,98.94992065429688,72.73592376708984,94.50428009033203,69.44755554199219,99.5450439453125,97.4842758178711,99.88670349121094,94.90438842773438,90.69243621826172,97.28668212890625,98.7692642211914,93.04476165771484,99.93605041503906,99.78468322753906,64.71583557128906,97.51387786865234,99.24238586425781
White Dog,96.29607391357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,96.29607391357422,91.09889221191406,97.0067138671875,98.94992065429688,88.2276611328125,94.50428009033203,84.53775024414062,99.5450439453125,97.4842758178711,99.88670349121094,94.90438842773438,90.69243621826172,97.28668212890625,98.7692642211914,94.93216705322266,99.93605041503906,99.78468322753906,91.3192367553711,97.51387786865234,99.24238586425781
Pet,96.29607391357422,91.09889221191406,97.0067138671875,98.94992065429688,84.43241882324219,94.50428009033203,73.07662963867188,99.5450439453125,97.4842758178711,99.88670349121094,94.90438842773438,90.69243621826172,97.28668212890625,98.7692642211914,93.04476165771484,99.93605041503906,99.78468322753906,87.8829116821289,97.51387786865234,99.24238586425781
Animal,96.29607391357422,91.39702606201172,97.0067138671875,98.94992065429688,88.2276611328125,94.50428009033203,89.57196044921875,99.5450439453125,97.4842758178711,99.88670349121094,94.90438842773438,90.69243621826172,97.28668212890625,98.7692642211914,94.93216705322266,99.93605041503906,99.78468322753906,91.3192367553711,97.51387786865234,99.24238586425781
Eskimo Dog,80.11956787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.01542282104492,0.0,0.0,0.0,0.0
Grass,74.77483367919922,62.024017333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.724365234375,0.0,0.0,66.50831604003906,0.0,0.0
Plant,74.77483367919922,64.56818389892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.724365234375,0.0,0.0,66.50831604003906,0.0,0.0
Husky,0.0,91.09889221191406,97.0067138671875,98.94992065429688,72.73592376708984,94.50428009033203,0.0,99.5450439453125,73.62284851074219,99.88670349121094,0.0,90.69243621826172,97.28668212890625,98.7692642211914,90.146484375,99.93605041503906,99.78468322753906,0.0,97.51387786865234,99.24238586425781
Wolf,0.0,88.34534454345703,59.23447036743164,0.0,0.0,0.0,0.0,59.533843994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,69.97743225097656,59.23447036743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,58.25146484375,79.04608917236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coyote,0.0,58.21713638305664,0.0,0.0,0.0,0.0,0.0,57.272708892822266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,58.17825698852539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.56720733642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.808738708496094
Appenzeller,0.0,57.09428024291992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,74.07254028320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,71.5938949584961,0.0,0.0,0.0,65.12771606445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,55.27437210083008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.05844116210938,0.0,0.0,0.0,0.0,0.0,84.03974151611328,0.0
Snow,0.0,0.0,55.030975341796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,57.02727127075195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.31819152832031,0.0,0.0,0.0,0.0,0.0,61.53218078613281,0.0
Human,0.0,0.0,0.0,0.0,62.50969314575195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.43479919433594,0.0,0.0,0.0,98.03831481933594,0.0,0.0
Person,0.0,0.0,0.0,0.0,62.50969314575195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.43479919433594,0.0,0.0,0.0,98.03831481933594,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,62.22430419921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.02684783935547,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,62.22430419921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.02684783935547,0.0,0.0
