,래브라도 리트리버_1,래브라도 리트리버_2,래브라도 리트리버_3,래브라도 리트리버_4,래브라도 리트리버_5,래브라도 리트리버_6,래브라도 리트리버_7,래브라도 리트리버_8,래브라도 리트리버_9,래브라도 리트리버_10,래브라도 리트리버_11,래브라도 리트리버_12,래브라도 리트리버_13,래브라도 리트리버_14,래브라도 리트리버_15,래브라도 리트리버_16,래브라도 리트리버_17,래브라도 리트리버_18,래브라도 리트리버_19,래브라도 리트리버_20
Canine,97.60511016845703,86.98089599609375,92.04733276367188,98.26485443115234,90.170166015625,99.03950500488281,90.47599029541016,96.32661437988281,93.5334243774414,99.35255432128906,99.31771850585938,98.23111724853516,98.94856262207031,99.41714477539062,99.27110290527344,99.39651489257812,98.75341033935547,98.20885467529297,92.40824890136719,93.52194213867188
Animal,97.60511016845703,93.64582824707031,94.44901275634766,98.26485443115234,93.0993423461914,99.03950500488281,90.47599029541016,96.32661437988281,93.5334243774414,99.35255432128906,99.31771850585938,98.23111724853516,98.94856262207031,99.41714477539062,99.27110290527344,99.39651489257812,98.75341033935547,98.20885467529297,92.6981430053711,93.52194213867188
Mammal,97.60511016845703,93.15416717529297,92.04733276367188,98.26485443115234,92.59878540039062,99.03950500488281,90.47599029541016,96.32661437988281,93.5334243774414,99.35255432128906,99.31771850585938,98.23111724853516,98.94856262207031,99.41714477539062,99.27110290527344,99.39651489257812,98.75341033935547,98.20885467529297,92.40824890136719,93.52194213867188
Pet,97.60511016845703,81.03187561035156,90.9660873413086,98.26485443115234,93.0993423461914,99.03950500488281,89.06198120117188,95.84396362304688,93.5334243774414,99.35255432128906,99.31771850585938,98.23111724853516,98.94856262207031,99.41714477539062,99.27110290527344,99.39651489257812,98.75341033935547,98.20885467529297,92.40824890136719,91.24400329589844
Dog,97.60511016845703,57.54801940917969,89.75849151611328,98.26485443115234,88.47879028320312,99.03950500488281,89.06198120117188,94.59591674804688,93.5334243774414,99.35255432128906,99.31771850585938,98.23111724853516,98.94856262207031,99.41714477539062,99.27110290527344,99.39651489257812,98.75341033935547,98.20885467529297,92.40824890136719,91.21480560302734
Labrador Retriever,97.60511016845703,0.0,0.0,0.0,84.88766479492188,99.03950500488281,0.0,0.0,58.573020935058594,99.35255432128906,99.31771850585938,98.23111724853516,98.94856262207031,99.41714477539062,99.27110290527344,98.29508972167969,98.75341033935547,0.0,55.0028076171875,88.59066772460938
Golden Retriever,61.18360900878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1744155883789,0.0,0.0,0.0,0.0,0.0,98.20885467529297,0.0,0.0
Human,0.0,93.11885833740234,0.0,0.0,0.0,82.60977935791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.3604507446289,87.67240142822266,0.0,0.0
Person,0.0,93.11885833740234,0.0,0.0,0.0,82.60977935791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.3604507446289,87.67240142822266,0.0,0.0
Puppy,0.0,57.54801940917969,57.87451171875,98.26485443115234,0.0,0.0,56.57111740112305,0.0,65.88562774658203,55.799827575683594,0.0,0.0,0.0,0.0,0.0,0.0,55.79133224487305,64.37499237060547,92.40824890136719,90.27507781982422
