,레온베르거_1,레온베르거_2,레온베르거_3,레온베르거_4,레온베르거_5,레온베르거_6,레온베르거_7,레온베르거_8,레온베르거_9,레온베르거_10,레온베르거_11,레온베르거_12,레온베르거_13,레온베르거_14,레온베르거_15,레온베르거_16,레온베르거_17,레온베르거_18,레온베르거_19,레온베르거_20
Wedding,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robe,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gown,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedding Gown,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fashion,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.64576721191406,0.0,0.0,0.0,0.0,0.0,0.0,58.34762191772461,0.0
Apparel,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.64576721191406,0.0,0.0,0.0,0.0,0.0,0.0,58.34762191772461,0.0
Mammal,93.81551361083984,94.68282318115234,87.76116943359375,94.15870666503906,97.3734359741211,92.84280395507812,93.01432800292969,99.18152618408203,89.92739868164062,93.79121398925781,91.92660522460938,93.70987701416016,98.25103759765625,96.00430297851562,86.02362060546875,98.72859191894531,93.4767074584961,98.07103729248047,89.42858123779297,92.86132049560547
Canine,93.81551361083984,92.49044036865234,82.95879364013672,94.15870666503906,97.3734359741211,92.84280395507812,93.01432800292969,99.18152618408203,89.92739868164062,93.79121398925781,91.92660522460938,93.70987701416016,98.25103759765625,96.00430297851562,86.02362060546875,98.72859191894531,93.4767074584961,98.07103729248047,89.42858123779297,92.86132049560547
Animal,93.81551361083984,94.68282318115234,88.9298324584961,94.15870666503906,97.3734359741211,92.84280395507812,93.1694107055664,99.18152618408203,89.92739868164062,93.79121398925781,91.92660522460938,93.70987701416016,98.25103759765625,96.00430297851562,86.02362060546875,98.72859191894531,93.69253540039062,98.07103729248047,89.42858123779297,92.86132049560547
Pet,92.91090393066406,91.47107696533203,81.14668273925781,91.36819458007812,97.3734359741211,92.50945281982422,93.1694107055664,99.18152618408203,89.92739868164062,93.79121398925781,90.72441864013672,93.70987701416016,98.25103759765625,96.00430297851562,84.80640411376953,98.72859191894531,93.69253540039062,98.07103729248047,85.84385681152344,92.08076477050781
Dog,91.86483764648438,69.36864471435547,0.0,91.33940887451172,97.3734359741211,92.10189819335938,93.01432800292969,99.18152618408203,89.92739868164062,93.79121398925781,82.8261489868164,93.70987701416016,98.25103759765625,96.00430297851562,83.85385131835938,98.72859191894531,92.69842529296875,98.07103729248047,80.46025848388672,91.95030212402344
Nature,86.95963287353516,62.450592041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,86.95963287353516,69.28812408447266,0.0,0.0,0.0,0.0,0.0,62.15208435058594,0.0,62.344669342041016,0.0,62.50128936767578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,81.76251983642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,70.70445251464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,96.01783752441406,98.40021514892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.3545150756836,99.07141876220703,0.0,0.0,0.0,0.0,0.0,0.0,98.77373504638672,0.0
Human,0.0,96.01783752441406,98.40021514892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.3545150756836,99.07141876220703,0.0,0.0,0.0,0.0,0.0,0.0,98.77373504638672,0.0
Plant,0.0,90.93514251708984,0.0,0.0,0.0,0.0,0.0,81.98493957519531,0.0,74.10738372802734,74.8864974975586,85.00275421142578,0.0,0.0,0.0,0.0,78.69668579101562,0.0,0.0,0.0
Grass,0.0,90.93514251708984,0.0,0.0,0.0,0.0,0.0,81.98493957519531,0.0,0.0,74.8864974975586,85.00275421142578,0.0,0.0,0.0,0.0,62.76661682128906,0.0,0.0,0.0
Sport,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.72982406616211,73.10215759277344,0.0,0.0,0.0,0.0,0.0,0.0,75.72930145263672,0.0
Team Sport,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,69.36864471435547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.93317413330078,0.0,0.0,0.0,82.67784118652344
Yard,0.0,62.450592041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,56.898658752441406,61.261714935302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.64284896850586,84.61854553222656,0.0,0.0,0.0,0.0,0.0,75.2093505859375,0.0
Doctor,0.0,0.0,72.47357940673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.330257415771484,0.0
Costume,0.0,0.0,62.12939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,61.63648986816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.39753723144531,0.0
Hair,0.0,0.0,57.860992431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,85.37175750732422,0.0,0.0,0.0,77.16645050048828,0.0,76.04463195800781,0.0,0.0,67.00811004638672,0.0,0.0,0.0,0.0,0.0,55.18519592285156,0.0
Golden Retriever,0.0,0.0,0.0,63.62125015258789,0.0,56.54188919067383,0.0,99.18152618408203,59.56302261352539,56.8701057434082,65.6083755493164,0.0,0.0,0.0,0.0,98.72859191894531,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,56.33552169799805,78.97750091552734,90.87528991699219,82.48475646972656,89.92739868164062,93.79121398925781,82.8261489868164,93.70987701416016,98.25103759765625,96.00430297851562,72.37962341308594,0.0,91.5914077758789,98.07103729248047,80.46025848388672,80.914306640625
Newfoundland,0.0,0.0,0.0,0.0,0.0,56.221954345703125,0.0,0.0,0.0,55.40407943725586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10738372802734,0.0,66.48577880859375,0.0,0.0,0.0,0.0,78.69668579101562,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.63941192626953,56.74372100830078,58.23823928833008,0.0,0.0,0.0,71.25091552734375,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.64576721191406,0.0,0.0,0.0,0.0,0.0,0.0,58.34762191772461,0.0
Airedale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.99842834472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.99842834472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.66279602050781,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.66279602050781,0.0,0.0,0.0,0.0,0.0
Den,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.8757095336914,0.0,0.0,0.0,0.0,0.0
Dog House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.06760025024414,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.86553192138672,0.0,82.88298034667969,0.0,0.0
Smile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.39753723144531,0.0
Woman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.34182739257812,0.0
Child,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.34182739257812,0.0
Teen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.34182739257812,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.34182739257812,0.0
Girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.34182739257812,0.0
Kid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.34182739257812,0.0
Blonde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.34182739257812,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.30641555786133,0.0
Portrait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.30641555786133,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.30641555786133,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.7740478515625,0.0
