,레이크랜드 테리어_1,레이크랜드 테리어_2,레이크랜드 테리어_3,레이크랜드 테리어_4,레이크랜드 테리어_5,레이크랜드 테리어_6,레이크랜드 테리어_7,레이크랜드 테리어_8,레이크랜드 테리어_9,레이크랜드 테리어_10,레이크랜드 테리어_11,레이크랜드 테리어_12,레이크랜드 테리어_13,레이크랜드 테리어_14,레이크랜드 테리어_15,레이크랜드 테리어_16,레이크랜드 테리어_17,레이크랜드 테리어_18,레이크랜드 테리어_19,레이크랜드 테리어_20
Dog,98.27011108398438,96.71894073486328,94.96817016601562,94.08160400390625,62.024497985839844,0.0,94.25489044189453,89.02962493896484,96.37409210205078,97.9482421875,82.68807220458984,91.95243072509766,72.70365142822266,96.882080078125,93.41699981689453,96.26707458496094,96.13787841796875,86.02276611328125,98.22145080566406,97.51663208007812
Terrier,98.27011108398438,96.71894073486328,89.4861068725586,88.11505126953125,0.0,0.0,0.0,75.23833465576172,96.37409210205078,97.9482421875,71.35232543945312,91.95243072509766,72.70365142822266,96.882080078125,62.152706146240234,0.0,96.13787841796875,0.0,98.22145080566406,97.51663208007812
Mammal,98.27011108398438,96.71894073486328,94.96817016601562,95.3851547241211,92.3769760131836,0.0,94.25489044189453,89.15467071533203,96.37409210205078,97.9482421875,87.29348754882812,91.95243072509766,86.76502990722656,96.882080078125,93.90371704101562,96.26707458496094,96.13787841796875,88.68426513671875,98.22145080566406,97.51663208007812
Pet,98.27011108398438,96.71894073486328,94.96817016601562,94.62298583984375,73.09943389892578,0.0,94.25489044189453,90.27250671386719,96.37409210205078,97.9482421875,84.37458038330078,92.60313415527344,84.13347625732422,96.882080078125,93.41699981689453,96.26707458496094,96.13787841796875,86.02276611328125,98.22145080566406,97.51663208007812
Animal,98.27011108398438,96.71894073486328,94.96817016601562,95.3851547241211,92.3769760131836,0.0,94.25489044189453,90.27250671386719,96.37409210205078,97.9482421875,87.29348754882812,92.60313415527344,86.76502990722656,96.882080078125,93.90371704101562,96.26707458496094,96.13787841796875,88.68426513671875,98.22145080566406,97.51663208007812
Canine,98.27011108398438,96.71894073486328,94.96817016601562,95.3851547241211,67.9610824584961,0.0,94.25489044189453,89.15467071533203,96.37409210205078,97.9482421875,87.29348754882812,91.95243072509766,86.76502990722656,96.882080078125,93.90371704101562,96.26707458496094,96.13787841796875,88.68426513671875,98.22145080566406,97.51663208007812
Airedale,92.96308135986328,82.16118621826172,0.0,56.025665283203125,0.0,0.0,0.0,0.0,83.45426940917969,97.24563598632812,0.0,58.06330490112305,0.0,88.32312774658203,0.0,0.0,94.15623474121094,0.0,87.98168182373047,97.51663208007812
Puppy,0.0,0.0,94.96817016601562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.77307891845703,0.0,0.0,93.41699981689453,96.26707458496094,0.0,77.70555877685547,0.0,0.0
Plant,0.0,0.0,56.76352310180664,0.0,0.0,0.0,78.15960693359375,91.39480590820312,0.0,0.0,0.0,88.27196502685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,56.76352310180664,0.0,0.0,0.0,78.15960693359375,91.39480590820312,0.0,0.0,0.0,88.27196502685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
