,로디지아 리지백_1,로디지아 리지백_2,로디지아 리지백_3,로디지아 리지백_4,로디지아 리지백_5,로디지아 리지백_6,로디지아 리지백_7,로디지아 리지백_8,로디지아 리지백_9,로디지아 리지백_10,로디지아 리지백_11,로디지아 리지백_12,로디지아 리지백_13,로디지아 리지백_14,로디지아 리지백_15,로디지아 리지백_16,로디지아 리지백_17,로디지아 리지백_18,로디지아 리지백_19,로디지아 리지백_20
Animal,97.8353271484375,99.13587951660156,98.74063110351562,89.65845489501953,92.65923309326172,92.98777770996094,98.49665069580078,94.38589477539062,98.81726837158203,96.26544189453125,96.47019958496094,85.43048095703125,98.55713653564453,88.9984130859375,91.73309326171875,90.57552337646484,88.97135162353516,98.60838317871094,99.70637512207031,85.68843841552734
Canine,97.8353271484375,99.13587951660156,98.74063110351562,89.65845489501953,92.65923309326172,0.0,98.49665069580078,94.38589477539062,98.81726837158203,90.20648193359375,96.47019958496094,85.43048095703125,98.55713653564453,88.9984130859375,91.73309326171875,90.57552337646484,87.45110321044922,98.60838317871094,99.70637512207031,85.68843841552734
Pet,97.8353271484375,99.13587951660156,98.74063110351562,89.65845489501953,91.86781311035156,0.0,98.49665069580078,94.38589477539062,98.81726837158203,90.73616027832031,96.47019958496094,80.59122467041016,98.55713653564453,87.33997344970703,91.2364501953125,88.9540786743164,87.18660736083984,98.60838317871094,99.70637512207031,85.68843841552734
Dog,97.8353271484375,99.13587951660156,98.74063110351562,89.65845489501953,91.86781311035156,0.0,98.49665069580078,94.38589477539062,98.81726837158203,89.33905792236328,96.47019958496094,59.02842330932617,98.55713653564453,86.93049621582031,91.22327423095703,88.63660430908203,87.13800048828125,98.60838317871094,99.70637512207031,85.68843841552734
Mammal,97.8353271484375,99.13587951660156,98.74063110351562,89.65845489501953,92.65923309326172,92.98777770996094,98.49665069580078,94.38589477539062,98.81726837158203,96.26544189453125,96.47019958496094,85.43048095703125,98.55713653564453,88.9984130859375,91.73309326171875,90.57552337646484,88.21070098876953,98.60838317871094,99.70637512207031,85.68843841552734
Hound,95.71382141113281,91.2327651977539,76.32152557373047,85.357421875,91.86781311035156,0.0,81.12387084960938,94.38589477539062,0.0,76.41150665283203,96.47019958496094,0.0,56.685062408447266,85.72272491455078,0.0,78.83992004394531,0.0,74.77678680419922,0.0,85.68843841552734
Snout,87.11122131347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.4536361694336,0.0,0.0,0.0,0.0,0.0,89.19540405273438
Puppy,75.12022399902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,57.012672424316406,0.0,0.0,0.0,0.0,0.0,0.0,55.311302185058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Figurine,55.756160736083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
