,로첸_1,로첸_2,로첸_3,로첸_4,로첸_5,로첸_6,로첸_7,로첸_8,로첸_9,로첸_10,로첸_11,로첸_12,로첸_13,로첸_14,로첸_15,로첸_16,로첸_17,로첸_18,로첸_19,로첸_20
Dog,99.17355346679688,94.99124145507812,92.75645446777344,67.15885162353516,0.0,93.39781188964844,92.93682098388672,0.0,0.0,91.28134155273438,90.32715606689453,99.89327239990234,0.0,93.37812042236328,79.6714859008789,80.53397369384766,80.86502075195312,91.34712982177734,72.6109848022461,95.59464263916016
Canine,99.17355346679688,94.99124145507812,94.19778442382812,75.75970458984375,0.0,93.42985534667969,93.50968170166016,0.0,0.0,92.0288314819336,90.33524322509766,99.89327239990234,0.0,93.37812042236328,93.12583923339844,84.69972229003906,80.86502075195312,92.85877990722656,86.67634582519531,95.59464263916016
Pet,99.17355346679688,94.99124145507812,92.75645446777344,73.49170684814453,0.0,93.68062591552734,93.13551330566406,0.0,0.0,92.67501068115234,90.32715606689453,99.89327239990234,0.0,93.37812042236328,93.34613037109375,82.79676055908203,80.86502075195312,92.7258529663086,84.85016632080078,95.59464263916016
Mammal,99.17355346679688,94.99124145507812,96.67286682128906,75.75970458984375,0.0,93.42985534667969,93.50968170166016,0.0,0.0,92.0288314819336,90.33524322509766,99.89327239990234,0.0,93.37812042236328,93.12583923339844,92.34180450439453,80.86502075195312,92.85877990722656,86.67634582519531,95.59464263916016
Animal,99.17355346679688,94.99124145507812,97.77964782714844,76.0997543334961,0.0,93.68062591552734,93.50968170166016,0.0,0.0,92.67501068115234,90.33524322509766,99.89327239990234,0.0,93.37812042236328,93.34613037109375,92.5362319946289,80.86502075195312,92.85877990722656,86.67634582519531,95.59464263916016
Terrier,80.30970764160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9443130493164,65.16778564453125,0.0,0.0,0.0,0.0,0.0,0.0,56.723876953125,0.0,0.0
Affenpinscher,57.259395599365234,0.0,0.0,0.0,0.0,0.0,85.12511444091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.6714859008789,0.0,0.0,73.05319213867188,0.0,0.0
Hound,0.0,94.99124145507812,0.0,59.76439666748047,0.0,93.39781188964844,0.0,0.0,0.0,68.50233459472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.31117248535156,0.0
Human,0.0,83.42809295654297,0.0,72.6827392578125,97.21839141845703,90.65239715576172,0.0,95.58771514892578,96.43790435791016,0.0,0.0,0.0,95.29716491699219,99.2656478881836,83.7182846069336,0.0,0.0,0.0,0.0,0.0
Person,0.0,83.42809295654297,0.0,72.6827392578125,97.21839141845703,90.65239715576172,0.0,95.58771514892578,96.43790435791016,0.0,0.0,0.0,95.29716491699219,99.2656478881836,83.7182846069336,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,58.28662872314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,64.62264251708984,0.0,0.0,0.0,0.0,0.0,0.0,58.16900634765625,67.72172546386719,0.0,0.0,0.0,64.39432525634766,0.0,71.28266906738281,0.0,0.0,95.59464263916016
