,로트와일러_1,로트와일러_2,로트와일러_3,로트와일러_4,로트와일러_5,로트와일러_6,로트와일러_7,로트와일러_8,로트와일러_9,로트와일러_10,로트와일러_11,로트와일러_12,로트와일러_13,로트와일러_14,로트와일러_15,로트와일러_16,로트와일러_17,로트와일러_18,로트와일러_19,로트와일러_20
Animal,95.61468505859375,96.18831634521484,92.86921691894531,99.51764678955078,95.6498794555664,89.66593933105469,98.53003692626953,99.15415954589844,99.42920684814453,93.7498779296875,99.74527740478516,99.07606506347656,99.71312713623047,97.85173797607422,81.78313446044922,92.46417999267578,93.53446960449219,89.536865234375,89.76143646240234,81.78927612304688
Canine,95.61468505859375,96.18831634521484,0.0,99.51764678955078,95.6498794555664,89.66593933105469,98.53003692626953,99.15415954589844,99.42920684814453,93.7498779296875,99.74527740478516,99.07606506347656,99.71312713623047,97.85173797607422,0.0,92.46417999267578,92.1845932006836,89.536865234375,89.76143646240234,81.78927612304688
Mammal,95.61468505859375,96.18831634521484,88.56836700439453,99.51764678955078,95.6498794555664,89.66593933105469,98.53003692626953,99.15415954589844,99.42920684814453,93.7498779296875,99.74527740478516,99.07606506347656,99.71312713623047,97.85173797607422,72.75523376464844,92.46417999267578,92.3932876586914,89.536865234375,89.76143646240234,81.78927612304688
Pet,94.15010833740234,96.18831634521484,0.0,99.51764678955078,95.6498794555664,88.21246337890625,98.53003692626953,99.15415954589844,99.42920684814453,93.7498779296875,99.74527740478516,99.07606506347656,99.71312713623047,97.85173797607422,0.0,90.21916198730469,89.71257781982422,89.536865234375,86.40876007080078,81.78927612304688
Dog,93.38189697265625,96.18831634521484,0.0,99.51764678955078,95.6498794555664,70.56060028076172,98.53003692626953,99.15415954589844,99.42920684814453,93.7498779296875,99.74527740478516,99.07606506347656,99.71312713623047,97.85173797607422,0.0,89.72972106933594,89.71257781982422,89.536865234375,86.40876007080078,81.78927612304688
Eskimo Dog,89.8036880493164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.834388732910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,96.18831634521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.72972106933594,79.33120727539062,0.0,0.0,0.0
Pitbull,0.0,82.66990661621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.39240264892578,72.98413848876953,0.0,0.0,0.0
Boxer,0.0,73.63870239257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.38646697998047,0.0,0.0,0.0,0.0
Pig,0.0,67.1966323852539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Bulldog,0.0,58.67109680175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,91.54718017578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,73.2399673461914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herd,0.0,0.0,68.75420379638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cattle,0.0,0.0,67.32404327392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drawing,0.0,0.0,62.97626495361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,62.97626495361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Label,0.0,0.0,62.333396911621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,61.21518325805664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
