,맨체스터 테리어_1,맨체스터 테리어_2,맨체스터 테리어_3,맨체스터 테리어_4,맨체스터 테리어_5,맨체스터 테리어_6,맨체스터 테리어_7,맨체스터 테리어_8,맨체스터 테리어_9,맨체스터 테리어_10,맨체스터 테리어_11,맨체스터 테리어_12,맨체스터 테리어_13,맨체스터 테리어_14,맨체스터 테리어_15,맨체스터 테리어_16,맨체스터 테리어_17,맨체스터 테리어_18,맨체스터 테리어_19,맨체스터 테리어_20
Animal,95.1122055053711,91.6983642578125,92.37702178955078,94.97300720214844,97.34185791015625,87.12625122070312,86.67228698730469,84.27814483642578,92.7645263671875,99.48020935058594,93.42449951171875,91.1523208618164,95.5392074584961,83.84156799316406,83.50985717773438,90.19880676269531,88.57733154296875,91.89948272705078,94.90119934082031,97.95931243896484
Mammal,93.84262084960938,90.97189331054688,92.37702178955078,94.97300720214844,97.34185791015625,87.12625122070312,86.67228698730469,84.27814483642578,92.7645263671875,99.48020935058594,93.42449951171875,89.63748931884766,95.5392074584961,82.37411499023438,79.3726806640625,86.72696685791016,88.57733154296875,90.8625259399414,94.90119934082031,97.95931243896484
Canine,93.0663070678711,90.97189331054688,67.9611587524414,94.97300720214844,97.34185791015625,87.12625122070312,86.67228698730469,84.13984680175781,92.7645263671875,99.48020935058594,91.98500061035156,89.63748931884766,95.5392074584961,59.80476379394531,79.3726806640625,86.72696685791016,88.57733154296875,85.78640747070312,94.90119934082031,97.95931243896484
Pet,89.69883728027344,87.91854858398438,73.09951782226562,94.97300720214844,97.34185791015625,86.68424987792969,85.59342956542969,82.67047119140625,92.36199188232422,99.48020935058594,91.98500061035156,91.1523208618164,95.5392074584961,62.830936431884766,83.50985717773438,90.19880676269531,87.6474838256836,91.89948272705078,94.17911529541016,97.95931243896484
Dog,89.69883728027344,80.89142608642578,62.0245246887207,94.97300720214844,97.34185791015625,84.72016143798828,84.51597595214844,55.412967681884766,92.36199188232422,99.48020935058594,91.98500061035156,66.46699523925781,95.5392074584961,0.0,0.0,86.54817962646484,85.9789047241211,85.78640747070312,94.09793853759766,97.95931243896484
Hound,87.54338073730469,80.89142608642578,57.67432403564453,94.97300720214844,58.301151275634766,73.29591369628906,63.04766082763672,0.0,58.0631217956543,58.83632278442383,0.0,0.0,88.52217864990234,0.0,0.0,0.0,79.32315063476562,0.0,0.0,0.0
Grass,0.0,98.14763641357422,0.0,0.0,0.0,0.0,59.212005615234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,98.14763641357422,0.0,0.0,0.0,0.0,59.212005615234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,90.77928161621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,89.5973129272461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,89.5973129272461,0.0,68.02728271484375,0.0,56.573699951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,64.93465423583984,0.0,0.0,0.0,0.0,0.0,99.79019927978516,0.0,0.0,0.0,98.40587615966797,64.5846939086914,95.7589111328125,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,64.93465423583984,0.0,0.0,0.0,0.0,0.0,99.79019927978516,0.0,0.0,0.0,98.40587615966797,64.5846939086914,95.7589111328125,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,64.02836608886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
