,몰티즈_1,몰티즈_2,몰티즈_3,몰티즈_4,몰티즈_5,몰티즈_6,몰티즈_7,몰티즈_8,몰티즈_9,몰티즈_10,몰티즈_11,몰티즈_12,몰티즈_13,몰티즈_14,몰티즈_15,몰티즈_16,몰티즈_17,몰티즈_18,몰티즈_19,몰티즈_20
Toy,89.83171844482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.21347045898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bear,82.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,63.394527435302734,99.457275390625,99.19845581054688,98.81873321533203,92.78718566894531,97.54642486572266,94.14314270019531,98.8556900024414,85.20410919189453,95.28852844238281,99.52558898925781,99.48171997070312,96.23704528808594,91.7379379272461,98.9287109375,90.90696716308594,88.57085418701172,93.48352813720703,92.74927520751953,91.85680389404297
Animal,63.394527435302734,99.457275390625,99.19845581054688,98.81873321533203,92.78718566894531,97.54642486572266,94.14314270019531,98.8556900024414,85.29191589355469,95.28852844238281,99.52558898925781,99.48171997070312,96.23704528808594,91.91386413574219,98.9287109375,90.90696716308594,88.57085418701172,93.48352813720703,92.74927520751953,91.85680389404297
Pet,62.50117111206055,99.457275390625,99.19845581054688,98.81873321533203,91.1797103881836,97.54642486572266,94.14314270019531,98.8556900024414,84.5038833618164,95.28852844238281,99.52558898925781,99.48171997070312,96.23704528808594,87.31919860839844,98.9287109375,90.03353881835938,86.54474639892578,93.48352813720703,92.6822280883789,89.98970031738281
Winter,61.106422424316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,61.106422424316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,61.106422424316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,61.106422424316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,61.106422424316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,59.12601089477539,99.457275390625,99.19845581054688,98.81873321533203,92.78718566894531,97.54642486572266,94.14314270019531,98.8556900024414,84.5038833618164,95.28852844238281,99.52558898925781,99.48171997070312,96.23704528808594,89.26419830322266,98.9287109375,90.90696716308594,88.57085418701172,93.48352813720703,92.74927520751953,91.85680389404297
Dog,56.58433151245117,99.457275390625,99.19845581054688,98.81873321533203,91.06956481933594,97.54642486572266,94.14314270019531,98.8556900024414,84.5038833618164,95.28852844238281,99.52558898925781,99.48171997070312,96.23704528808594,85.85554504394531,98.9287109375,90.03353881835938,75.63875579833984,93.48352813720703,92.6822280883789,76.66053009033203
Puppy,0.0,99.457275390625,94.09011840820312,98.20991516113281,79.45458221435547,88.4553451538086,94.14314270019531,95.28560638427734,59.22724914550781,90.01323699951172,99.52558898925781,99.48171997070312,96.23704528808594,76.16655731201172,98.9287109375,89.68266296386719,68.8900146484375,93.48352813720703,92.6822280883789,76.66053009033203
Tub,0.0,69.86742401123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathtub,0.0,69.86742401123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,99.84117889404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,99.84117889404297,58.846195220947266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,87.23597717285156,0.0,57.202423095703125,57.56260681152344,61.44367599487305,0.0,0.0,0.0,0.0,62.31882858276367,0.0,0.0,0.0,0.0,0.0,0.0,57.761051177978516,0.0
Lawn,0.0,0.0,78.46168518066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,58.766143798828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,55.785892486572266,90.646484375,55.73233413696289,55.737361907958984,0.0,76.01901245117188,57.93647003173828,55.09784698486328,82.35397338867188,71.91055297851562,0.0,0.0,0.0,0.0,0.0,0.0,58.899959564208984,0.0
Sphere,0.0,0.0,55.196205139160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,60.022705078125,0.0,76.5273208618164,67.91612243652344,0.0,0.0,87.47785949707031,0.0,70.71583557128906,0.0,71.89315032958984,0.0,0.0,0.0,0.0,81.3194351196289,0.0
Vegetation,0.0,0.0,0.0,58.846195220947266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bush,0.0,0.0,0.0,58.846195220947266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White,0.0,0.0,0.0,57.55522537231445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texture,0.0,0.0,0.0,57.55522537231445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,57.563743591308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,57.563743591308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,91.1421127319336,57.111968994140625,0.0,0.0,0.0,87.17716979980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.2025146484375,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,91.1421127319336,57.111968994140625,0.0,0.0,0.0,87.17716979980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.2025146484375,0.0
Mouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.17559814453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.17559814453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tongue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.4695816040039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.2144546508789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.44377899169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.44377899169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.44377899169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59383392333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.93270874023438,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59383392333984,71.8994369506836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.93270874023438,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.09552764892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.09552764892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6942138671875,0.0,0.0,0.0,0.0,93.14642333984375,0.0,86.79869079589844
Eskimo Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.23329162597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.090919494628906,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.74563598632812,73.12532043457031,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.484039306640625,0.0,0.0,0.0,71.88523864746094
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.63875579833984,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.01026153564453,0.0,76.20771789550781
Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.22828674316406,0.0,67.67540740966797
Flooring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.81334686279297,0.0,69.87857818603516
Team Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.81644439697266,0.0
Football,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.81644439697266,0.0
Soccer Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.81644439697266,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.81644439697266,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.81644439697266,0.0
Soccer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.81644439697266,0.0
Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.81644439697266,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.81644439697266,0.0
Blanket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.26032638549805,0.0
Boxer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.88523864746094
