,미니어처 불 테리어_1,미니어처 불 테리어_2,미니어처 불 테리어_3,미니어처 불 테리어_4,미니어처 불 테리어_5,미니어처 불 테리어_6,미니어처 불 테리어_7,미니어처 불 테리어_8,미니어처 불 테리어_9,미니어처 불 테리어_10,미니어처 불 테리어_11,미니어처 불 테리어_12,미니어처 불 테리어_13,미니어처 불 테리어_14,미니어처 불 테리어_15,미니어처 불 테리어_16,미니어처 불 테리어_17,미니어처 불 테리어_18,미니어처 불 테리어_19,미니어처 불 테리어_20
Canine,95.5257568359375,87.96906280517578,87.34555053710938,92.95803833007812,89.04595947265625,93.54651641845703,90.3816146850586,89.98117065429688,85.30855560302734,93.77645111083984,93.33447265625,67.67254638671875,77.45993041992188,64.40815734863281,0.0,98.8802261352539,96.9726333618164,85.85183715820312,79.40669250488281,87.63117980957031
Animal,95.5257568359375,87.96906280517578,87.34555053710938,92.95803833007812,89.04595947265625,93.54651641845703,90.3816146850586,91.06625366210938,86.92273712158203,93.77645111083984,93.33447265625,74.21227264404297,89.67119598388672,89.52590942382812,0.0,98.8802261352539,96.9726333618164,86.3512954711914,82.08290100097656,89.67282104492188
Mammal,95.5257568359375,87.96906280517578,87.34555053710938,92.95803833007812,89.04595947265625,93.54651641845703,90.3816146850586,89.98117065429688,85.5438232421875,93.77645111083984,93.33447265625,74.21227264404297,89.67119598388672,89.52590942382812,0.0,98.8802261352539,96.9726333618164,85.85183715820312,79.40669250488281,87.63117980957031
Dog,95.5257568359375,87.96906280517578,85.57072448730469,91.23359680175781,85.26604461669922,92.41510772705078,87.63134765625,89.09571838378906,83.60822296142578,93.77645111083984,93.33447265625,63.10517883300781,62.255001068115234,62.95948791503906,0.0,98.8802261352539,96.9726333618164,85.5691146850586,68.55577850341797,87.63117980957031
Pet,95.5257568359375,87.96906280517578,86.9676742553711,92.5056381225586,86.50614929199219,92.42500305175781,88.88609313964844,91.06625366210938,85.50941467285156,93.77645111083984,93.33447265625,69.818359375,78.29551696777344,66.33577728271484,0.0,98.8802261352539,96.9726333618164,86.3512954711914,82.08290100097656,89.67282104492188
Bulldog,71.80387115478516,0.0,82.38284301757812,87.79004669189453,79.57659912109375,83.70691680908203,58.44952392578125,82.45490264892578,61.42774200439453,93.77645111083984,93.33447265625,0.0,0.0,0.0,0.0,98.8802261352539,0.0,78.18291473388672,0.0,72.73876190185547
Snout,65.16815948486328,0.0,0.0,0.0,0.0,0.0,71.97344207763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.03569030761719,0.0,0.0,0.0,0.0,0.0
White Dog,61.67117691040039,73.87421417236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,57.21324920654297,0.0,79.8448715209961,0.0,88.1230697631836,0.0,0.0,66.80330657958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.88768768310547,0.0,0.0,0.0
Sitting,56.045108795166016,0.0,0.0,58.80604553222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1689682006836,0.0,0.0,0.0,0.0
Puppy,55.285545349121094,87.96906280517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.447261810302734,0.0,0.0,0.0,0.0,0.0,0.0,66.10832214355469,0.0,0.0
Plant,0.0,58.77106857299805,78.53998565673828,0.0,0.0,0.0,58.891571044921875,62.57025146484375,0.0,0.0,97.14173889160156,0.0,86.07576751708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,78.53998565673828,0.0,0.0,0.0,58.891571044921875,62.57025146484375,0.0,0.0,82.50405883789062,0.0,86.07576751708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,66.0006332397461,69.38961791992188,55.55356216430664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,64.12085723876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.06565856933594,0.0,57.055419921875,0.0,60.30656433105469,0.0
Apparel,0.0,0.0,64.12085723876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.06565856933594,0.0,57.055419921875,0.0,60.30656433105469,0.0
Pitbull,0.0,0.0,60.94296646118164,69.2275619506836,56.28275680541992,72.98733520507812,0.0,0.0,0.0,93.77645111083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,69.94269561767578,0.0,0.0,55.36830520629883,0.0,0.0,90.5745620727539,0.0,61.706764221191406,91.19709014892578,0.0,0.0,0.0,0.0,75.45455932617188,0.0
Boston Bull,0.0,0.0,0.0,0.0,66.99842834472656,0.0,0.0,82.45490264892578,0.0,0.0,93.33447265625,0.0,0.0,0.0,0.0,98.8802261352539,0.0,78.18291473388672,0.0,70.90995788574219
Wheel,0.0,0.0,0.0,0.0,56.315589904785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,56.315589904785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,85.64208221435547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,85.47959899902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.21747589111328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.9726333618164,0.0,68.55577850341797,0.0
Coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.240699768066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.00936508178711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.5691146850586,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.14173889160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.15650177001953,0.0,0.0,93.20777130126953,0.0,0.0,0.0,0.0,66.4502944946289,0.0
Jar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2420883178711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2420883178711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pottery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2420883178711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potted Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2420883178711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.98278045654297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67837524414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.47184753417969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.20348358154297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.63600540161133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33555603027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33555603027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33555603027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herbs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.50759506225586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.75361633300781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.94781494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.94781494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.885616302490234,0.0,0.0,0.0,0.0,0.0,55.861785888671875,0.0,0.0
Figurine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.32903289794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sculpture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.689815521240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.689815521240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.689815521240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.6551399230957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.53731155395508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.15918731689453,0.0,86.54686737060547,0.0,0.0,0.0,77.70757293701172,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.15918731689453,0.0,86.54686737060547,0.0,0.0,0.0,77.70757293701172,0.0
Rodent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.61775207519531,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.520751953125,0.0,0.0,0.0,0.0,0.0,0.0
Bunny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.549617767333984,0.0,0.0,0.0,0.0,0.0,0.0
Rabbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.549617767333984,0.0,0.0,0.0,0.0,0.0,0.0
Ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.87595748901367,0.0,0.0,0.0,0.0,0.0,0.0
Hat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.20499038696289,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.06816864013672,0.0
Pointer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.98517608642578
