,미니어처 핀셔_1,미니어처 핀셔_2,미니어처 핀셔_3,미니어처 핀셔_4,미니어처 핀셔_5,미니어처 핀셔_6,미니어처 핀셔_7,미니어처 핀셔_8,미니어처 핀셔_9,미니어처 핀셔_10,미니어처 핀셔_11,미니어처 핀셔_12,미니어처 핀셔_13,미니어처 핀셔_14,미니어처 핀셔_15,미니어처 핀셔_16,미니어처 핀셔_17,미니어처 핀셔_18,미니어처 핀셔_19,미니어처 핀셔_20
Canine,98.94322967529297,89.26419830322266,98.02127075195312,76.95458221435547,98.24944305419922,99.2460708618164,99.15757751464844,93.55572509765625,98.50505065917969,97.89629364013672,90.97189331054688,87.01084899902344,98.93936920166016,94.91216278076172,91.71965026855469,99.78237915039062,98.67098999023438,92.3595962524414,93.0719223022461,90.39736938476562
Chihuahua,98.94322967529297,0.0,0.0,0.0,98.24944305419922,0.0,98.6995620727539,62.814064025878906,0.0,97.89629364013672,0.0,0.0,98.93936920166016,90.16282653808594,91.71965026855469,99.78237915039062,98.67098999023438,59.26996612548828,79.77378845214844,70.69586944580078
Mammal,98.94322967529297,91.7379379272461,98.02127075195312,76.95458221435547,98.24944305419922,99.2460708618164,99.15757751464844,93.55572509765625,98.50505065917969,97.89629364013672,90.97189331054688,87.18656158447266,98.93936920166016,94.91216278076172,91.71965026855469,99.78237915039062,98.67098999023438,92.3595962524414,93.0719223022461,90.39736938476562
Pet,98.94322967529297,87.31919860839844,98.02127075195312,76.95458221435547,98.24944305419922,99.2460708618164,99.15757751464844,93.55572509765625,98.50505065917969,97.89629364013672,87.91854858398438,84.1419677734375,98.93936920166016,94.91216278076172,91.71965026855469,99.78237915039062,98.67098999023438,92.3595962524414,92.69596862792969,90.39736938476562
Dog,98.94322967529297,85.85553741455078,98.02127075195312,76.95458221435547,98.24944305419922,99.2460708618164,99.15757751464844,93.55572509765625,98.50505065917969,97.89629364013672,80.89142608642578,82.71146392822266,98.93936920166016,94.91216278076172,91.71965026855469,99.78237915039062,98.67098999023438,92.3595962524414,92.05924987792969,90.39736938476562
Animal,98.94322967529297,91.91385650634766,98.02127075195312,76.95458221435547,98.24944305419922,99.2460708618164,99.15757751464844,93.55572509765625,98.50505065917969,97.89629364013672,91.6983642578125,92.53056335449219,98.93936920166016,94.91216278076172,91.71965026855469,99.78237915039062,98.67098999023438,92.3595962524414,93.0719223022461,90.39736938476562
Puppy,91.71282196044922,76.16655731201172,0.0,0.0,0.0,0.0,0.0,0.0,58.75524139404297,73.96897888183594,0.0,0.0,60.700218200683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,71.89315032958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papillon,0.0,0.0,98.02127075195312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,98.02127075195312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,98.02127075195312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
