,바센지_1,바센지_2,바센지_3,바센지_4,바센지_5,바센지_6,바센지_7,바센지_8,바센지_9,바센지_10,바센지_11,바센지_12,바센지_13,바센지_14,바센지_15,바센지_16,바센지_17,바센지_18,바센지_19,바센지_20
Hound,97.3565444946289,80.23587799072266,91.02204895019531,98.00777435302734,68.73013305664062,76.44873046875,93.7243423461914,0.0,95.3172607421875,86.0391616821289,78.13436126708984,81.36557006835938,56.350364685058594,0.0,79.21215057373047,89.64451599121094,0.0,0.0,84.18893432617188,85.15299224853516
Dog,97.3565444946289,96.03348541259766,93.29704284667969,98.00777435302734,87.72222900390625,95.51272583007812,97.42566680908203,98.9687271118164,95.3172607421875,88.80352020263672,86.65020751953125,81.36557006835938,81.60090637207031,0.0,97.8082275390625,94.7549819946289,0.0,76.33321380615234,84.18893432617188,85.15299224853516
Mammal,97.3565444946289,96.03348541259766,93.29704284667969,98.00777435302734,92.04730224609375,95.51272583007812,97.42566680908203,98.9687271118164,95.3172607421875,90.3174819946289,89.14141845703125,82.98912811279297,85.17076873779297,73.3780517578125,97.8082275390625,94.7549819946289,66.01763916015625,82.87422943115234,92.61312103271484,88.99284362792969
Pet,97.3565444946289,96.03348541259766,93.29704284667969,98.00777435302734,89.52691650390625,95.51272583007812,97.42566680908203,98.9687271118164,95.3172607421875,89.13172912597656,87.39580535888672,82.62255859375,81.60090637207031,72.58667755126953,97.8082275390625,94.7549819946289,63.83669662475586,81.64543914794922,90.65702056884766,86.94503021240234
Animal,97.3565444946289,96.03348541259766,93.29704284667969,98.00777435302734,92.8845443725586,95.51272583007812,97.42566680908203,98.9687271118164,95.3172607421875,90.3174819946289,89.14141845703125,82.98912811279297,85.17076873779297,73.3780517578125,97.8082275390625,94.7549819946289,66.01763916015625,82.87422943115234,92.61312103271484,88.99284362792969
Canine,97.3565444946289,96.03348541259766,93.29704284667969,98.00777435302734,91.1944808959961,95.51272583007812,97.42566680908203,98.9687271118164,95.3172607421875,90.3174819946289,89.14141845703125,82.98912811279297,85.17076873779297,73.3780517578125,97.8082275390625,94.7549819946289,66.01763916015625,82.87422943115234,92.61312103271484,88.99284362792969
Beagle,85.14643859863281,0.0,62.47077560424805,92.57513427734375,0.0,0.0,56.63254928588867,0.0,80.45882415771484,58.230953216552734,0.0,60.51809310913086,0.0,0.0,0.0,58.47260284423828,0.0,0.0,0.0,72.0285873413086
Grass,76.29335021972656,0.0,0.0,0.0,0.0,0.0,67.88330078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,76.29335021972656,0.0,0.0,0.0,0.0,0.0,67.88330078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,71.25709533691406,0.0,55.056182861328125,0.0,0.0,0.0,82.92514038085938,99.23668670654297,0.0,86.92351531982422,0.0,67.96539306640625,72.97099304199219,0.0,0.0,0.0,0.0,0.0,0.0,58.967628479003906
Outdoors,68.64839935302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.35770416259766,57.844608306884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,58.151920318603516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.12715148925781,0.0,0.0,0.0,0.0,76.33321380615234,0.0,0.0
Boston Bull,0.0,56.12376022338867,0.0,0.0,0.0,0.0,0.0,0.0,87.36482238769531,55.422332763671875,0.0,58.16569900512695,0.0,0.0,62.63075256347656,77.36834716796875,0.0,0.0,0.0,78.82135772705078
Bulldog,0.0,56.12376022338867,81.12911987304688,0.0,0.0,95.51272583007812,86.3363265991211,0.0,87.36482238769531,78.95951843261719,0.0,58.32403564453125,0.0,0.0,97.8082275390625,94.7549819946289,0.0,59.865936279296875,77.85652923583984,78.82135772705078
Boxer,0.0,0.0,77.31141662597656,0.0,0.0,95.51272583007812,86.3363265991211,0.0,0.0,78.95951843261719,0.0,0.0,0.0,0.0,97.8082275390625,94.7549819946289,0.0,0.0,77.85652923583984,0.0
Puppy,0.0,0.0,0.0,56.543235778808594,78.0783920288086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4013671875
Wolf,0.0,0.0,0.0,0.0,66.41498565673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.301429748535156,0.0,0.0,0.0,0.0,0.0,57.842159271240234,0.0
Human,0.0,0.0,0.0,0.0,0.0,69.72953033447266,0.0,0.0,0.0,0.0,0.0,61.7420768737793,0.0,0.0,0.0,0.0,98.68817901611328,0.0,85.70610046386719,0.0
Person,0.0,0.0,0.0,0.0,0.0,69.72953033447266,0.0,0.0,0.0,0.0,0.0,61.7420768737793,0.0,0.0,0.0,0.0,98.68817901611328,0.0,85.70610046386719,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,78.523681640625,0.0,0.0,0.0,0.0,55.77617263793945,59.41611099243164,0.0,0.0,0.0,57.652793884277344,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,78.523681640625,0.0,0.0,0.0,0.0,55.77617263793945,59.41611099243164,0.0,0.0,0.0,57.652793884277344,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.4369125366211,0.0,63.44479751586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzeller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14350891113281,0.0,0.0,56.49876022338867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.18445587158203,0.0,0.0,55.497135162353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.46682739257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.19086837768555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.42904663085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Housing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.88315963745117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.88315963745117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.301429748535156,0.0,0.0,0.0,0.0,0.0,57.842159271240234,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.2009506225586,0.0,0.0,97.29414367675781,0.0,0.0,55.636234283447266
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.79926300048828,0.0,0.0,0.0,0.0,0.0,76.5226821899414
Pitbull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.51856994628906,0.0,0.0,0.0,0.0,0.0
Veterinarian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.64336395263672,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.40133666992188,0.0,67.33771514892578,0.0
Shorts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.652793884277344,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.97318267822266,0.0,0.0
Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.64828491210938,0.0,0.0
Flooring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.889747619628906,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.942867279052734,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.75191879272461,0.0,0.0
Soccer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33771514892578,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33771514892578,0.0
Team Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33771514892578,0.0
Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33771514892578,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33771514892578,0.0
Football,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33771514892578,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33771514892578,0.0
Soccer Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33771514892578,0.0
Standing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.52007293701172
