,바셋 하운드_1,바셋 하운드_2,바셋 하운드_3,바셋 하운드_4,바셋 하운드_5,바셋 하운드_6,바셋 하운드_7,바셋 하운드_8,바셋 하운드_9,바셋 하운드_10,바셋 하운드_11,바셋 하운드_12,바셋 하운드_13,바셋 하운드_14,바셋 하운드_15,바셋 하운드_16,바셋 하운드_17,바셋 하운드_18,바셋 하운드_19,바셋 하운드_20
Plant,97.25593566894531,0.0,0.0,75.64839935302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.584228515625
Grass,97.25593566894531,0.0,0.0,75.64839935302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.90980529785156
Animal,92.53056335449219,99.79681396484375,91.61761474609375,99.1295394897461,99.59719848632812,99.00053405761719,97.78648376464844,98.98773956298828,94.37741088867188,99.85714721679688,99.5194091796875,90.37617492675781,98.96568298339844,99.5555648803711,98.53121948242188,99.62672424316406,99.98926544189453,98.89694213867188,92.86697387695312,96.44917297363281
Vegetation,87.314453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.584228515625
Mammal,87.18656158447266,99.79681396484375,91.00680541992188,99.1295394897461,99.59719848632812,99.00053405761719,97.78648376464844,98.98773956298828,94.37741088867188,99.85714721679688,99.5194091796875,90.37617492675781,98.96568298339844,99.5555648803711,98.53121948242188,99.62672424316406,99.98926544189453,98.89694213867188,92.86697387695312,96.44917297363281
Canine,87.01084899902344,99.79681396484375,89.20333099365234,99.1295394897461,99.59719848632812,99.00053405761719,97.78648376464844,98.98773956298828,94.37741088867188,99.85714721679688,99.5194091796875,90.37617492675781,98.96568298339844,99.5555648803711,98.53121948242188,99.62672424316406,99.98926544189453,98.89694213867188,92.86697387695312,96.44917297363281
Pet,84.1419677734375,99.79681396484375,91.61761474609375,99.1295394897461,99.59719848632812,99.00053405761719,97.78648376464844,98.98773956298828,94.37741088867188,99.85714721679688,99.5194091796875,90.37617492675781,98.96568298339844,99.5555648803711,98.53121948242188,99.62672424316406,99.98926544189453,98.89694213867188,92.86697387695312,96.44917297363281
Dog,82.71146392822266,99.79681396484375,89.20333099365234,99.1295394897461,99.59719848632812,99.00053405761719,97.78648376464844,98.98773956298828,94.37741088867188,99.85714721679688,99.5194091796875,90.37617492675781,98.96568298339844,99.5555648803711,98.53121948242188,99.62672424316406,99.98926544189453,98.89694213867188,92.86697387695312,96.44917297363281
Outdoors,78.49907684326172,0.0,0.0,0.0,0.0,0.0,0.0,74.08085632324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,62.389122009277344,0.0,0.0,0.0,0.0,0.0,0.0,60.68084716796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
