,버니즈 마운틴 도그_1,버니즈 마운틴 도그_2,버니즈 마운틴 도그_3,버니즈 마운틴 도그_4,버니즈 마운틴 도그_5,버니즈 마운틴 도그_6,버니즈 마운틴 도그_7,버니즈 마운틴 도그_8,버니즈 마운틴 도그_9,버니즈 마운틴 도그_10,버니즈 마운틴 도그_11,버니즈 마운틴 도그_12,버니즈 마운틴 도그_13,버니즈 마운틴 도그_14,버니즈 마운틴 도그_15,버니즈 마운틴 도그_16,버니즈 마운틴 도그_17,버니즈 마운틴 도그_18,버니즈 마운틴 도그_19,버니즈 마운틴 도그_20
Wedding,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robe,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gown,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedding Gown,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fashion,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,93.81554412841797,93.25347137451172,96.32661437988281,97.42698669433594,95.57245635986328,93.06441497802734,94.68282318115234,90.47599029541016,99.75067138671875,91.6405258178711,90.27429962158203,77.26681518554688,95.25882720947266,99.51334381103516,99.20016479492188,91.31126403808594,87.3062973022461,88.59283447265625,0.0,80.51594543457031
Canine,93.81554412841797,93.25347137451172,96.32661437988281,97.42698669433594,95.57245635986328,93.06441497802734,92.49044036865234,90.47599029541016,99.75067138671875,91.6405258178711,90.27429962158203,77.26681518554688,95.25882720947266,96.50945281982422,99.20016479492188,91.31126403808594,87.3062973022461,88.59283447265625,0.0,80.51594543457031
Animal,93.81554412841797,93.25347137451172,96.32661437988281,97.42698669433594,95.57245635986328,94.16185760498047,94.68282318115234,90.47599029541016,99.75067138671875,93.08611297607422,91.65150451660156,78.25873565673828,95.62338256835938,99.51334381103516,99.20016479492188,91.31126403808594,87.3062973022461,88.92367553710938,0.0,80.51594543457031
Pet,92.91087341308594,92.29681396484375,95.84396362304688,97.42698669433594,95.57245635986328,93.62576293945312,91.47107696533203,89.06198120117188,99.75067138671875,93.08611297607422,91.65150451660156,78.25873565673828,95.62338256835938,96.50945281982422,99.20016479492188,91.31126403808594,86.87107849121094,88.92367553710938,0.0,80.51594543457031
Dog,91.86488342285156,92.29681396484375,94.59591674804688,97.42698669433594,95.57245635986328,73.26243591308594,69.36864471435547,89.06198120117188,99.75067138671875,90.74876403808594,89.6012954711914,74.80127716064453,94.43119049072266,96.50945281982422,99.20016479492188,91.31126403808594,67.03091430664062,87.92860412597656,0.0,80.51594543457031
Nature,86.95963287353516,0.0,0.0,0.0,0.0,0.0,62.450592041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,86.95963287353516,0.0,0.0,0.0,0.0,0.0,69.28812408447266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,81.7627944946289,0.0,78.55814361572266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,70.70487976074219,0.0,85.70431518554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,75.53309631347656,0.0,0.0,0.0,0.0,69.36864471435547,59.479942321777344,0.0,0.0,68.16012573242188,0.0,55.59202194213867,0.0,0.0,55.10752487182617,67.03091430664062,0.0,0.0,0.0
Hound,0.0,73.68289184570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.020626068115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.51594543457031
Collie,0.0,58.01368713378906,0.0,63.13783645629883,0.0,0.0,0.0,0.0,0.0,64.47100830078125,0.0,0.0,65.12493133544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzeller,0.0,57.429908752441406,0.0,96.1302490234375,87.34011840820312,73.26243591308594,0.0,0.0,98.02200317382812,81.32499694824219,88.00198364257812,0.0,93.3960189819336,96.50945281982422,99.20016479492188,91.31126403808594,0.0,87.92860412597656,0.0,0.0
Wolf,0.0,0.0,59.762474060058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,67.76060485839844,0.0,56.1757926940918,0.0,56.57111740112305,0.0,0.0,57.0928955078125,62.60236358642578,0.0,0.0,0.0,63.35334396362305,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,72.7149429321289,0.0,90.93514251708984,0.0,73.93767547607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,65.57872009277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tree,0.0,0.0,0.0,0.0,63.16453170776367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,72.4768295288086,96.01783752441406,0.0,0.0,0.0,55.13801956176758,0.0,0.0,0.0,91.41414642333984,0.0,87.81776428222656,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,72.4768295288086,96.01783752441406,0.0,0.0,0.0,55.13801956176758,0.0,0.0,0.0,91.41414642333984,0.0,87.81776428222656,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,90.93514251708984,0.0,73.93767547607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,0.0,0.0,0.0,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,0.0,0.0,0.0,0.0,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,0.0,0.0,0.0,0.0,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football,0.0,0.0,0.0,0.0,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball,0.0,0.0,0.0,0.0,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yard,0.0,0.0,0.0,0.0,0.0,0.0,62.450592041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,56.898658752441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.51334381103516,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.08145141601562,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.352935791015625,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99665069580078,70.919677734375
Plush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.81389617919922,70.919677734375
Figurine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.18433380126953
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5389518737793
