,베들링턴 테리어_1,베들링턴 테리어_2,베들링턴 테리어_3,베들링턴 테리어_4,베들링턴 테리어_5,베들링턴 테리어_6,베들링턴 테리어_7,베들링턴 테리어_8,베들링턴 테리어_9,베들링턴 테리어_10,베들링턴 테리어_11,베들링턴 테리어_12,베들링턴 테리어_13,베들링턴 테리어_14,베들링턴 테리어_15,베들링턴 테리어_16,베들링턴 테리어_17,베들링턴 테리어_18,베들링턴 테리어_19,베들링턴 테리어_20
Toy,84.89154052734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.249454498291016,0.0,83.8091049194336,56.047584533691406,0.0,0.0,0.0,0.0
Floor,82.61511993408203,0.0,0.0,0.0,0.0,0.0,99.97161865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,63.05750274658203,90.6843490600586,95.3851547241211,0.0,95.93572235107422,93.14456176757812,87.77188110351562,91.27542114257812,89.29319763183594,91.944580078125,82.00274658203125,93.44491577148438,64.31768035888672,89.46861267089844,73.54266357421875,0.0,70.12079620361328,58.22145080566406,94.74420928955078,89.0565414428711
Animal,63.05750274658203,91.66400909423828,95.3851547241211,98.3828353881836,95.93572235107422,93.14456176757812,87.77188110351562,91.27542114257812,89.29319763183594,91.944580078125,82.00274658203125,93.44491577148438,84.03157043457031,89.8272476196289,81.81841278076172,0.0,70.12079620361328,73.24313354492188,94.74420928955078,89.81071472167969
Pet,0.0,86.44388580322266,94.62298583984375,0.0,95.93572235107422,90.39921569824219,87.77188110351562,91.27542114257812,89.29319763183594,86.3114013671875,80.9267807006836,93.44491577148438,0.0,89.8272476196289,60.46127700805664,0.0,65.6600341796875,0.0,94.74420928955078,89.81071472167969
Canine,0.0,85.23493194580078,95.3851547241211,0.0,95.93572235107422,90.39921569824219,87.77188110351562,91.27542114257812,89.29319763183594,85.37570190429688,82.00274658203125,93.44491577148438,0.0,89.46861267089844,57.270484924316406,0.0,65.6600341796875,0.0,94.74420928955078,89.0565414428711
Dog,0.0,80.35820770263672,94.08160400390625,0.0,95.93572235107422,90.39921569824219,87.77188110351562,91.27542114257812,89.29319763183594,83.35493469238281,61.37530517578125,93.44491577148438,0.0,89.19149017333984,0.0,0.0,65.6600341796875,0.0,94.74420928955078,89.0565414428711
Terrier,0.0,0.0,88.11505126953125,0.0,0.0,0.0,0.0,0.0,63.37584686279297,61.134071350097656,0.0,0.0,0.0,73.29829406738281,0.0,0.0,0.0,0.0,59.60015869140625,86.05084228515625
Airedale,0.0,0.0,56.025665283203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,97.62474060058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.96595764160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swan,0.0,0.0,0.0,92.79842376708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shower Faucet,0.0,0.0,0.0,85.72891998291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crane Bird,0.0,0.0,0.0,57.325645446777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,95.93572235107422,0.0,0.0,0.0,89.29319763183594,57.26799392700195,61.37530517578125,93.44491577148438,0.0,89.19149017333984,0.0,0.0,0.0,0.0,94.74420928955078,59.297462463378906
Sheep,0.0,0.0,0.0,0.0,0.0,93.14456176757812,0.0,0.0,63.435550689697266,66.82015228271484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,61.901424407958984,0.0,82.03834533691406,57.43359375,0.0,68.38663482666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9466552734375
Grass,0.0,0.0,0.0,0.0,0.0,61.901424407958984,0.0,82.03834533691406,55.71694564819336,0.0,68.38663482666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9466552734375
Goat,0.0,0.0,0.0,0.0,0.0,60.28130340576172,0.0,59.462825775146484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flooring,0.0,0.0,0.0,0.0,0.0,0.0,99.99311065673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,0.0,99.99055480957031,0.0,0.0,0.0,0.0,56.357086181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,99.97494506835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,78.63348388671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Living Room,0.0,0.0,0.0,0.0,0.0,0.0,78.63348388671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,78.63348388671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rug,0.0,0.0,0.0,0.0,0.0,0.0,74.57846069335938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,74.13763427734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,74.13763427734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plywood,0.0,0.0,0.0,0.0,0.0,0.0,59.753257751464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.91980743408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.9983901977539,0.0,0.0,0.0,0.0,0.0,0.0,82.75289916992188,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.9983901977539,0.0,0.0,0.0,0.0,0.0,0.0,82.75289916992188,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.94916534423828,0.0,0.0,0.0,0.0,0.0,0.0,74.48141479492188,0.0,0.0
