,벨기에 말리노이즈_1,벨기에 말리노이즈_2,벨기에 말리노이즈_3,벨기에 말리노이즈_4,벨기에 말리노이즈_5,벨기에 말리노이즈_6,벨기에 말리노이즈_7,벨기에 말리노이즈_9,벨기에 말리노이즈_10,벨기에 말리노이즈_11,벨기에 말리노이즈_12,벨기에 말리노이즈_13,벨기에 말리노이즈_14,벨기에 말리노이즈_15,벨기에 말리노이즈_16,벨기에 말리노이즈_17,벨기에 말리노이즈_18,벨기에 말리노이즈_19,벨기에 말리노이즈_20
Dog,98.93895721435547,88.34986877441406,0.0,98.13548278808594,99.31432342529297,94.51541900634766,96.49407196044922,96.01127624511719,96.74740600585938,95.3502426147461,97.3415298461914,91.48079681396484,88.0158920288086,93.36351776123047,96.9127197265625,91.33599853515625,97.52033233642578,94.22645568847656,92.91510009765625
German Shepherd,98.93895721435547,0.0,0.0,98.13507843017578,99.31432342529297,94.51541900634766,96.49407196044922,96.01127624511719,95.93833923339844,95.3502426147461,97.3415298461914,56.7952766418457,0.0,79.35563659667969,76.16787719726562,63.97511291503906,97.52033233642578,69.07003784179688,92.91510009765625
Mammal,98.93895721435547,91.72073364257812,95.13178253173828,98.13548278808594,99.31432342529297,96.84478759765625,96.49407196044922,96.01127624511719,96.74740600585938,95.3502426147461,97.3415298461914,93.32164764404297,93.65605163574219,94.60528564453125,96.9127197265625,94.66796875,97.52033233642578,94.91461181640625,93.04829406738281
Pet,98.93895721435547,89.42974853515625,91.89249420166016,98.13548278808594,99.31432342529297,94.51541900634766,96.49407196044922,96.01127624511719,96.74740600585938,95.3502426147461,97.3415298461914,93.0616683959961,89.57038116455078,93.36351776123047,96.9127197265625,94.75696563720703,97.52033233642578,94.49699401855469,92.91510009765625
Animal,98.93895721435547,92.74810791015625,95.39038848876953,98.13548278808594,99.31432342529297,96.84478759765625,96.49407196044922,96.01127624511719,96.74740600585938,95.3502426147461,97.3415298461914,95.28679656982422,93.65605163574219,94.60528564453125,96.9127197265625,94.75696563720703,97.52033233642578,94.91461181640625,93.04829406738281
Canine,98.93895721435547,90.83698272705078,95.13178253173828,98.13548278808594,99.31432342529297,94.51541900634766,96.49407196044922,96.01127624511719,96.74740600585938,95.3502426147461,97.3415298461914,92.44009399414062,93.41765594482422,94.60528564453125,96.9127197265625,94.66796875,97.52033233642578,94.91461181640625,93.04829406738281
Pig,73.01878356933594,0.0,0.0,0.0,0.0,96.84478759765625,0.0,0.0,0.0,0.0,0.0,0.0,92.92273712158203,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,79.19364929199219,66.94420623779297,0.0,0.0,55.97563171386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,61.59619140625,0.0,0.0,0.0,59.32743835449219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,83.58468627929688,0.0,0.0,0.0,0.0,0.0,0.0,97.49839782714844,92.4026107788086,59.50133514404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
