,벨기에 테뷰런_1,벨기에 테뷰런_2,벨기에 테뷰런_3,벨기에 테뷰런_4,벨기에 테뷰런_5,벨기에 테뷰런_6,벨기에 테뷰런_7,벨기에 테뷰런_8,벨기에 테뷰런_9,벨기에 테뷰런_10,벨기에 테뷰런_11,벨기에 테뷰런_12,벨기에 테뷰런_13,벨기에 테뷰런_14,벨기에 테뷰런_15,벨기에 테뷰런_16,벨기에 테뷰런_17,벨기에 테뷰런_18,벨기에 테뷰런_19,벨기에 테뷰런_20
Canine,95.9400634765625,93.5548095703125,90.83698272705078,81.35398864746094,99.4875717163086,0.0,99.81175231933594,98.8033447265625,98.7724609375,96.7555923461914,96.79978942871094,99.19607543945312,90.22350311279297,98.1025390625,99.1519775390625,95.35155487060547,99.89732360839844,99.62619018554688,97.81088256835938,86.14847564697266
Animal,95.9400634765625,93.5548095703125,92.74810791015625,95.13275146484375,99.4875717163086,95.1599349975586,99.81175231933594,98.8033447265625,98.7724609375,96.7555923461914,96.79978942871094,99.19607543945312,90.81366729736328,98.1025390625,99.1519775390625,95.35155487060547,99.89732360839844,99.62619018554688,97.81088256835938,90.38292694091797
Mammal,95.9400634765625,93.5548095703125,91.72073364257812,93.23704528808594,99.4875717163086,73.3628158569336,99.81175231933594,98.8033447265625,98.7724609375,96.7555923461914,96.79978942871094,99.19607543945312,90.81366729736328,98.1025390625,99.1519775390625,95.35155487060547,99.89732360839844,99.62619018554688,97.81088256835938,90.26805114746094
Human,86.6554946899414,0.0,0.0,96.00254821777344,88.0548324584961,0.0,0.0,0.0,0.0,0.0,0.0,98.00785064697266,98.47233581542969,0.0,0.0,99.6917724609375,0.0,0.0,0.0,0.0
Person,86.6554946899414,0.0,0.0,96.00254821777344,88.0548324584961,0.0,0.0,0.0,0.0,0.0,0.0,98.00785064697266,98.47233581542969,0.0,0.0,99.6917724609375,0.0,0.0,0.0,0.0
Pet,86.0331039428711,90.74278259277344,89.42974853515625,76.39957427978516,99.4875717163086,0.0,99.81175231933594,98.8033447265625,98.7724609375,96.7555923461914,96.79978942871094,99.19607543945312,90.22350311279297,98.1025390625,99.1519775390625,95.17814636230469,99.89732360839844,99.62619018554688,97.81088256835938,86.6928939819336
German Shepherd,82.80645751953125,0.0,0.0,0.0,0.0,0.0,99.81175231933594,98.8033447265625,98.7724609375,96.7555923461914,96.79978942871094,99.19607543945312,90.22350311279297,98.1025390625,99.1519775390625,95.17814636230469,99.89732360839844,99.62619018554688,97.81088256835938,81.158203125
Dog,82.80645751953125,90.74278259277344,88.34986877441406,0.0,99.4875717163086,0.0,99.81175231933594,98.8033447265625,98.7724609375,96.7555923461914,96.79978942871094,99.19607543945312,90.22350311279297,98.1025390625,99.1519775390625,95.17814636230469,99.89732360839844,99.62619018554688,97.81088256835938,84.40119934082031
Wolf,77.76579284667969,0.0,79.19364929199219,65.83431243896484,0.0,0.0,0.0,57.4453125,0.0,74.9990005493164,78.22415161132812,0.0,74.64197540283203,0.0,0.0,0.0,0.0,56.37907409667969,0.0,79.29059600830078
Grass,0.0,97.60403442382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.87059020996094,76.27083587646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,97.60403442382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.87059020996094,76.27083587646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,76.2021713256836,0.0,0.0,99.4875717163086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,72.7679443359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.46871185302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green,0.0,56.97031784057617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,55.959373474121094,61.59619140625,0.0,76.79289245605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.44953536987305
Apparel,0.0,0.0,0.0,99.81945037841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,99.81945037841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
