,벨지안 그리펀_1,벨지안 그리펀_2,벨지안 그리펀_3,벨지안 그리펀_4,벨지안 그리펀_5,벨지안 그리펀_6,벨지안 그리펀_7,벨지안 그리펀_8,벨지안 그리펀_9,벨지안 그리펀_10,벨지안 그리펀_11,벨지안 그리펀_12,벨지안 그리펀_13,벨지안 그리펀_14,벨지안 그리펀_15,벨지안 그리펀_16,벨지안 그리펀_17,벨지안 그리펀_18,벨지안 그리펀_19,벨지안 그리펀_20
Animal,83.68256378173828,95.35787200927734,99.45185852050781,95.20231628417969,97.36969757080078,95.42893981933594,95.02430725097656,96.30679321289062,68.80615234375,94.91746520996094,94.8167724609375,94.82368469238281,94.7628402709961,93.26752471923828,98.3515853881836,95.09355163574219,93.65901947021484,95.41268920898438,92.07964324951172,92.29251098632812
Bird,81.58878326416016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eagle,81.58878326416016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,0.0,95.35787200927734,99.45185852050781,95.20231628417969,97.36969757080078,95.08812713623047,94.91323852539062,96.30679321289062,68.80615234375,94.91746520996094,94.8167724609375,94.640625,94.7628402709961,93.26752471923828,98.3515853881836,95.09355163574219,93.65901947021484,95.41268920898438,92.07964324951172,91.48595428466797
Mammal,0.0,95.35787200927734,99.45185852050781,95.20231628417969,97.36969757080078,95.08812713623047,94.91323852539062,96.30679321289062,68.80615234375,94.91746520996094,94.8167724609375,94.640625,94.7628402709961,93.26752471923828,98.3515853881836,95.09355163574219,93.65901947021484,95.41268920898438,92.07964324951172,92.29251098632812
Pet,0.0,93.94754028320312,99.45185852050781,94.73103332519531,97.03276824951172,95.42893981933594,95.02430725097656,96.19103240966797,67.09520721435547,94.85870361328125,94.5885238647461,94.82368469238281,92.91464233398438,91.99185180664062,98.3515853881836,95.09355163574219,92.88029479980469,94.18365478515625,90.95111083984375,92.29025268554688
Dog,0.0,93.88103485107422,99.45185852050781,94.73103332519531,97.03276824951172,94.04556274414062,94.21356201171875,95.94448852539062,67.09520721435547,94.01459503173828,94.30352783203125,94.022216796875,91.91377258300781,91.99185180664062,98.3515853881836,95.09355163574219,92.82327270507812,94.18365478515625,75.72909545898438,91.1445541381836
Affenpinscher,0.0,91.24235534667969,0.0,94.11766815185547,97.03276824951172,91.8753890991211,0.0,93.87445831298828,0.0,91.60214233398438,92.24507141113281,94.022216796875,75.38227844238281,63.42814636230469,98.3515853881836,95.09355163574219,91.22464752197266,58.862789154052734,0.0,0.0
Terrier,0.0,68.6531753540039,79.2109146118164,0.0,0.0,0.0,86.76089477539062,0.0,0.0,0.0,0.0,0.0,0.0,59.03915786743164,0.0,0.0,0.0,0.0,75.72909545898438,0.0
Puppy,0.0,0.0,68.83052825927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6294174194336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baseball Cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.516563415527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.516563415527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.516563415527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.516563415527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
