,벨지언 쉽독_1,벨지언 쉽독_2,벨지언 쉽독_3,벨지언 쉽독_4,벨지언 쉽독_5,벨지언 쉽독_6,벨지언 쉽독_7,벨지언 쉽독_8,벨지언 쉽독_9,벨지언 쉽독_10,벨지언 쉽독_11,벨지언 쉽독_12,벨지언 쉽독_13,벨지언 쉽독_14,벨지언 쉽독_15,벨지언 쉽독_16,벨지언 쉽독_17,벨지언 쉽독_18,벨지언 쉽독_19,벨지언 쉽독_20
Apparel,99.81945037841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.10469055175781,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,99.81945037841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.10469055175781,0.0,0.0,0.0,0.0,0.0,0.0
Pants,99.4902572631836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,96.00254821777344,88.0548324584961,0.0,0.0,0.0,0.0,0.0,86.6554946899414,0.0,0.0,0.0,0.0,0.0,0.0,99.2859878540039,99.61832427978516,0.0,0.0,0.0,0.0
Person,96.00254821777344,88.0548324584961,0.0,0.0,0.0,0.0,0.0,86.6554946899414,0.0,0.0,0.0,0.0,0.0,0.0,99.2859878540039,99.61832427978516,0.0,0.0,0.0,0.0
Animal,95.13275146484375,99.48757934570312,95.1599349975586,96.67977905273438,98.84502410888672,88.17716979980469,98.93895721435547,95.94002532958984,92.74810791015625,70.31327819824219,93.74172973632812,99.72843933105469,89.34196472167969,0.0,94.080322265625,73.48346710205078,98.15815734863281,99.06148529052734,92.81043243408203,89.93268585205078
Mammal,93.23704528808594,99.48757934570312,73.3628158569336,96.67977905273438,98.84502410888672,88.17716979980469,98.93895721435547,95.94002532958984,91.72073364257812,66.86308288574219,93.74172973632812,99.72843933105469,88.93217468261719,0.0,94.080322265625,70.52716827392578,98.15815734863281,99.06148529052734,92.81043243408203,87.70796203613281
Sitting,85.69559478759766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costume,82.19256591796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,81.3539810180664,99.48757934570312,0.0,0.0,93.57289123535156,83.01092529296875,98.93895721435547,95.94002532958984,90.83698272705078,58.26604080200195,93.74172973632812,99.72843933105469,88.93217468261719,0.0,94.080322265625,0.0,86.14261627197266,99.06148529052734,87.36748504638672,81.64392852783203
Outdoors,80.31436157226562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.86334991455078,0.0,0.0,0.0,0.0,0.0,95.77008819580078,0.0,0.0,0.0,0.0
Jeans,76.41539001464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denim,76.41539001464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pet,76.39956665039062,99.48757934570312,0.0,55.37315368652344,93.00638580322266,80.7446517944336,98.93895721435547,86.03295135498047,89.42974853515625,57.376163482666016,93.30101013183594,99.72843933105469,89.34196472167969,0.0,93.57389068603516,0.0,0.0,99.06148529052734,83.2613296508789,79.97062683105469
Helmet,71.30406188964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hat,68.89178466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coat,68.4493637084961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,66.4020004272461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3349609375,0.0,0.0,0.0,0.0,0.0,95.2096176147461,0.0,0.0,0.0,0.0
Wolf,65.83432006835938,0.0,0.0,96.67977905273438,0.0,81.6951675415039,0.0,77.76547241210938,79.19364929199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.15815734863281,0.0,92.81043243408203,76.17280578613281
Cap,64.13240814208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,62.71775817871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,60.83444595336914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,56.30231857299805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,99.48757934570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.37794494628906,0.0,0.0,99.06148529052734,0.0,79.97062683105469
Dog,0.0,99.48757934570312,0.0,0.0,92.82991027832031,79.7011489868164,98.93895721435547,82.8060073852539,88.34986877441406,57.376163482666016,93.30101013183594,99.72843933105469,88.3193130493164,0.0,87.37794494628906,0.0,0.0,99.06148529052734,83.01884460449219,79.97062683105469
Afghan Hound,0.0,85.70177459716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3380126953125,0.0,0.0,79.89347839355469,0.0,56.7440185546875
Collie,0.0,76.79222106933594,0.0,0.0,91.19338989257812,56.108821868896484,0.0,0.0,61.59619140625,0.0,77.8057861328125,0.0,0.0,0.0,56.06106185913086,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,82.4604263305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,0.0,68.20342254638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.39590835571289,0.0
Art,0.0,0.0,68.20342254638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.39590835571289,0.0
Coyote,0.0,0.0,0.0,69.2299575805664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.61129379272461,0.0,0.0,0.0
Rodent,0.0,0.0,0.0,62.21477508544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rat,0.0,0.0,0.0,62.21477508544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,98.84502410888672,0.0,73.01878356933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,0.0,88.09567260742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,88.09567260742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
