,보더 테리어_1,보더 테리어_2,보더 테리어_3,보더 테리어_4,보더 테리어_5,보더 테리어_6,보더 테리어_7,보더 테리어_8,보더 테리어_9,보더 테리어_10,보더 테리어_11,보더 테리어_12,보더 테리어_13,보더 테리어_14,보더 테리어_15,보더 테리어_16,보더 테리어_17,보더 테리어_18,보더 테리어_19,보더 테리어_20
Strap,98.61117553710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,94.14278411865234,99.26559448242188,91.77709197998047,95.60991668701172,97.16949462890625,95.93920135498047,91.03837585449219,92.23175811767578,82.0512466430664,95.76469421386719,94.7031021118164,90.05215454101562,81.38632202148438,99.32706451416016,90.00439453125,90.64352416992188,97.46223449707031,0.0,0.0,93.02001953125
Mammal,94.14278411865234,99.26559448242188,93.00201416015625,95.60991668701172,97.16949462890625,95.93920135498047,92.51493835449219,93.76793670654297,83.15898895263672,95.76469421386719,99.06395721435547,91.09723663330078,92.76116943359375,99.32706451416016,90.97151184082031,91.5911636352539,97.46223449707031,87.99502563476562,74.2698745727539,93.31005096435547
Pet,94.14278411865234,99.26559448242188,92.91858673095703,95.60991668701172,97.16949462890625,95.93920135498047,91.03837585449219,92.57730102539062,83.50404357910156,95.76469421386719,94.7031021118164,90.05215454101562,92.80085754394531,99.32706451416016,91.54116821289062,92.79690551757812,97.46223449707031,74.99349975585938,72.70539093017578,93.02001953125
Animal,94.14278411865234,99.26559448242188,93.00201416015625,95.60991668701172,97.16949462890625,95.93920135498047,92.51493835449219,93.76793670654297,83.50404357910156,95.76469421386719,99.06395721435547,91.09723663330078,92.80085754394531,99.32706451416016,91.54116821289062,92.79690551757812,97.46223449707031,87.99502563476562,74.3191146850586,93.31005096435547
Canine,94.14278411865234,99.26559448242188,93.00201416015625,95.60991668701172,97.16949462890625,95.93920135498047,92.51493835449219,93.76793670654297,83.15898895263672,95.76469421386719,95.30274200439453,91.09723663330078,92.76116943359375,99.32706451416016,90.97151184082031,91.5911636352539,97.46223449707031,80.7829818725586,73.16552734375,93.31005096435547
Leash,67.03268432617188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,64.48621368408203,99.26559448242188,89.53227233886719,95.60991668701172,87.11105346679688,95.93920135498047,0.0,87.90762329101562,0.0,95.76469421386719,89.12796783447266,0.0,81.38632202148438,0.0,86.580078125,0.0,97.46223449707031,0.0,0.0,93.02001953125
Airedale,0.0,87.1358871459961,0.0,58.442344665527344,0.0,76.4025650024414,0.0,0.0,0.0,87.47421264648438,0.0,0.0,57.37932205200195,0.0,0.0,0.0,85.06735229492188,0.0,0.0,0.0
Puppy,0.0,63.482948303222656,0.0,0.0,97.16949462890625,0.0,0.0,0.0,82.0512466430664,0.0,0.0,70.76885223388672,0.0,99.32706451416016,56.38223648071289,0.0,0.0,0.0,0.0,72.16748809814453
Affenpinscher,0.0,0.0,61.57352066040039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.049888610839844,79.28705596923828,0.0,0.0,0.0,0.0
Pug,0.0,0.0,0.0,0.0,0.0,0.0,69.60581970214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,59.61309814453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,0.0,0.0,0.0,0.0,58.866424560546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.630619049072266,0.0,0.0,99.06395721435547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.77878952026367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.77878952026367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.66297912597656,0.0,0.0,0.0,64.84379577636719,0.0,0.0,0.0,0.0,0.0,75.41685485839844,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.05133056640625,0.0,0.0,90.05215454101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.464317321777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.54689025878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.54689025878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.82107543945312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.963844299316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.13936614990234,86.12727355957031,0.0
Drawing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.13936614990234,86.12727355957031,0.0
Sketch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.99385833740234,75.62448120117188,0.0
