,보더콜리_1,보더콜리_2,보더콜리_3,보더콜리_4,보더콜리_5,보더콜리_6,보더콜리_7,보더콜리_8,보더콜리_9,보더콜리_10,보더콜리_11,보더콜리_12,보더콜리_13,보더콜리_14,보더콜리_15,보더콜리_16,보더콜리_17,보더콜리_18,보더콜리_19,보더콜리_20
Mammal,94.9211196899414,92.7935791015625,93.24488067626953,87.75349426269531,86.4974365234375,94.10319519042969,83.07080841064453,93.41340637207031,95.90425872802734,90.65160369873047,98.35160827636719,95.11455535888672,94.67509460449219,95.44036865234375,94.08816528320312,91.68987274169922,93.73602294921875,94.98355865478516,93.14500427246094,92.60063171386719
Animal,94.9211196899414,92.7935791015625,93.24488067626953,94.06881713867188,86.4974365234375,94.89808654785156,94.7140121459961,93.41340637207031,95.90425872802734,93.45005798339844,98.35160827636719,95.11455535888672,94.67509460449219,95.44036865234375,94.24403381347656,92.58793640136719,93.73602294921875,94.98355865478516,95.99589538574219,94.70245361328125
Canine,94.9211196899414,92.7935791015625,93.24488067626953,0.0,86.4974365234375,92.86361694335938,76.9006576538086,93.41340637207031,95.90425872802734,90.48216247558594,98.35160827636719,95.11455535888672,94.67509460449219,95.44036865234375,93.22270202636719,88.33003234863281,93.73602294921875,94.98355865478516,92.5050277709961,92.60063171386719
Pet,94.33773040771484,92.71080017089844,89.04634857177734,0.0,78.13793182373047,94.26457214355469,83.94068145751953,91.79061126708984,95.90425872802734,91.00797271728516,98.35160827636719,94.34302520751953,92.29688262939453,94.16856384277344,90.11666107177734,88.24211120605469,91.74008178710938,94.44601440429688,95.99589538574219,93.19580841064453
Dog,93.66641998291016,86.89838409423828,89.04634857177734,0.0,78.13793182373047,92.17213439941406,76.9006576538086,91.4905014038086,95.90425872802734,90.19264221191406,98.35160827636719,94.3322982788086,92.29688262939453,94.16856384277344,66.27510070800781,86.5115966796875,91.74008178710938,94.3432388305664,92.07744598388672,75.75912475585938
Eskimo Dog,87.5295181274414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.27510070800781,0.0,0.0,0.0,66.3759994506836,0.0
Husky,82.55126190185547,0.0,0.0,0.0,0.0,0.0,0.0,57.319801330566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.25315856933594,0.0,83.5834732055664,67.3057861328125
Puppy,0.0,86.89838409423828,88.78397369384766,0.0,77.72672271728516,0.0,0.0,0.0,0.0,0.0,98.35160827636719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.97821807861328,75.75912475585938
Human,0.0,78.23821258544922,0.0,0.0,0.0,0.0,0.0,0.0,90.57880401611328,0.0,0.0,0.0,0.0,0.0,61.05006408691406,0.0,0.0,55.789554595947266,0.0,0.0
Person,0.0,78.23821258544922,0.0,0.0,0.0,0.0,0.0,0.0,90.57880401611328,0.0,0.0,0.0,0.0,0.0,61.05006408691406,0.0,0.0,55.789554595947266,0.0,0.0
Collie,0.0,67.67070007324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.19264221191406,0.0,0.0,84.10980224609375,87.07803344726562,0.0,81.72684478759766,69.60832977294922,88.17466735839844,0.0,0.0
Saint Bernard,0.0,55.1801643371582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
