,보르도 마스티프_1,보르도 마스티프_2,보르도 마스티프_3,보르도 마스티프_4,보르도 마스티프_5,보르도 마스티프_6,보르도 마스티프_7,보르도 마스티프_8,보르도 마스티프_9,보르도 마스티프_10,보르도 마스티프_11,보르도 마스티프_12,보르도 마스티프_13,보르도 마스티프_14,보르도 마스티프_15,보르도 마스티프_16,보르도 마스티프_17,보르도 마스티프_18,보르도 마스티프_19,보르도 마스티프_20
Dog,96.6147232055664,91.52983093261719,91.27281188964844,93.76252746582031,88.14358520507812,91.31346130371094,96.43565368652344,58.33366012573242,0.0,75.2563247680664,86.80364227294922,91.23255920410156,0.0,95.13465881347656,89.70858764648438,92.56342315673828,88.68805694580078,93.41169738769531,92.71011352539062,93.71414184570312
Bulldog,96.6147232055664,91.52983093261719,91.27281188964844,93.76252746582031,58.99750518798828,91.31346130371094,96.43565368652344,58.33366012573242,0.0,0.0,80.7116470336914,83.74667358398438,0.0,95.13465881347656,89.09004974365234,92.56342315673828,82.16911315917969,87.26109313964844,92.71011352539062,93.71414184570312
Mammal,96.6147232055664,91.52983093261719,91.27281188964844,93.76252746582031,89.2563247680664,91.31346130371094,97.77835083007812,83.285888671875,75.45494079589844,90.30087280273438,87.39405822753906,92.33119201660156,0.0,95.13465881347656,90.72064971923828,92.56342315673828,93.4294204711914,93.41169738769531,92.71011352539062,93.85552215576172
Pet,96.6147232055664,91.52983093261719,91.27281188964844,93.76252746582031,89.69584655761719,91.31346130371094,96.43565368652344,80.07949829101562,76.52468872070312,79.84120178222656,86.80364227294922,91.23255920410156,0.0,95.13465881347656,89.70858764648438,92.56342315673828,92.07078552246094,93.41169738769531,92.71011352539062,94.2082290649414
Animal,96.6147232055664,91.52983093261719,91.27281188964844,93.76252746582031,89.69584655761719,91.31346130371094,97.77835083007812,93.3591537475586,76.52468872070312,91.55551147460938,87.39405822753906,92.33119201660156,0.0,95.13465881347656,90.72064971923828,92.56342315673828,93.98282623291016,93.41169738769531,92.71011352539062,94.2082290649414
Canine,96.6147232055664,91.52983093261719,91.27281188964844,93.76252746582031,89.2563247680664,91.31346130371094,96.43565368652344,83.285888671875,75.45494079589844,79.14247131347656,87.39405822753906,92.33119201660156,0.0,95.13465881347656,90.72064971923828,92.56342315673828,92.30403137207031,93.41169738769531,92.71011352539062,93.85552215576172
Pitbull,88.52607727050781,0.0,66.19963073730469,85.78052520751953,0.0,58.65492248535156,68.77855682373047,0.0,0.0,0.0,55.4945068359375,0.0,0.0,0.0,0.0,81.12108612060547,0.0,63.616207122802734,71.74076843261719,59.04878234863281
Boxer,78.95196533203125,90.31958770751953,72.35813903808594,60.0355224609375,0.0,88.92385864257812,87.80965423583984,0.0,0.0,0.0,0.0,0.0,0.0,95.13465881347656,56.62959289550781,57.354286193847656,0.0,56.327144622802734,57.179866790771484,89.7856674194336
Sports,0.0,99.41590881347656,0.0,0.0,0.0,0.0,0.0,70.77162170410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,0.0,99.41590881347656,0.0,0.0,0.0,0.0,0.0,70.77162170410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,99.41590881347656,0.0,0.0,0.0,0.0,0.0,70.77162170410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,99.41590881347656,0.0,0.0,0.0,0.0,0.0,70.77162170410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,0.0,99.41590881347656,0.0,0.0,0.0,0.0,0.0,70.77162170410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,99.41590881347656,0.0,0.0,0.0,0.0,0.0,70.77162170410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football,0.0,99.41590881347656,0.0,0.0,0.0,0.0,0.0,70.77162170410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball,0.0,99.41590881347656,0.0,0.0,0.0,0.0,0.0,70.77162170410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tire,0.0,57.9571533203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,99.05574798583984,0.0,0.0,0.0,0.0,97.96529388427734,99.0804672241211,0.0,0.0,0.0,82.7563247680664,0.0,0.0,79.68600463867188,0.0,0.0,0.0,63.16975021362305
Human,0.0,0.0,99.05574798583984,0.0,0.0,0.0,0.0,97.96529388427734,99.0804672241211,0.0,0.0,0.0,82.7563247680664,0.0,0.0,79.68600463867188,0.0,0.0,0.0,63.16975021362305
