,보비에 드 플랜더스_1,보비에 드 플랜더스_2,보비에 드 플랜더스_3,보비에 드 플랜더스_4,보비에 드 플랜더스_5,보비에 드 플랜더스_6,보비에 드 플랜더스_7,보비에 드 플랜더스_8,보비에 드 플랜더스_9,보비에 드 플랜더스_10,보비에 드 플랜더스_11,보비에 드 플랜더스_12,보비에 드 플랜더스_13,보비에 드 플랜더스_14,보비에 드 플랜더스_15,보비에 드 플랜더스_16,보비에 드 플랜더스_17,보비에 드 플랜더스_18,보비에 드 플랜더스_19,보비에 드 플랜더스_20
Golden Retriever,90.73381042480469,0.0,0.0,0.0,91.55359649658203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.47472381591797,0.0,0.0
Mammal,90.73381042480469,0.0,63.03478240966797,95.06536865234375,91.55359649658203,68.99622344970703,80.93965911865234,96.69893646240234,0.0,0.0,91.90128326416016,0.0,88.39522552490234,0.0,0.0,0.0,0.0,89.11058807373047,0.0,0.0
Dog,90.73381042480469,0.0,0.0,93.201416015625,91.55359649658203,0.0,77.8860092163086,96.69893646240234,0.0,0.0,86.68121337890625,0.0,85.2801284790039,0.0,0.0,0.0,0.0,89.11058807373047,0.0,0.0
Canine,90.73381042480469,0.0,0.0,95.06536865234375,91.55359649658203,0.0,80.08821868896484,96.69893646240234,0.0,0.0,91.90128326416016,0.0,88.39522552490234,0.0,0.0,0.0,0.0,89.11058807373047,0.0,0.0
Pet,90.73381042480469,0.0,0.0,93.201416015625,91.55359649658203,65.52702331542969,81.42813110351562,96.69893646240234,0.0,0.0,90.86653137207031,0.0,85.2801284790039,0.0,0.0,0.0,0.0,89.11058807373047,0.0,0.0
Animal,90.73381042480469,98.70721435546875,65.96144104003906,95.06536865234375,91.55359649658203,70.19046783447266,81.42813110351562,96.69893646240234,0.0,0.0,91.90128326416016,0.0,88.39522552490234,76.14836120605469,0.0,0.0,0.0,89.11058807373047,0.0,0.0
Person,80.33018493652344,73.06957244873047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.08314514160156,0.0,0.0,0.0,96.25018310546875,0.0,0.0,0.0,95.19792938232422,0.0
Human,80.33018493652344,73.06957244873047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.08314514160156,0.0,0.0,0.0,96.25018310546875,0.0,0.0,0.0,95.19792938232422,0.0
Indoors,56.5525016784668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1624984741211
Doctor,55.75374984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dinosaur,0.0,98.70721435546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reptile,0.0,98.70721435546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T-Rex,0.0,98.69849395751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zoo,0.0,0.0,65.96144104003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soil,0.0,0.0,62.382164001464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,91.87333679199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,75.9420394897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,84.34384155273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.01195526123047,0.0,0.0,0.0,0.0,94.76342010498047,0.0,0.0
Poster,0.0,0.0,0.0,0.0,81.22297668457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.01195526123047,0.0,0.0,0.0,0.0,94.76342010498047,0.0,0.0
Paper,0.0,0.0,0.0,0.0,78.67460632324219,0.0,88.99120330810547,77.09524536132812,0.0,0.0,0.0,0.0,92.01195526123047,0.0,0.0,0.0,0.0,92.0579833984375,0.0,0.0
Text,0.0,0.0,0.0,0.0,76.52544403076172,0.0,93.35487365722656,93.28990173339844,0.0,64.53888702392578,0.0,58.36589431762695,0.0,0.0,0.0,88.73309326171875,82.83615112304688,65.1139907836914,0.0,98.53446197509766
Flyer,0.0,0.0,0.0,0.0,69.91932678222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.01195526123047,0.0,0.0,0.0,0.0,92.0579833984375,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,69.91932678222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.01195526123047,0.0,0.0,0.0,0.0,92.0579833984375,0.0,0.0
Id Cards,0.0,0.0,0.0,0.0,66.3632583618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Document,0.0,0.0,0.0,0.0,66.3632583618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passport,0.0,0.0,0.0,0.0,66.3632583618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,57.33734130859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Envelope,0.0,0.0,0.0,0.0,56.006187438964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,0.0,66.79291534423828,85.57085418701172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Triangle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.45850372314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Symbol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3083267211914,72.1045913696289,0.0,0.0,0.0,0.0,0.0,0.0,61.18109893798828,0.0,0.0,0.0
Arrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.72079467773438,56.44272994995117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.49744415283203,0.0,0.0,0.0,0.0,0.0,0.0,65.1240005493164,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.531978607177734,97.13758850097656,0.0,0.0,0.0,0.0,74.97679901123047,0.0,0.0,0.0,0.0
Minecraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.41248321533203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.13758850097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.68121337890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.79595184326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.809627532958984,0.0,0.0,0.0,55.69838333129883,0.0,0.0,0.0,79.73922729492188,0.0
Bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.87722778320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.67350769042969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lotion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.15805053710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmetics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.15595245361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.36589431762695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.82432556152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.82432556152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.91349029541016,0.0,0.0,0.0,0.0,0.0,0.0
Dove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.14836120605469,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.14836120605469,0.0,0.0,0.0,0.0,0.0,0.0
Pigeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.14836120605469,0.0,0.0,0.0,0.0,0.0,0.0
Tile Roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.45565032958984,0.0,0.0,0.0,0.0,0.0,0.0
Book,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1642074584961,0.0,0.0,0.0,0.0,0.0
Comics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1642074584961,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.14924621582031,0.0,0.0,0.0,90.63505554199219,0.0
Meal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.75956726074219,0.0,0.0,0.0,0.0
Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.75956726074219,0.0,0.0,0.0,0.0
Lunch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.76454162597656,0.0,0.0,0.0,0.0
Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.73309326171875,0.0,0.0,0.0,71.92293548583984
Dish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.82975006103516,0.0,0.0,0.0,0.0
Confectionery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.28901672363281,0.0,0.0,0.0,0.0
Sweets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.28901672363281,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.32197570800781,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.32197570800781,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.11058807373047,0.0,0.0
Vacation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.22614288330078,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.16706085205078,0.0
