,보스롱_1,보스롱_2,보스롱_3,보스롱_4,보스롱_5,보스롱_6,보스롱_7,보스롱_8,보스롱_9,보스롱_10,보스롱_11,보스롱_12,보스롱_13,보스롱_14,보스롱_15,보스롱_16,보스롱_17,보스롱_18,보스롱_19,보스롱_20
Mammal,95.68671417236328,92.69986724853516,0.0,99.16554260253906,99.3340835571289,59.27225875854492,94.79904174804688,92.68919372558594,97.98233795166016,91.05704498291016,0.0,0.0,91.67485046386719,0.0,0.0,76.37481689453125,98.88067626953125,99.05830383300781,89.99337768554688,0.0
Dog,95.68671417236328,91.53659057617188,0.0,99.16554260253906,99.3340835571289,0.0,93.6287841796875,92.24585723876953,97.98233795166016,69.10380554199219,0.0,0.0,80.1393814086914,0.0,0.0,76.37481689453125,98.88067626953125,99.05830383300781,72.9043960571289,0.0
Canine,95.68671417236328,92.69986724853516,0.0,99.16554260253906,99.3340835571289,59.27225875854492,94.79904174804688,92.68919372558594,97.98233795166016,91.05704498291016,0.0,0.0,91.67485046386719,0.0,0.0,76.37481689453125,98.88067626953125,99.05830383300781,73.35773468017578,0.0
Pet,95.68671417236328,91.85171508789062,0.0,99.16554260253906,99.3340835571289,60.02357864379883,93.82266998291016,92.83583068847656,97.98233795166016,88.34129333496094,0.0,0.0,91.49076843261719,0.0,0.0,76.37481689453125,98.88067626953125,99.05830383300781,76.9998779296875,0.0
Labrador Retriever,95.68671417236328,67.67198944091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.1393814086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,95.68671417236328,92.69986724853516,0.0,99.16554260253906,99.3340835571289,60.02357864379883,94.79904174804688,92.83583068847656,97.98233795166016,91.05704498291016,0.0,0.0,91.67485046386719,0.0,0.0,76.37481689453125,98.88067626953125,99.05830383300781,90.05136108398438,0.0
Hound,88.30902862548828,0.0,0.0,0.0,0.0,0.0,55.201053619384766,0.0,59.417396545410156,0.0,0.0,0.0,78.95770263671875,0.0,0.0,76.37481689453125,0.0,65.65460968017578,0.0,0.0
Appenzeller,0.0,58.59121322631836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.11436462402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sleeve,0.0,0.0,99.97929382324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98877716064453,99.90636444091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,99.97929382324219,0.0,0.0,0.0,0.0,56.74324035644531,0.0,87.23065948486328,99.98877716064453,99.90636444091797,0.0,99.97064971923828,99.98722839355469,92.76204681396484,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,99.97929382324219,0.0,0.0,0.0,0.0,56.74324035644531,0.0,87.23065948486328,99.98877716064453,99.90636444091797,0.0,99.97064971923828,99.98722839355469,92.76204681396484,0.0,0.0,0.0,0.0
Long Sleeve,0.0,0.0,99.94820404052734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95016479492188,99.64334869384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweatshirt,0.0,0.0,96.11687469482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.80467987060547,78.1469955444336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
