,복서_1,복서_2,복서_3,복서_4,복서_5,복서_6,복서_7,복서_8,복서_9,복서_10,복서_11,복서_12,복서_13,복서_14,복서_15,복서_16,복서_17,복서_18,복서_19,복서_20
Grass,93.36061096191406,0.0,69.21147155761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.96920394897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,93.36061096191406,0.0,69.21147155761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.96920394897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,92.73428344726562,96.21675109863281,97.19768524169922,99.00162506103516,99.47676849365234,98.57500457763672,99.67546844482422,94.50963592529297,99.39471435546875,93.534423828125,99.20574188232422,99.2844009399414,94.00912475585938,99.04532623291016,96.15607452392578,92.70487213134766,99.7308578491211,99.5423812866211,99.62947082519531,93.5119857788086
Mammal,91.64677429199219,96.21675109863281,97.19768524169922,99.00162506103516,99.47676849365234,98.57500457763672,99.67546844482422,91.41435241699219,99.39471435546875,92.39324951171875,99.20574188232422,99.2844009399414,93.72342681884766,99.04532623291016,96.15607452392578,92.70487213134766,99.7308578491211,99.5423812866211,99.62947082519531,93.5119857788086
Canine,91.23141479492188,96.21675109863281,97.19768524169922,99.00162506103516,99.47676849365234,98.57500457763672,99.67546844482422,91.41435241699219,99.39471435546875,92.18451690673828,99.20574188232422,99.2844009399414,93.72342681884766,99.04532623291016,96.15607452392578,92.70487213134766,99.7308578491211,99.5423812866211,99.62947082519531,93.5119857788086
Pet,88.97822570800781,96.21675109863281,97.19768524169922,99.00162506103516,99.47676849365234,98.57500457763672,99.67546844482422,87.57897186279297,99.39471435546875,89.71250915527344,99.20574188232422,99.2844009399414,94.00912475585938,99.04532623291016,96.15607452392578,89.92535400390625,99.7308578491211,99.5423812866211,99.62947082519531,93.5119857788086
Hound,81.24725341796875,0.0,0.0,0.0,0.0,0.0,0.0,73.39082336425781,0.0,55.87823486328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,81.24725341796875,96.21675109863281,97.19768524169922,99.00162506103516,99.47676849365234,98.57500457763672,99.67546844482422,73.39082336425781,99.39471435546875,89.71250915527344,99.20574188232422,99.2844009399414,93.72342681884766,99.04532623291016,96.15607452392578,89.92535400390625,99.7308578491211,99.5423812866211,99.62947082519531,93.5119857788086
Person,75.47681427001953,0.0,0.0,0.0,0.0,0.0,0.0,99.66033935546875,0.0,0.0,81.53274536132812,0.0,0.0,0.0,87.46299743652344,0.0,71.88619232177734,80.38529205322266,0.0,0.0
Human,75.47681427001953,0.0,0.0,0.0,0.0,0.0,0.0,99.66033935546875,0.0,0.0,81.53274536132812,0.0,0.0,0.0,87.46299743652344,0.0,71.88619232177734,80.38529205322266,0.0,0.0
