,볼로네즈_1,볼로네즈_2,볼로네즈_3,볼로네즈_4,볼로네즈_5,볼로네즈_6,볼로네즈_7,볼로네즈_8,볼로네즈_9,볼로네즈_10,볼로네즈_11,볼로네즈_12,볼로네즈_13,볼로네즈_14,볼로네즈_15,볼로네즈_16,볼로네즈_17,볼로네즈_18,볼로네즈_19,볼로네즈_20
Food,95.6812973022461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.96515655517578,0.0,0.0,0.0,96.5536117553711
Pasta,95.6812973022461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.2057876586914,0.0,0.0,0.0,0.0
Spaghetti,95.6812973022461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.489013671875,0.0,0.0,0.0,0.0
Hot Dog,83.57181549072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,96.25794982910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,88.9477310180664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,0.0,76.0997543334961,98.73828887939453,89.73577880859375,92.65808868408203,94.2564926147461,98.778076171875,63.394527435302734,96.32661437988281,93.19769287109375,88.74462127685547,92.4593276977539,89.77320098876953,91.34375762939453,94.19994354248047,0.0,97.39784240722656,94.6511001586914,84.48481750488281,0.0
Canine,0.0,75.75970458984375,98.73828887939453,89.21061706542969,92.2757339477539,94.2564926147461,98.778076171875,59.12601089477539,96.32661437988281,93.19769287109375,88.74462127685547,92.4593276977539,89.16561126708984,88.67062377929688,94.06452178955078,0.0,97.39784240722656,94.6511001586914,82.02175903320312,0.0
Mammal,0.0,75.75970458984375,98.73828887939453,89.21061706542969,92.2757339477539,94.2564926147461,98.778076171875,63.394527435302734,96.32661437988281,93.19769287109375,88.74462127685547,92.4593276977539,89.16561126708984,88.67062377929688,94.06452178955078,0.0,97.39784240722656,94.6511001586914,84.48481750488281,0.0
Pet,0.0,73.49170684814453,98.73828887939453,89.73577880859375,92.65808868408203,94.2564926147461,98.778076171875,62.50117111206055,95.84396362304688,93.19769287109375,87.95773315429688,91.09402465820312,89.77320098876953,91.34375762939453,94.19994354248047,0.0,97.39784240722656,94.2549057006836,82.13308715820312,0.0
