,불 마스티프_1,불 마스티프_2,불 마스티프_3,불 마스티프_4,불 마스티프_5,불 마스티프_6,불 마스티프_7,불 마스티프_8,불 마스티프_9,불 마스티프_10,불 마스티프_11,불 마스티프_12,불 마스티프_13,불 마스티프_14,불 마스티프_15,불 마스티프_16,불 마스티프_17,불 마스티프_18,불 마스티프_19,불 마스티프_20
Human,99.52516174316406,99.66033935546875,0.0,0.0,0.0,0.0,66.34627532958984,0.0,0.0,0.0,0.0,0.0,0.0,62.13409423828125,0.0,0.0,0.0,0.0,0.0,68.05895233154297
Person,99.52516174316406,99.66033935546875,0.0,0.0,0.0,0.0,66.34627532958984,0.0,0.0,0.0,0.0,0.0,0.0,62.13409423828125,0.0,0.0,0.0,0.0,0.0,68.05895233154297
Horse,92.33163452148438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,92.33163452148438,94.5096435546875,96.21671295166016,94.89387512207031,97.45873260498047,99.16023254394531,95.14594268798828,98.5491714477539,91.52983093261719,99.47808837890625,95.46267700195312,94.37311553955078,93.68865203857422,95.20046997070312,99.5273666381836,98.2812271118164,99.50911712646484,92.79915618896484,97.14942932128906,93.56278991699219
Mammal,92.33163452148438,91.41436004638672,96.21671295166016,94.89387512207031,97.45873260498047,99.16023254394531,95.14594268798828,98.5491714477539,91.52983093261719,99.47808837890625,95.46267700195312,93.4015884399414,91.8042984008789,95.20046997070312,99.5273666381836,98.2812271118164,99.50911712646484,92.79915618896484,97.14942932128906,93.56278991699219
Colt Horse,56.717674255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.45379638671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.45379638671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.45379638671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,0.0,91.41436004638672,96.21671295166016,94.89387512207031,97.45873260498047,99.16023254394531,95.14594268798828,98.5491714477539,91.52983093261719,99.47808837890625,91.39913940429688,90.74041748046875,84.0595703125,95.20046997070312,99.5273666381836,98.2812271118164,99.50911712646484,92.79915618896484,97.14942932128906,93.56278991699219
Pet,0.0,87.57897186279297,96.21671295166016,94.89387512207031,97.45873260498047,99.16023254394531,95.14594268798828,98.5491714477539,91.52983093261719,99.47808837890625,89.69514465332031,92.59403991699219,0.0,95.20046997070312,99.5273666381836,98.2812271118164,99.50911712646484,91.75814056396484,97.14942932128906,92.34168243408203
Dog,0.0,73.39082336425781,96.21671295166016,94.89387512207031,97.45873260498047,99.16023254394531,95.14594268798828,98.5491714477539,91.52983093261719,99.47808837890625,88.99041748046875,90.0096664428711,0.0,95.20046997070312,99.5273666381836,98.2812271118164,99.50911712646484,91.75814056396484,97.14942932128906,85.57368469238281
Hound,0.0,73.39082336425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.1380844116211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,62.889530181884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,55.30937957763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.53157043457031,0.0
Bulldog,0.0,0.0,96.21671295166016,94.89387512207031,97.45873260498047,91.29723358154297,95.14594268798828,96.43220520019531,91.52983093261719,98.21907043457031,0.0,0.0,0.0,95.20046997070312,99.5273666381836,98.2812271118164,99.50911712646484,68.24140167236328,97.14942932128906,74.35661315917969
Pitbull,0.0,0.0,93.91865539550781,0.0,0.0,60.971641540527344,74.08891296386719,75.18973541259766,0.0,67.92256164550781,0.0,0.0,0.0,0.0,0.0,0.0,61.477561950683594,0.0,0.0,0.0
Boxer,0.0,0.0,63.367637634277344,94.89387512207031,97.45873260498047,90.97871398925781,91.85812377929688,95.59796905517578,90.31958770751953,98.21907043457031,0.0,0.0,0.0,95.20046997070312,99.5273666381836,98.2812271118164,99.50911712646484,62.2645263671875,97.14942932128906,0.0
Vase,0.0,0.0,0.0,0.0,0.0,79.74127960205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jar,0.0,0.0,0.0,0.0,0.0,79.74127960205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pottery,0.0,0.0,0.0,0.0,0.0,79.74127960205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potted Plant,0.0,0.0,0.0,0.0,0.0,79.74127960205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
