,불 테리어_1,불 테리어_2,불 테리어_3,불 테리어_4,불 테리어_5,불 테리어_6,불 테리어_7,불 테리어_8,불 테리어_9,불 테리어_10,불 테리어_11,불 테리어_12,불 테리어_13,불 테리어_14,불 테리어_15,불 테리어_16,불 테리어_17,불 테리어_18,불 테리어_19,불 테리어_20
Dog,97.19768524169922,0.0,99.32176971435547,91.37378692626953,98.41605377197266,98.03596496582031,86.83106994628906,97.8343505859375,93.30445098876953,98.37687683105469,85.42098236083984,85.78168487548828,91.45197296142578,85.2009048461914,75.83857727050781,75.0453109741211,97.01078033447266,81.39928436279297,89.72972106933594,0.0
Canine,97.19768524169922,0.0,99.32176971435547,91.37378692626953,98.41605377197266,98.03596496582031,86.83106994628906,97.8343505859375,93.30445098876953,98.37687683105469,87.36012268066406,85.78168487548828,91.98538208007812,87.27832794189453,92.96143341064453,75.55431365966797,97.01078033447266,82.12895202636719,92.46417999267578,0.0
Pet,97.19768524169922,0.0,99.32176971435547,91.37378692626953,98.41605377197266,98.03596496582031,86.83106994628906,97.8343505859375,93.30445098876953,98.37687683105469,86.37828826904297,88.21261596679688,91.51205444335938,85.34632110595703,91.7709732055664,78.4891128540039,97.01078033447266,85.1576919555664,90.21916198730469,0.0
Mammal,97.19768524169922,0.0,99.32176971435547,91.37378692626953,98.41605377197266,98.03596496582031,86.83106994628906,97.8343505859375,93.30445098876953,98.37687683105469,87.36012268066406,91.6482925415039,91.98538208007812,87.27832794189453,92.96143341064453,79.00151824951172,97.01078033447266,82.12895202636719,92.46417999267578,69.06552124023438
Animal,97.19768524169922,0.0,99.32176971435547,91.37378692626953,98.41605377197266,98.03596496582031,86.83106994628906,97.8343505859375,93.30445098876953,98.37687683105469,87.36012268066406,91.6482925415039,91.98538208007812,87.27832794189453,92.96143341064453,79.00151824951172,97.01078033447266,85.1576919555664,92.46417999267578,69.89149475097656
Bulldog,97.19768524169922,0.0,0.0,0.0,0.0,0.0,59.50602722167969,59.64524841308594,57.16923141479492,0.0,0.0,74.65457916259766,0.0,64.81373596191406,0.0,0.0,97.01078033447266,0.0,89.72972106933594,0.0
Boston Bull,96.35224914550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.65457916259766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Bulldog,78.9903564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,69.21147155761719,0.0,0.0,76.65750885009766,99.9643783569336,96.3338851928711,0.0,92.69129180908203,0.0,0.0,0.0,0.0,98.47100067138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,69.21147155761719,0.0,0.0,76.65750885009766,99.9643783569336,96.3338851928711,0.0,92.69129180908203,0.0,0.0,0.0,0.0,98.47100067138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Label,0.0,99.88501739501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
