,불개_1,불개_2,불개_3,불개_4,불개_5,불개_6,불개_7,불개_8,불개_9,불개_10,불개_11,불개_12,불개_13,불개_14,불개_15,불개_16,불개_17,불개_18,불개_19,불개_20
Animal,94.05121612548828,92.8118896484375,92.0272216796875,96.61908721923828,91.86213684082031,98.89054870605469,0.0,86.2306900024414,96.58366394042969,97.93095397949219,98.20469665527344,97.48548889160156,96.1186294555664,87.96113586425781,76.37755584716797,96.32129669189453,95.79969024658203,91.49724578857422,99.48635864257812,91.76943969726562
Mammal,93.19149017333984,90.02081298828125,91.21166229248047,96.61908721923828,91.86213684082031,98.89054870605469,0.0,86.2306900024414,96.58366394042969,97.93095397949219,98.20469665527344,97.48548889160156,96.1186294555664,87.96113586425781,73.64361572265625,96.32129669189453,95.79969024658203,91.49724578857422,99.48635864257812,91.76943969726562
Canine,93.19149017333984,90.02081298828125,90.05713653564453,96.61908721923828,91.86213684082031,98.89054870605469,0.0,85.44512176513672,96.58366394042969,97.93095397949219,98.20469665527344,97.02962493896484,96.1186294555664,87.38426208496094,70.65933990478516,93.53543090820312,93.80846405029297,91.49724578857422,99.48635864257812,90.74564361572266
Pet,91.52787780761719,89.3326416015625,90.82003784179688,96.61908721923828,66.2124252319336,98.89054870605469,0.0,83.93779754638672,96.58366394042969,97.93095397949219,98.20469665527344,66.5863265991211,96.1186294555664,85.16883087158203,62.78805160522461,91.78755950927734,90.72786712646484,91.49724578857422,99.48635864257812,83.33705139160156
Dog,90.80262756347656,88.68195343017578,87.53020477294922,96.61908721923828,66.2124252319336,98.89054870605469,0.0,83.93779754638672,96.58366394042969,97.93095397949219,98.20469665527344,65.49164581298828,96.1186294555664,85.16883087158203,0.0,91.74618530273438,90.38105010986328,91.49724578857422,99.48635864257812,82.73383331298828
Pig,76.42085266113281,0.0,0.0,0.0,0.0,0.0,0.0,55.35995101928711,74.60246276855469,97.14836883544922,0.0,0.0,0.0,0.0,0.0,96.32129669189453,95.79969024658203,0.0,0.0,0.0
Puppy,74.83857727050781,0.0,71.68426513671875,0.0,0.0,0.0,0.0,0.0,96.58366394042969,64.54452514648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,61.3097038269043,0.0,87.53020477294922,0.0,0.0,0.0,0.0,83.93779754638672,0.0,0.0,98.20469665527344,0.0,0.0,85.16883087158203,0.0,59.59764862060547,0.0,91.49724578857422,56.6072883605957,58.441444396972656
Eskimo Dog,55.85179138183594,0.0,60.61588668823242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,69.64202880859375,0.0,0.0,82.53103637695312,0.0,0.0,84.22699737548828,0.0,0.0,73.29287719726562,97.02962493896484,0.0,76.99651336669922,0.0,0.0,0.0,0.0,0.0,89.79610443115234
Wolf,0.0,69.64202880859375,0.0,0.0,82.53103637695312,0.0,0.0,86.2306900024414,0.0,0.0,73.29287719726562,97.48548889160156,0.0,76.99651336669922,0.0,0.0,0.0,0.0,0.0,91.76943969726562
Hound,0.0,56.93788528442383,0.0,0.0,0.0,0.0,0.0,56.918094635009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,86.80242919921875,0.0,0.0,0.0,86.28716278076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.25318145751953,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,86.80242919921875,0.0,0.0,0.0,86.28716278076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.25318145751953,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,96.00289154052734,0.0,58.177059173583984,0.0,0.0,88.63211059570312,97.93095397949219,0.0,0.0,96.1186294555664,0.0,0.0,0.0,0.0,74.41516876220703,99.48635864257812,0.0
Strap,0.0,0.0,0.0,68.83009338378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.98829650878906,0.0,0.0
Flagstone,0.0,0.0,0.0,62.50248336791992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coyote,0.0,0.0,0.0,0.0,84.51824951171875,0.0,0.0,58.55655288696289,0.0,0.0,0.0,0.0,0.0,68.63046264648438,0.0,0.0,0.0,0.0,0.0,63.39326858520508
Bird,0.0,0.0,0.0,0.0,0.0,83.86589050292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Road,0.0,0.0,0.0,0.0,0.0,83.2948226928711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ground,0.0,0.0,0.0,0.0,0.0,79.12395477294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dirt Road,0.0,0.0,0.0,0.0,0.0,77.7320327758789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gravel,0.0,0.0,0.0,0.0,0.0,77.7320327758789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,74.73870849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,73.37789916992188,69.12594604492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
