,불도그_1,불도그_2,불도그_3,불도그_4,불도그_5,불도그_6,불도그_7,불도그_8,불도그_9,불도그_10,불도그_11,불도그_12,불도그_13,불도그_14,불도그_15,불도그_16,불도그_17,불도그_18,불도그_19,불도그_20
Dog,96.23704528808594,98.82562255859375,97.19767761230469,99.55842590332031,97.4852523803711,98.62437438964844,98.65045166015625,99.13471221923828,98.97476196289062,99.61040496826172,95.8550033569336,96.21675109863281,97.65967559814453,96.87145233154297,95.73592376708984,0.0,86.77352142333984,0.0,68.08441162109375,90.77442932128906
Puppy,96.23704528808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.16318893432617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,96.23704528808594,98.82562255859375,97.19767761230469,99.55842590332031,97.4852523803711,98.62437438964844,98.65045166015625,99.13471221923828,98.97476196289062,99.61040496826172,95.8550033569336,96.21675109863281,97.65967559814453,96.87145233154297,95.73592376708984,0.0,88.60004425048828,0.0,82.5785140991211,90.9719009399414
Pet,96.23704528808594,98.82562255859375,97.19767761230469,99.55842590332031,97.4852523803711,98.62437438964844,98.65045166015625,99.13471221923828,98.97476196289062,99.61040496826172,95.8550033569336,96.21675109863281,97.65967559814453,96.87145233154297,95.73592376708984,0.0,86.77352142333984,0.0,81.92536926269531,90.77442932128906
Animal,96.23704528808594,98.82562255859375,97.19767761230469,99.55842590332031,97.4852523803711,98.62437438964844,98.65045166015625,99.13471221923828,98.97476196289062,99.61040496826172,95.8550033569336,96.21675109863281,97.65967559814453,96.87145233154297,95.73592376708984,0.0,88.60004425048828,0.0,82.7681655883789,90.9719009399414
Canine,96.23704528808594,98.82562255859375,97.19767761230469,99.55842590332031,97.4852523803711,98.62437438964844,98.65045166015625,99.13471221923828,98.97476196289062,99.61040496826172,95.8550033569336,96.21675109863281,97.65967559814453,96.87145233154297,95.73592376708984,0.0,88.60004425048828,0.0,82.5785140991211,90.9719009399414
Floor,94.6942138671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,61.23329162597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,98.82562255859375,0.0,0.0,59.00769805908203,96.32476806640625,84.4217758178711,96.474365234375,0.0,0.0,0.0,63.36769485473633,57.58579635620117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,98.82562255859375,97.19767761230469,99.55842590332031,97.4852523803711,96.32476806640625,98.65045166015625,97.62553405761719,98.97476196289062,99.61040496826172,0.0,96.21675109863281,92.67915344238281,96.87145233154297,95.73592376708984,0.0,86.77352142333984,0.0,68.08441162109375,0.0
Boston Bull,0.0,58.63386154174805,96.35224914550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.1776237487793,0.0,0.0,0.0
Pitbull,0.0,56.38862228393555,0.0,0.0,87.6889877319336,71.18160247802734,93.53887939453125,84.11456298828125,68.1835708618164,0.0,0.0,93.918701171875,69.47999572753906,89.77359008789062,86.7289810180664,0.0,0.0,0.0,0.0,0.0
French Bulldog,0.0,0.0,78.99040985107422,99.55842590332031,72.75981140136719,0.0,57.2729377746582,59.17170715332031,98.97476196289062,99.61040496826172,0.0,0.0,0.0,58.0881233215332,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,69.21150207519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,69.21150207519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helmet,0.0,0.0,0.0,0.0,77.14034271240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,77.14034271240234,0.0,0.0,81.36760711669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,77.14034271240234,0.0,0.0,81.36760711669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hat,0.0,0.0,0.0,0.0,73.67640686035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.30941772460938,0.0,71.40538787841797,63.206295013427734,0.0,0.0,68.3753890991211,86.32860565185547,97.16709899902344,60.128021240234375,99.2396469116211,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.30941772460938,0.0,71.40538787841797,63.206295013427734,0.0,0.0,68.3753890991211,86.32860565185547,97.16709899902344,60.128021240234375,99.2396469116211,0.0,0.0
Shoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.69927978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Footwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.69927978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8550033569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.77442932128906
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.74800491333008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.40284729003906,0.0,0.0,0.0,97.95540618896484,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.40284729003906,0.0,0.0,0.0,97.95540618896484,0.0,0.0
Tie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.40284729003906,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.24575805664062,0.0,0.0,0.0,0.0
Chair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.24575805664062,0.0,0.0,0.0,0.0
