,불리 쿠타_1,불리 쿠타_2,불리 쿠타_3,불리 쿠타_4,불리 쿠타_5,불리 쿠타_6,불리 쿠타_7,불리 쿠타_8,불리 쿠타_9,불리 쿠타_10,불리 쿠타_11,불리 쿠타_12,불리 쿠타_13,불리 쿠타_14,불리 쿠타_15,불리 쿠타_16,불리 쿠타_17,불리 쿠타_18,불리 쿠타_19,불리 쿠타_20
Winter,96.65901947021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,96.65901947021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,96.65901947021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,96.65901947021484,0.0,0.0,0.0,0.0,60.239288330078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,96.65901947021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,93.68865203857422,93.15000915527344,96.30310821533203,99.42420196533203,92.46409606933594,98.29634857177734,92.16989135742188,91.05790710449219,94.8193130493164,90.93671417236328,96.88603973388672,92.7797622680664,94.23892974853516,92.98208618164062,93.71046447753906,98.62307739257812,85.766845703125,94.73673248291016,90.6460189819336,92.58251190185547
Mammal,91.8042984008789,93.15000915527344,96.30310821533203,99.42420196533203,92.46409606933594,98.29634857177734,92.16989135742188,91.05790710449219,94.8193130493164,90.93671417236328,96.88603973388672,92.73358917236328,94.23892974853516,92.98208618164062,93.71046447753906,98.62307739257812,64.71390533447266,94.73673248291016,90.6460189819336,92.58251190185547
Wolf,88.9990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,84.0595703125,82.84555053710938,96.30310821533203,99.42420196533203,92.46409606933594,98.29634857177734,92.16989135742188,91.05790710449219,94.8193130493164,63.408447265625,95.87334442138672,92.73358917236328,94.23892974853516,92.98208618164062,93.71046447753906,98.62307739257812,0.0,94.73673248291016,90.06671142578125,92.58251190185547
Lip,70.42201232910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouth,70.42201232910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teeth,70.42201232910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,58.97781753540039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.88603973388672,0.0,0.0,0.0,0.0,0.0,58.28306579589844,0.0,0.0,0.0
Human,0.0,98.67697143554688,88.6398696899414,0.0,72.96701049804688,0.0,0.0,0.0,65.12261962890625,0.0,79.84111785888672,0.0,0.0,0.0,0.0,0.0,85.60403442382812,0.0,99.65638732910156,88.62228393554688
Person,0.0,98.67697143554688,88.6398696899414,0.0,72.96701049804688,0.0,0.0,0.0,65.12261962890625,0.0,79.84111785888672,0.0,0.0,0.0,0.0,0.0,85.60403442382812,0.0,99.65638732910156,88.62228393554688
Pet,0.0,82.49053192138672,96.30310821533203,99.42420196533203,90.21904754638672,98.29634857177734,91.46171569824219,90.5137710571289,93.17645263671875,63.408447265625,95.14295959472656,92.7797622680664,94.23892974853516,92.17601013183594,92.46905517578125,98.62307739257812,0.0,94.73673248291016,89.66228485107422,92.25395965576172
Horse,0.0,73.38046264648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.02252197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,0.0,66.96382904052734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,58.97163772583008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,0.0,58.97163772583008,96.30310821533203,99.42420196533203,89.72962951660156,98.29634857177734,90.72628021240234,89.99990844726562,69.21017456054688,63.408447265625,62.87457275390625,91.01983642578125,94.23892974853516,91.57284545898438,91.86283111572266,98.62307739257812,0.0,94.73673248291016,79.75311279296875,69.62245178222656
Pitbull,0.0,0.0,96.30310821533203,0.0,79.39253234863281,0.0,0.0,56.32548141479492,0.0,0.0,62.87457275390625,0.0,0.0,0.0,0.0,66.73892974853516,0.0,94.73673248291016,0.0,0.0
Bulldog,0.0,0.0,96.30310821533203,0.0,89.72962951660156,0.0,0.0,61.72039794921875,57.29318618774414,0.0,62.87457275390625,58.788631439208984,0.0,55.554237365722656,0.0,98.62307739257812,0.0,94.73673248291016,77.09779357910156,0.0
Police Dog,0.0,0.0,63.896026611328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.978431701660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,99.42420196533203,0.0,62.07634735107422,77.27594757080078,89.99990844726562,0.0,0.0,0.0,0.0,94.23892974853516,59.798160552978516,87.16781616210938,0.0,0.0,0.0,79.75311279296875,0.0
Boxer,0.0,0.0,0.0,0.0,70.38623809814453,0.0,0.0,58.411434173583984,0.0,0.0,0.0,57.6599235534668,0.0,55.554237365722656,0.0,98.62307739257812,0.0,0.0,77.09779357910156,0.0
Grass,0.0,0.0,0.0,0.0,0.0,83.48242950439453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,83.48242950439453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,60.239288330078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,60.239288330078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.503597259521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalmatian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.182151794433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.548091888427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.19950485229492,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.548091888427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.19950485229492,0.0
Lion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.88603973388672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.7856674194336,0.0,71.9915542602539,0.0,0.0,0.0,0.0,0.0,0.0
Den,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.19583129882812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.02527618408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.766845703125,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.73130416870117,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.73130416870117,0.0,0.0,0.0
Duel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.69203186035156,0.0,0.0,0.0
Pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.62245178222656
