,브뤼셀 그리펀_1,브뤼셀 그리펀_2,브뤼셀 그리펀_3,브뤼셀 그리펀_4,브뤼셀 그리펀_5,브뤼셀 그리펀_6,브뤼셀 그리펀_7,브뤼셀 그리펀_8,브뤼셀 그리펀_9,브뤼셀 그리펀_10,브뤼셀 그리펀_11,브뤼셀 그리펀_12,브뤼셀 그리펀_13,브뤼셀 그리펀_14,브뤼셀 그리펀_15,브뤼셀 그리펀_16,브뤼셀 그리펀_17,브뤼셀 그리펀_18,브뤼셀 그리펀_19,브뤼셀 그리펀_20
Animal,99.1990737915039,95.28643035888672,95.02433776855469,99.23222351074219,99.86530303955078,98.37080383300781,95.1451644897461,83.68257904052734,94.37194061279297,0.0,0.0,88.03851318359375,93.30203247070312,94.57359313964844,95.73039245605469,94.84201049804688,93.50288391113281,94.48767852783203,92.45500946044922,80.37681579589844
Canine,99.1990737915039,95.28643035888672,95.02433776855469,99.23222351074219,98.20366668701172,98.37080383300781,95.1451644897461,0.0,93.87936401367188,0.0,0.0,79.55267333984375,93.30203247070312,93.7803726196289,95.73039245605469,94.84201049804688,93.50288391113281,94.48767852783203,92.45500946044922,75.07549285888672
Pet,99.1990737915039,94.9521713256836,94.62838745117188,99.23222351074219,98.20366668701172,98.37080383300781,93.9081802368164,0.0,94.37194061279297,0.0,0.0,81.3978271484375,92.54926300048828,94.57359313964844,94.85539245605469,94.20258331298828,93.50288391113281,94.15470123291016,91.34687042236328,79.48600006103516
Dog,99.1990737915039,93.76749420166016,94.62551879882812,99.23222351074219,98.20366668701172,98.37080383300781,93.9081802368164,0.0,93.76533508300781,0.0,0.0,0.0,83.21881103515625,92.80355834960938,94.85539245605469,94.1458740234375,93.50288391113281,94.00993347167969,90.17293548583984,66.6407699584961
Mammal,99.1990737915039,95.28643035888672,95.02433776855469,99.23222351074219,99.86530303955078,98.37080383300781,95.1451644897461,0.0,93.87936401367188,0.0,0.0,86.42693328857422,93.30203247070312,93.7803726196289,95.73039245605469,94.84201049804688,93.50288391113281,94.48767852783203,92.45500946044922,76.20679473876953
Grass,86.73758697509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,86.73758697509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,84.49481201171875,83.75267791748047,89.24565887451172,0.0,0.0,80.11471557617188,93.9081802368164,0.0,78.49012756347656,0.0,0.0,0.0,83.21881103515625,0.0,75.15217590332031,55.60981369018555,0.0,72.01634979248047,89.5207748413086,0.0
Cat,0.0,0.0,75.36963653564453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,72.92932891845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
