,브리어드_1,브리어드_2,브리어드_3,브리어드_4,브리어드_5,브리어드_6,브리어드_7,브리어드_8,브리어드_9,브리어드_10,브리어드_11,브리어드_12,브리어드_13,브리어드_14,브리어드_15,브리어드_16,브리어드_17,브리어드_18,브리어드_19,브리어드_20
Hound,98.99089813232422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.884700775146484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,98.99089813232422,0.0,88.75028991699219,0.0,0.0,0.0,0.0,0.0,91.18605041503906,88.64567565917969,0.0,95.6987075805664,94.95635986328125,80.34988403320312,98.43177795410156,0.0,97.2266616821289,0.0,86.61360931396484,0.0
Animal,98.99089813232422,0.0,88.75028991699219,0.0,89.0414047241211,90.2197036743164,0.0,0.0,91.18605041503906,89.79287719726562,0.0,96.2210464477539,94.95635986328125,81.2790298461914,98.43177795410156,0.0,97.2266616821289,0.0,86.61360931396484,0.0
Pet,98.99089813232422,0.0,87.97393035888672,0.0,89.0414047241211,0.0,0.0,0.0,88.98552703857422,89.79287719726562,0.0,95.6987075805664,94.95635986328125,81.2790298461914,98.43177795410156,0.0,97.2266616821289,0.0,82.65791320800781,0.0
Dog,98.99089813232422,0.0,76.7509765625,0.0,0.0,0.0,0.0,0.0,0.0,88.64567565917969,0.0,95.6987075805664,94.95635986328125,57.92705535888672,98.43177795410156,0.0,97.2266616821289,0.0,82.65791320800781,0.0
Mammal,98.99089813232422,0.0,88.75028991699219,0.0,88.4580307006836,0.0,0.0,0.0,91.18605041503906,88.64567565917969,0.0,96.2210464477539,94.95635986328125,80.34988403320312,98.43177795410156,0.0,97.2266616821289,0.0,86.61360931396484,0.0
Afghan Hound,84.1821060180664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,56.970428466796875,0.0,76.7509765625,0.0,0.0,0.0,0.0,0.0,0.0,58.02254104614258,0.0,0.0,0.0,57.92705535888672,0.0,0.0,0.0,0.0,0.0,0.0
Book,0.0,76.95816802978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,69.70700073242188,95.54048919677734,85.46051025390625,69.44989776611328,0.0,0.0,0.0,97.60702514648438,0.0,91.85704803466797,0.0,0.0,97.36053466796875,0.0,0.0,85.42007446289062,0.0,0.0,0.0
Person,0.0,69.70700073242188,95.54048919677734,85.46051025390625,69.44989776611328,0.0,0.0,0.0,97.60702514648438,0.0,91.85704803466797,0.0,0.0,97.36053466796875,0.0,0.0,85.42007446289062,0.0,0.0,0.0
