,브리타니_1,브리타니_2,브리타니_3,브리타니_4,브리타니_5,브리타니_6,브리타니_7,브리타니_8,브리타니_9,브리타니_10,브리타니_11,브리타니_12,브리타니_13,브리타니_14,브리타니_15,브리타니_16,브리타니_17,브리타니_18,브리타니_19,브리타니_20
Animal,90.47599029541016,76.09986877441406,87.7376937866211,98.02664947509766,97.40135955810547,97.99864959716797,94.4785385131836,92.24098205566406,93.97047424316406,89.9918212890625,95.07782745361328,94.62883758544922,93.36942291259766,96.43717193603516,89.46711730957031,75.39205932617188,98.95945739746094,93.0194320678711,92.94935607910156,91.97767639160156
Canine,90.47599029541016,75.75967407226562,87.7376937866211,98.02664947509766,97.40135955810547,97.99864959716797,94.4785385131836,92.24098205566406,93.86549377441406,89.9918212890625,94.88397979736328,93.02200317382812,93.36942291259766,96.43717193603516,88.72114562988281,75.39205932617188,98.95945739746094,93.0194320678711,92.94935607910156,91.97767639160156
Mammal,90.47599029541016,75.75967407226562,87.7376937866211,98.02664947509766,97.40135955810547,97.99864959716797,94.4785385131836,92.24098205566406,93.86549377441406,89.9918212890625,94.88397979736328,93.02200317382812,93.36942291259766,96.43717193603516,88.72114562988281,75.39205932617188,98.95945739746094,93.0194320678711,92.94935607910156,91.97767639160156
Pet,89.06198120117188,73.49179077148438,85.45967864990234,98.02664947509766,97.40135955810547,97.99864959716797,93.91883850097656,92.24098205566406,93.97047424316406,89.08574676513672,95.07782745361328,94.62883758544922,93.36942291259766,96.43717193603516,89.46711730957031,75.35298919677734,98.95945739746094,93.0194320678711,92.94935607910156,91.97767639160156
Dog,89.06198120117188,67.15679931640625,85.45967864990234,98.02664947509766,97.40135955810547,97.99864959716797,93.5459213256836,92.24098205566406,93.21392059326172,89.08574676513672,94.36490631103516,91.77811431884766,93.36942291259766,96.43717193603516,87.33536529541016,71.47171020507812,98.95945739746094,93.0194320678711,92.94935607910156,91.97767639160156
Furniture,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,59.479942321777344,0.0,0.0,70.02411651611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.867515563964844,0.0
Puppy,56.57111740112305,0.0,0.0,0.0,0.0,0.0,0.0,80.73485565185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.24195098876953,91.97767639160156
Word,0.0,96.25802612304688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,88.94792938232422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,72.68435668945312,0.0,0.0,0.0,0.0,0.0,70.90748596191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,72.68435668945312,0.0,0.0,0.0,0.0,0.0,70.90748596191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crowd,0.0,67.6216812133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Bull,0.0,67.15679931640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,67.15679931640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,59.76465606689453,85.45967864990234,98.02664947509766,94.34412384033203,97.99864959716797,71.39380645751953,92.24098205566406,67.94430541992188,82.98590850830078,79.1661148071289,74.2217788696289,93.36942291259766,96.43717193603516,0.0,66.06951141357422,98.95945739746094,58.25988006591797,92.94935607910156,0.0
Poster,0.0,0.0,82.87055206298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,82.87055206298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,82.87055206298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,82.87055206298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,82.87055206298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,55.581172943115234,85.67953491210938,67.14942169189453,92.60521697998047,0.0,0.0,0.0,77.06578063964844,0.0,0.0,80.98849487304688,89.90071868896484,0.0,0.0,95.02103424072266,0.0,77.69341278076172,0.0
Pointer,0.0,0.0,0.0,58.86676788330078,71.78648376464844,0.0,0.0,0.0,71.13870239257812,0.0,78.4052734375,0.0,0.0,57.02295684814453,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,76.81177520751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.53781509399414,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,76.81177520751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.53781509399414,0.0,0.0
Silhouette,0.0,0.0,0.0,0.0,0.0,0.0,77.69292449951172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,61.3170051574707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.635284423828125,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.71504211425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.51639556884766
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.64679718017578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.09175109863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.5458755493164,0.0,0.0,0.0,56.46949005126953,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.5458755493164,0.0,0.0,0.0,56.46949005126953,0.0
