,블랙 러시안 테리어_1,블랙 러시안 테리어_2,블랙 러시안 테리어_3,블랙 러시안 테리어_4,블랙 러시안 테리어_5,블랙 러시안 테리어_6,블랙 러시안 테리어_7,블랙 러시안 테리어_8,블랙 러시안 테리어_9,블랙 러시안 테리어_10,블랙 러시안 테리어_11,블랙 러시안 테리어_12,블랙 러시안 테리어_13,블랙 러시안 테리어_14,블랙 러시안 테리어_15,블랙 러시안 테리어_16,블랙 러시안 테리어_17,블랙 러시안 테리어_18,블랙 러시안 테리어_19,블랙 러시안 테리어_20
Animal,94.4472885131836,93.10701751708984,93.91338348388672,92.5578842163086,94.37194061279297,94.52117919921875,91.97056579589844,99.7907943725586,90.8772201538086,93.33101654052734,93.80508422851562,91.02427673339844,97.20842742919922,95.36233520507812,79.48102569580078,96.3875503540039,88.89497375488281,96.16787719726562,95.16845703125,93.79835510253906
Canine,94.4472885131836,93.10701751708984,93.91338348388672,91.33684539794922,93.70783233642578,94.52117919921875,91.97056579589844,92.00402069091797,89.011474609375,93.33101654052734,93.80508422851562,91.02427673339844,97.20842742919922,95.36233520507812,78.6944580078125,96.3875503540039,88.89497375488281,96.16787719726562,95.16845703125,0.0
Mammal,94.4472885131836,93.10701751708984,93.91338348388672,91.33684539794922,93.70783233642578,94.52117919921875,91.97056579589844,99.7907943725586,89.011474609375,93.33101654052734,93.80508422851562,91.02427673339844,97.20842742919922,95.36233520507812,79.48102569580078,96.3875503540039,88.89497375488281,96.16787719726562,95.16845703125,93.60120391845703
Pet,93.50529479980469,93.10701751708984,92.5009536743164,92.5578842163086,94.37194061279297,94.52117919921875,91.97056579589844,92.5515365600586,90.8772201538086,92.85888671875,93.3498764038086,90.95146942138672,97.20842742919922,94.16120910644531,76.3982162475586,96.3875503540039,83.7701187133789,95.36360168457031,94.71369171142578,0.0
Dog,92.97724914550781,93.10701751708984,91.76786804199219,75.56936645507812,87.97110748291016,94.52117919921875,91.97056579589844,90.77593231201172,89.011474609375,92.36467742919922,92.87076568603516,90.13842010498047,97.20842742919922,73.55374908447266,56.91154479980469,96.3875503540039,64.11128997802734,95.36360168457031,94.15312957763672,0.0
Terrier,75.60910034179688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.66032409667969,58.17264938354492,0.0,74.2843246459961,0.0,73.55374908447266,0.0,0.0,0.0,0.0,56.1327018737793,0.0
Sitting,58.742610931396484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,55.70161056518555,59.24300003051758,0.0,0.0,87.97110748291016,94.52117919921875,91.97056579589844,0.0,0.0,0.0,0.0,0.0,0.0,65.98088073730469,0.0,0.0,0.0,58.771697998046875,69.0318832397461,0.0
Fence,0.0,0.0,66.38690948486328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,0.0,0.0,57.33298873901367,0.0,0.0,0.0,0.0,0.0,55.5992431640625,90.19548797607422,88.41936492919922,79.54383850097656,0.0,0.0,0.0,0.0,0.0,75.87301635742188,87.56703186035156,0.0
Puppy,0.0,0.0,0.0,75.56936645507812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.11128997802734,72.0609359741211,0.0,0.0
Human,0.0,0.0,0.0,71.90335845947266,74.2506332397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.94917297363281,99.54974365234375,0.0,96.52501678466797,0.0,0.0,98.31109619140625
Person,0.0,0.0,0.0,71.90335845947266,74.2506332397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.94917297363281,99.54974365234375,0.0,96.52501678466797,0.0,0.0,98.31109619140625
Labrador Retriever,0.0,0.0,0.0,57.69326400756836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,56.75853729248047,0.0,0.0,70.02513122558594,0.0,0.0,0.0,0.0,97.20842742919922,0.0,0.0,0.0,56.26259994506836,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,0.0,55.37606430053711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Path,0.0,0.0,0.0,0.0,0.0,0.0,57.9781494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.7907943725586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.41141128540039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.50275421142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airedale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.58137130737305,0.0,0.0,0.0,0.0,0.0,0.0
Crowd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.4427719116211,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.04106140136719,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.91154479980469,0.0,0.0,0.0,0.0,0.0
Papillon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3875503540039,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3875503540039,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3875503540039,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.32994842529297,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.89555358886719,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.89555358886719,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.89555358886719,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.89555358886719,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.89555358886719,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.527435302734375,0.0,0.0,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.519012451171875,0.0,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.05284881591797,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.24932861328125,0.0
Painting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.24932861328125,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.449363708496094,0.0
Herd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.90046691894531
