,블랙 앤드 탄 쿤하운드_1,블랙 앤드 탄 쿤하운드_2,블랙 앤드 탄 쿤하운드_3,블랙 앤드 탄 쿤하운드_4,블랙 앤드 탄 쿤하운드_5,블랙 앤드 탄 쿤하운드_6,블랙 앤드 탄 쿤하운드_7,블랙 앤드 탄 쿤하운드_8,블랙 앤드 탄 쿤하운드_9,블랙 앤드 탄 쿤하운드_10,블랙 앤드 탄 쿤하운드_11,블랙 앤드 탄 쿤하운드_12,블랙 앤드 탄 쿤하운드_13,블랙 앤드 탄 쿤하운드_14,블랙 앤드 탄 쿤하운드_15,블랙 앤드 탄 쿤하운드_16,블랙 앤드 탄 쿤하운드_17,블랙 앤드 탄 쿤하운드_18,블랙 앤드 탄 쿤하운드_19,블랙 앤드 탄 쿤하운드_20
Dog,96.46900939941406,99.42889404296875,98.77173614501953,98.39483642578125,95.3807144165039,97.34762573242188,88.90377807617188,92.31934356689453,94.00784301757812,89.32523345947266,98.40094757080078,97.81039428710938,97.54113006591797,94.97795867919922,94.5917739868164,97.9910659790039,94.98011779785156,94.56370544433594,89.9788818359375,97.99497985839844
Canine,96.46900939941406,99.42889404296875,98.77173614501953,98.39483642578125,95.3807144165039,97.34762573242188,90.08285522460938,93.3107681274414,94.00784301757812,89.32523345947266,98.40094757080078,97.81039428710938,97.54113006591797,94.97795867919922,94.5917739868164,97.9910659790039,94.98011779785156,94.56370544433594,91.72883605957031,97.99497985839844
Pet,96.46900939941406,99.42889404296875,98.77173614501953,98.39483642578125,95.3807144165039,97.34762573242188,89.8255615234375,93.78852844238281,94.00784301757812,89.32523345947266,98.40094757080078,97.81039428710938,97.54113006591797,94.97795867919922,94.5917739868164,97.9910659790039,94.98011779785156,94.56370544433594,90.37464141845703,97.99497985839844
Animal,96.46900939941406,99.42889404296875,98.77173614501953,98.39483642578125,95.3807144165039,97.34762573242188,91.50794982910156,93.78852844238281,94.00784301757812,89.32523345947266,98.40094757080078,97.81039428710938,97.54113006591797,94.97795867919922,94.5917739868164,97.9910659790039,94.98011779785156,94.56370544433594,91.72883605957031,97.99497985839844
Mammal,96.46900939941406,99.42889404296875,98.77173614501953,98.39483642578125,95.3807144165039,97.34762573242188,90.4033432006836,93.3107681274414,94.00784301757812,89.32523345947266,98.40094757080078,97.81039428710938,97.54113006591797,94.97795867919922,94.5917739868164,97.9910659790039,94.98011779785156,94.56370544433594,91.72883605957031,97.99497985839844
Hound,96.46900939941406,62.36338424682617,98.77173614501953,98.39483642578125,95.3807144165039,97.34762573242188,85.75322723388672,0.0,94.00784301757812,89.32523345947266,98.40094757080078,97.81039428710938,97.54113006591797,94.97795867919922,94.5917739868164,80.90989685058594,94.98011779785156,92.98331451416016,79.30692291259766,97.99497985839844
Beagle,58.80074691772461,0.0,88.18700408935547,82.461181640625,59.127933502197266,64.74559020996094,0.0,0.0,0.0,73.92440032958984,72.47621154785156,66.74901580810547,69.6944808959961,59.14596939086914,0.0,0.0,63.098724365234375,0.0,0.0,80.30841064453125
Pointer,57.20467758178711,71.32569885253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.345184326171875,0.0,0.0
Appenzeller,57.076690673828125,72.72498321533203,0.0,0.0,60.44265365600586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.12588882446289,59.893699645996094
Snout,0.0,55.40058517456055,56.31774139404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.26774215698242,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,91.87077331542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.98681640625,0.0,92.80613708496094,0.0,0.0,0.0,73.22322082519531,0.0,0.0
Sitting,0.0,0.0,0.0,91.87077331542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,91.87077331542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.98681640625,0.0,92.80613708496094,0.0,0.0,0.0,73.22322082519531,0.0,0.0
Puppy,0.0,0.0,0.0,64.65261840820312,0.0,0.0,0.0,0.0,0.0,58.64784622192383,0.0,0.0,61.18076705932617,0.0,0.0,97.9910659790039,59.884300231933594,0.0,0.0,55.158443450927734
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.34991455078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.13050842285156,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.61186981201172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veterinarian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.951900482177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.37605285644531,77.6668930053711,0.0,0.0,0.0,0.0,73.76506805419922,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.37605285644531,77.6668930053711,0.0,0.0,0.0,0.0,73.76506805419922,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.23237228393555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.44107437133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
