,블러드 하운드_1,블러드 하운드_2,블러드 하운드_3,블러드 하운드_4,블러드 하운드_5,블러드 하운드_6,블러드 하운드_7,블러드 하운드_8,블러드 하운드_9,블러드 하운드_10,블러드 하운드_11,블러드 하운드_12,블러드 하운드_13,블러드 하운드_14,블러드 하운드_15,블러드 하운드_16,블러드 하운드_17,블러드 하운드_18,블러드 하운드_19,블러드 하운드_20
Hound,98.00777435302734,0.0,99.98926544189453,0.0,0.0,94.29812622070312,73.04044342041016,99.38882446289062,93.7384262084961,98.18827056884766,88.70600128173828,93.64506530761719,70.82759857177734,87.06022644042969,0.0,0.0,57.54123306274414,0.0,93.9249496459961,99.15489196777344
Mammal,98.00777435302734,0.0,99.98926544189453,0.0,0.0,94.29812622070312,92.81885528564453,99.38882446289062,98.8670654296875,98.18827056884766,93.22997283935547,93.64506530761719,93.55486297607422,95.84846496582031,0.0,0.0,91.83926391601562,0.0,94.851806640625,99.15489196777344
Dog,98.00777435302734,0.0,99.98926544189453,0.0,0.0,94.29812622070312,92.18354797363281,99.38882446289062,98.8670654296875,98.18827056884766,91.9383773803711,93.64506530761719,92.2463150024414,95.08180236816406,0.0,0.0,91.76199340820312,0.0,93.9249496459961,99.15489196777344
Canine,98.00777435302734,0.0,99.98926544189453,0.0,0.0,94.29812622070312,92.81885528564453,99.38882446289062,98.8670654296875,98.18827056884766,93.22997283935547,93.64506530761719,93.55486297607422,95.84846496582031,0.0,0.0,91.83926391601562,0.0,94.851806640625,99.15489196777344
Pet,98.00777435302734,0.0,99.98926544189453,0.0,0.0,94.29812622070312,92.18354797363281,99.38882446289062,98.8670654296875,98.18827056884766,92.18561553955078,93.64506530761719,92.2463150024414,95.21004486083984,0.0,0.0,92.51063537597656,0.0,95.13140869140625,99.15489196777344
Animal,98.00777435302734,0.0,99.98926544189453,0.0,0.0,94.29812622070312,92.81885528564453,99.38882446289062,98.8670654296875,98.18827056884766,93.22997283935547,93.64506530761719,93.55486297607422,95.84846496582031,0.0,81.75865936279297,92.51063537597656,0.0,95.13140869140625,99.15489196777344
Beagle,92.57513427734375,0.0,0.0,0.0,0.0,59.64521408081055,0.0,92.01600646972656,0.0,64.64360809326172,0.0,57.0424919128418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.47264862060547
Puppy,56.543235778808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.832489013671875,0.0,0.0,0.0
Human,0.0,70.35631561279297,70.57135772705078,0.0,91.90980529785156,0.0,0.0,0.0,0.0,0.0,0.0,78.00919342041016,0.0,0.0,97.69166564941406,75.33668518066406,0.0,0.0,62.810203552246094,0.0
Person,0.0,70.35631561279297,70.57135772705078,0.0,91.90980529785156,0.0,0.0,0.0,0.0,0.0,0.0,78.00919342041016,0.0,0.0,97.69166564941406,75.33668518066406,0.0,0.0,62.810203552246094,0.0
