,비글_1,비글_2,비글_3,비글_4,비글_5,비글_6,비글_7,비글_8,비글_9,비글_10,비글_11,비글_12,비글_13,비글_14,비글_15,비글_16,비글_17,비글_18,비글_19,비글_20
Canine,99.55558013916016,99.57129669189453,97.83718872070312,99.81718444824219,63.02007293701172,78.48424530029297,96.17288970947266,83.35563659667969,74.80489349365234,94.54884338378906,99.56008911132812,97.79119873046875,99.7493896484375,99.30814361572266,99.49742126464844,98.00572967529297,99.78501892089844,85.22795867919922,98.34575653076172,95.1037368774414
Hound,99.55558013916016,99.57129669189453,97.83718872070312,99.81718444824219,0.0,56.30525588989258,96.17288970947266,83.35563659667969,58.015113830566406,94.54884338378906,0.0,97.79119873046875,99.7493896484375,99.30814361572266,99.49742126464844,98.00572967529297,58.40531921386719,74.14327239990234,98.34575653076172,92.45164489746094
Animal,99.55558013916016,99.57129669189453,97.83718872070312,99.81718444824219,68.76187133789062,80.17623138427734,96.17288970947266,90.3310775756836,93.81086730957031,94.54884338378906,99.56008911132812,97.79119873046875,99.7493896484375,99.30814361572266,99.49742126464844,98.00572967529297,99.78501892089844,88.41907501220703,98.34575653076172,95.11591339111328
Mammal,99.55558013916016,99.57129669189453,97.83718872070312,99.81718444824219,68.76187133789062,80.17623138427734,96.17288970947266,85.99915313720703,92.3637924194336,94.54884338378906,99.56008911132812,97.79119873046875,99.7493896484375,99.30814361572266,99.49742126464844,98.00572967529297,99.78501892089844,86.11787414550781,98.34575653076172,95.1037368774414
Dog,99.55558013916016,99.57129669189453,97.83718872070312,99.81718444824219,0.0,78.48424530029297,96.17288970947266,83.35563659667969,74.29795837402344,94.54884338378906,99.56008911132812,97.79119873046875,99.7493896484375,99.30814361572266,99.49742126464844,98.00572967529297,99.78501892089844,78.27652740478516,98.34575653076172,92.45164489746094
Pet,99.55558013916016,99.57129669189453,97.83718872070312,99.81718444824219,60.57144546508789,78.48424530029297,96.17288970947266,83.35563659667969,91.10670471191406,94.54884338378906,99.56008911132812,97.79119873046875,99.7493896484375,99.30814361572266,99.49742126464844,98.00572967529297,99.78501892089844,78.27652740478516,98.34575653076172,94.12870025634766
Beagle,97.41155242919922,98.89315032958984,95.68626403808594,99.10237884521484,0.0,0.0,71.74505615234375,77.18732452392578,0.0,56.959716796875,0.0,89.5038070678711,98.54431915283203,94.7391357421875,96.2939682006836,81.81230163574219,0.0,57.987815856933594,95.51139831542969,69.4969711303711
Person,0.0,75.79328155517578,0.0,0.0,0.0,0.0,66.09809112548828,89.87515258789062,0.0,0.0,0.0,0.0,88.39138793945312,0.0,78.41132354736328,0.0,57.74518966674805,0.0,0.0,64.43042755126953
Human,0.0,75.79328155517578,0.0,0.0,0.0,0.0,66.09809112548828,89.87515258789062,0.0,0.0,0.0,0.0,88.39138793945312,0.0,78.41132354736328,0.0,57.74518966674805,0.0,0.0,64.43042755126953
Puppy,0.0,0.0,92.44598388671875,56.62407302856445,0.0,0.0,0.0,0.0,0.0,79.84747314453125,99.56008911132812,58.09806823730469,0.0,0.0,0.0,0.0,87.32881927490234,0.0,83.94636535644531,58.83885955810547
Tire,0.0,0.0,0.0,0.0,98.95413970947266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,97.74546813964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,97.74546813964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,95.35852813720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hubcap,0.0,0.0,0.0,0.0,91.44026184082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Car Wheel,0.0,0.0,0.0,0.0,87.16497802734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bowl,0.0,0.0,0.0,0.0,79.46131896972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Factory,0.0,0.0,0.0,0.0,68.34516906738281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manufacturing,0.0,0.0,0.0,0.0,68.34516906738281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,68.34516906738281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electronics,0.0,0.0,0.0,0.0,0.0,85.4554443359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phone,0.0,0.0,0.0,0.0,0.0,74.95036315917969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
