,비어디드 콜리_1,비어디드 콜리_2,비어디드 콜리_3,비어디드 콜리_4,비어디드 콜리_5,비어디드 콜리_6,비어디드 콜리_7,비어디드 콜리_8,비어디드 콜리_9,비어디드 콜리_10,비어디드 콜리_11,비어디드 콜리_12,비어디드 콜리_13,비어디드 콜리_14,비어디드 콜리_15,비어디드 콜리_16,비어디드 콜리_17,비어디드 콜리_18,비어디드 콜리_19,비어디드 콜리_20
Canine,90.47599029541016,91.63497161865234,95.86151885986328,95.10041046142578,97.52812194824219,89.62132263183594,98.68175506591797,91.95712280273438,90.31332397460938,80.68148803710938,99.06231689453125,91.47266387939453,70.39478302001953,94.82928466796875,90.89458465576172,85.20783996582031,90.49897003173828,89.7202377319336,90.6148681640625,93.60355377197266
Animal,90.47599029541016,92.12667083740234,95.86151885986328,97.83977508544922,97.52812194824219,89.62132263183594,98.68175506591797,99.63180541992188,90.31332397460938,80.68148803710938,99.06231689453125,91.47266387939453,74.71871948242188,94.82928466796875,91.63068389892578,85.20783996582031,90.49897003173828,89.7202377319336,90.6148681640625,93.60355377197266
Mammal,90.47599029541016,91.63497161865234,95.86151885986328,97.83977508544922,97.52812194824219,89.62132263183594,98.68175506591797,99.63180541992188,90.31332397460938,80.68148803710938,99.06231689453125,91.47266387939453,70.39478302001953,94.82928466796875,90.89458465576172,85.20783996582031,90.49897003173828,89.7202377319336,90.6148681640625,93.60355377197266
Dog,89.06198120117188,91.63497161865234,94.48773193359375,95.10041046142578,97.52812194824219,87.21830749511719,98.68175506591797,80.5938491821289,84.91561889648438,55.34690856933594,99.06231689453125,91.47266387939453,65.99388885498047,94.82928466796875,85.66205596923828,83.28551483154297,88.93208312988281,87.19208526611328,89.03280639648438,92.8874740600586
Pet,89.06198120117188,91.63497161865234,95.03199005126953,95.10041046142578,97.52812194824219,88.48102569580078,98.68175506591797,92.61257934570312,90.25323486328125,79.38851165771484,99.06231689453125,91.47266387939453,66.78237915039062,94.82928466796875,91.63068389892578,83.40421295166016,90.4249267578125,87.19208526611328,89.78888702392578,92.91818237304688
Bench,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,59.479942321777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,56.57111740112305,91.63497161865234,0.0,0.0,0.0,55.86072540283203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.82928466796875,57.702064514160156,0.0,0.0,0.0,75.0625228881836,92.64632415771484
Collie,0.0,0.0,90.07792663574219,0.0,0.0,0.0,0.0,56.635921478271484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,62.16815948486328,97.83977508544922,0.0,0.0,0.0,99.63180541992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.28145217895508,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,95.10041046142578,0.0,56.16668701171875,98.68175506591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.87653732299805,82.65432739257812,74.3440933227539,87.19208526611328,0.0,59.88258743286133
Afghan Hound,0.0,0.0,0.0,62.060646057128906,0.0,0.0,86.3545150756836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.03299331665039,56.52882766723633,0.0,0.0,0.0
Toy,0.0,0.0,0.0,55.1407470703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plush,0.0,0.0,0.0,55.1407470703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,95.74952697753906,68.27509307861328,0.0,80.5938491821289,58.751766204833984,55.34690856933594,0.0,0.0,0.0,64.59761047363281,85.66205596923828,55.73492431640625,88.93208312988281,0.0,59.504337310791016,71.46733093261719
Grass,0.0,0.0,0.0,0.0,0.0,99.51018524169922,0.0,59.31135177612305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,99.51018524169922,0.0,59.31135177612305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,83.53662109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,0.0,79.24889373779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,77.05377197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.30031967163086,0.0,81.46510314941406,0.0,0.0,68.41719055175781,0.0
Field,0.0,0.0,0.0,0.0,0.0,57.100303649902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,57.100303649902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Park,0.0,0.0,0.0,0.0,0.0,55.512611389160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.98159790039062,0.0,99.51758575439453,99.74728393554688,89.22084045410156,0.0,0.0,97.5903549194336,0.0,73.48104095458984,73.63418579101562,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.98159790039062,0.0,99.51758575439453,99.74728393554688,89.22084045410156,0.0,0.0,97.5903549194336,0.0,73.48104095458984,73.63418579101562,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.91561889648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9488754272461
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.13684844970703,0.0,0.0,0.0,0.0,0.0,97.5903549194336,0.0,0.0,0.0,0.0,0.0
Pedestrian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.44441986083984,64.63126373291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.00861358642578,99.26844024658203,99.85138702392578,95.29425048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.65963745117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5348129272461,93.31986999511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5348129272461,93.31986999511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.18962097167969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walkway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6523551940918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.123321533203125,0.0,0.0,0.0,68.40714263916016,0.0,0.0,0.0,0.0,0.0,0.0
Crowd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.82456588745117,62.73949432373047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.68410873413086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.68410873413086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.68410873413086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Footwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.31986999511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.31986999511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.7683334350586,90.97786712646484,84.87276458740234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
